response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0113,0.0002,0.0000,0.0001,0.0109,0.0001,200,0.0002
0.0115,0.0004,0.0001,0.0001,0.0108,0.0001,200,0.0001
0.0118,0.0003,0.0001,0.0001,0.0114,0.0000,200,0.0001
0.0139,0.0003,0.0002,0.0000,0.0135,0.0000,200,0.0002
0.0104,0.0000,0.0000,0.0000,0.0103,0.0001,200,0.0115
0.0113,0.0000,0.0000,0.0000,0.0113,0.0000,200,0.0115
0.0566,0.0000,0.0000,0.0000,0.0564,0.0001,200,0.0119
0.0457,0.0000,0.0000,0.0000,0.0456,0.0000,200,0.0228
0.0466,0.0000,0.0000,0.0000,0.0465,0.0000,200,0.0219
0.0544,0.0000,0.0000,0.0000,0.0543,0.0000,200,0.0141
0.0063,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.0685
0.0063,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.0685
0.0063,0.0000,0.0000,0.0000,0.0062,0.0001,200,0.0685
0.0063,0.0000,0.0000,0.0000,0.0062,0.0001,200,0.0685
0.0064,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.0748
0.0064,0.0000,0.0000,0.0000,0.0063,0.0001,200,0.0749
0.0064,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.0748
0.0064,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.0748
0.0064,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.0813
0.0064,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.0813
0.0064,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.0813
0.0064,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.0813
0.0065,0.0000,0.0000,0.0000,0.0064,0.0001,200,0.0877
0.0065,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.0877
0.0066,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.0876
0.0066,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.0876
0.0064,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.0943
0.0065,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.0942
0.0065,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.0942
0.0066,0.0000,0.0000,0.0000,0.0064,0.0001,200,0.0942
0.0067,0.0000,0.0000,0.0000,0.0065,0.0002,200,0.1007
0.0068,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.1007
0.0069,0.0000,0.0000,0.0000,0.0069,0.0000,200,0.1007
0.0070,0.0000,0.0000,0.0000,0.0069,0.0000,200,0.1008
0.0070,0.0000,0.0000,0.0000,0.0069,0.0000,200,0.1074
0.0066,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.1078
0.0069,0.0000,0.0000,0.0000,0.0068,0.0000,200,0.1076
0.0071,0.0000,0.0000,0.0000,0.0070,0.0000,200,0.1075
0.0066,0.0000,0.0000,0.0000,0.0065,0.0001,200,0.1145
0.0078,0.0000,0.0000,0.0000,0.0077,0.0000,200,0.1144
0.0084,0.0000,0.0000,0.0000,0.0083,0.0000,200,0.1144
0.0110,0.0000,0.0000,0.0000,0.0109,0.0001,200,0.1145
0.0076,0.0000,0.0000,0.0000,0.0075,0.0000,200,0.1222
0.0087,0.0000,0.0000,0.0000,0.0086,0.0000,200,0.1211
0.0071,0.0000,0.0000,0.0000,0.0070,0.0000,200,0.1228
0.0080,0.0000,0.0000,0.0000,0.0079,0.0001,200,0.1255
0.0064,0.0000,0.0000,0.0000,0.0063,0.0001,200,0.1298
0.0065,0.0000,0.0000,0.0000,0.0064,0.0001,200,0.1299
0.0069,0.0000,0.0000,0.0000,0.0068,0.0000,200,0.1298
0.0067,0.0000,0.0000,0.0000,0.0066,0.0001,200,0.1335
0.0065,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.1363
0.0061,0.0000,0.0000,0.0000,0.0060,0.0000,200,0.1367
0.0064,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.1364
0.0062,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.1402
0.0059,0.0000,0.0000,0.0000,0.0059,0.0000,200,0.1428
0.0062,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.1428
0.0063,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.1428
0.0059,0.0000,0.0000,0.0000,0.0058,0.0000,200,0.1464
0.0060,0.0000,0.0000,0.0000,0.0059,0.0001,200,0.1487
0.0059,0.0000,0.0000,0.0000,0.0058,0.0000,200,0.1490
0.0059,0.0000,0.0000,0.0000,0.0059,0.0000,200,0.1491
0.0059,0.0000,0.0000,0.0000,0.0059,0.0000,200,0.1523
0.0060,0.0000,0.0000,0.0000,0.0059,0.0000,200,0.1547
0.0059,0.0000,0.0000,0.0000,0.0059,0.0000,200,0.1548
0.0059,0.0000,0.0000,0.0000,0.0058,0.0000,200,0.1550
0.0062,0.0000,0.0000,0.0000,0.0061,0.0001,200,0.1583
0.0061,0.0000,0.0000,0.0000,0.0060,0.0000,200,0.1607
0.0062,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.1607
0.0061,0.0000,0.0000,0.0000,0.0060,0.0000,200,0.1609
0.0066,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.1645
0.0062,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.1669
0.0062,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.1669
0.0064,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.1668
0.0076,0.0000,0.0000,0.0000,0.0075,0.0001,200,0.1711
0.0061,0.0000,0.0000,0.0000,0.0060,0.0000,200,0.1731
0.0062,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.1731
0.0064,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.1732
0.0066,0.0000,0.0000,0.0000,0.0065,0.0001,200,0.1786
0.0061,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.1793
0.0064,0.0000,0.0000,0.0000,0.0061,0.0002,200,0.1792
0.0075,0.0000,0.0000,0.0000,0.0074,0.0000,200,0.1795
0.0066,0.0000,0.0000,0.0000,0.0065,0.0001,200,0.1852
0.0065,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.1856
0.0068,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.1854
0.0061,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.1870
0.0065,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.1918
0.0062,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.1921
0.0061,0.0000,0.0000,0.0000,0.0060,0.0001,200,0.1922
0.0068,0.0000,0.0000,0.0000,0.0067,0.0001,200,0.1931
0.0078,0.0000,0.0000,0.0000,0.0077,0.0001,200,0.1983
0.0063,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.1999
0.0078,0.0000,0.0000,0.0000,0.0078,0.0000,200,0.1984
0.0079,0.0000,0.0000,0.0000,0.0079,0.0000,200,0.1983
0.0064,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.2062
0.0066,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.2061
0.0064,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.2062
0.0065,0.0000,0.0000,0.0000,0.0064,0.0001,200,0.2062
0.0062,0.0000,0.0000,0.0000,0.0061,0.0001,200,0.2126
0.0062,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.2126
0.0062,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.2126
0.0062,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.2127
0.0063,0.0000,0.0000,0.0000,0.0062,0.0001,200,0.2188
0.0064,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.2188
0.0064,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.2189
0.0064,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.2189
0.0062,0.0000,0.0000,0.0000,0.0061,0.0001,200,0.2252
0.0062,0.0000,0.0000,0.0000,0.0061,0.0001,200,0.2253
0.0068,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.2251
0.0069,0.0000,0.0000,0.0000,0.0068,0.0000,200,0.2253
0.0070,0.0000,0.0000,0.0000,0.0069,0.0000,200,0.2314
0.0062,0.0000,0.0000,0.0000,0.0061,0.0001,200,0.2322
0.0070,0.0000,0.0000,0.0000,0.0069,0.0000,200,0.2314
0.0083,0.0000,0.0000,0.0000,0.0083,0.0000,200,0.2319
0.0063,0.0000,0.0000,0.0000,0.0062,0.0001,200,0.2384
0.0080,0.0000,0.0000,0.0000,0.0080,0.0000,200,0.2384
0.0063,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.2403
0.0082,0.0000,0.0000,0.0000,0.0082,0.0000,200,0.2384
0.0063,0.0000,0.0000,0.0000,0.0063,0.0001,200,0.2447
0.0063,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.2467
