response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0150,0.0005,0.0001,0.0001,0.0140,0.0001,200,0.0003
0.0157,0.0004,0.0001,0.0001,0.0150,0.0001,200,0.0003
0.0159,0.0005,0.0002,0.0001,0.0151,0.0000,200,0.0002
0.0200,0.0005,0.0002,0.0001,0.0192,0.0001,200,0.0002
0.0129,0.0000,0.0000,0.0000,0.0128,0.0000,200,0.0153
0.0576,0.0000,0.0000,0.0000,0.0575,0.0001,200,0.0161
0.0577,0.0000,0.0000,0.0000,0.0576,0.0000,200,0.0160
0.0535,0.0000,0.0000,0.0000,0.0534,0.0000,200,0.0203
0.0490,0.0000,0.0000,0.0000,0.0489,0.0001,200,0.0282
0.0080,0.0000,0.0000,0.0000,0.0080,0.0000,200,0.0737
0.0082,0.0000,0.0000,0.0000,0.0081,0.0000,200,0.0737
0.0082,0.0000,0.0000,0.0000,0.0082,0.0000,200,0.0738
0.0062,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.0772
0.0061,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.0818
0.0063,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.0818
0.0061,0.0000,0.0000,0.0000,0.0060,0.0000,200,0.0820
0.0060,0.0000,0.0000,0.0000,0.0060,0.0000,200,0.0834
0.0066,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.0879
0.0064,0.0000,0.0000,0.0000,0.0061,0.0003,200,0.0881
0.0070,0.0000,0.0000,0.0000,0.0069,0.0001,200,0.0881
0.0067,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.0894
0.0062,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.0944
0.0062,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.0945
0.0060,0.0000,0.0000,0.0000,0.0059,0.0000,200,0.0960
0.0070,0.0000,0.0000,0.0000,0.0069,0.0000,200,0.0951
0.0064,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.1007
0.0065,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.1006
0.0079,0.0000,0.0000,0.0000,0.0079,0.0000,200,0.1020
0.0081,0.0000,0.0000,0.0000,0.0080,0.0001,200,0.1020
0.0063,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.1071
0.0074,0.0000,0.0000,0.0000,0.0073,0.0000,200,0.1100
0.0105,0.0000,0.0000,0.0000,0.0104,0.0000,200,0.1071
