ok,latency_ms
1,68.947
1,63.667
1,50.405
1,164.48
1,144.148
1,143.896
1,167.355
1,88.571
1,53.97
1,69.938
1,120.803
1,157.408
1,51.578
1,92.043
1,209.943
1,252.971
1,85.862
1,89.219
1,101.165
1,118.719
1,73.119
1,134.632
1,94.255
1,92.952
1,296.882
1,288.527
1,276.565
1,115.98
1,277.359
1,266.299
1,85.649
1,116.679
1,117.577
1,48.835
1,273.691
1,281.413
1,85.396
1,92.312
1,66.827
1,102.005
1,29.13
1,56.68
1,56.837
1,61.809
1,60.69
1,324.294
1,77.23
1,151.873
1,94.794
1,72.872
1,138.35
1,67.297
1,68.48
1,130.919
1,92.877
1,146.773
1,138.379
1,192.149
1,196.98
1,193.539
1,127.16
1,199.283
1,110.377
1,111.525
1,113.441
1,123.599
1,73.9
1,155.858
1,88.109
1,212.303
1,94.923
1,76.27
1,50.692
1,258.927
1,44.099
1,68.659
1,73.098
1,93.193
1,101.997
1,102.426
1,108.197
1,78.236
1,61.621
1,67.738
1,164.293
1,169.302
1,172.169
1,116.621
1,180.141
1,204.182
1,65.557
1,73.129
1,169.017
1,191.582
1,80.772
1,351.421
1,103.273
1,102.389
1,89.134
1,260.046
1,93.031
1,171.03
1,178.938
1,84.298
1,91.916
1,92.128
1,96.157
1,99.894
1,105.852
1,86.187
1,210.166
1,136.734
1,91.828
1,493.182
1,115.767
1,128.421
1,99.527
1,55.217
1,59.843
1,103.337
1,63.288
1,145.056
1,45.96
1,47.484
1,92.673
1,79.087
1,89.907
1,63.637
1,97.34
1,56.67
1,46.177
1,83.612
1,54.268
1,101.342
1,65.557
1,102.071
1,85.024
1,81.894
1,52.294
1,143.459
1,121.425
1,54.927
1,131.03
1,59.057
1,59.829
1,78.323
1,80.213
1,56.741
1,76.386
1,43.325
1,56.224
1,130.505
1,58.083
1,74.612
1,41.609
1,84.267
1,73.016
1,79.609
1,52.291
1,80.946
1,73.553
1,103.173
1,87.549
1,71.267
1,68.943
1,81.04
1,75.275
1,85.099
1,84.068
1,68.005
1,67.79
1,37.121
1,86.105
1,76.444
1,49.464
1,102.647
1,55.412
1,53.619
1,40.053
1,60.195
1,58.384
1,48.479
1,76.018
1,75.576
1,75.433
1,77.03
1,75.705
1,75.988
1,75.888
1,61.922
1,113.756
1,68.792
1,62.328
1,86.705
1,88.694
1,109.259
1,76.236
1,100.154
1,123.273
1,159.607
1,103.005
1,124.353
1,89.233
1,113.35
1,52.759
1,115.065
1,51.837
1,53.453
1,36.675
1,39.203
1,37.098
1,81.498
1,74.873
1,40.07
1,31.535
1,61.56
1,49.828
1,128.591
1,117.777
1,174.681
1,133.676
1,64.718
1,106.871
1,77.911
1,93.059
1,98.841
1,97.726
1,117.899
1,122.418
1,119.429
1,106.509
1,113.319
1,55.949
1,125.657
1,127.675
1,126.066
1,260.994
1,134.317
1,121.064
1,128.001
1,29.711
1,127.852
1,75.694
1,139.876
1,44.735
1,55.98
1,32.632
1,52.582
1,106.055
1,62.657
1,51.972
1,73.925
1,85.81
1,61.597
1,62.073
1,74.286
1,87.407
1,115.081
1,100.224
1,122.281
1,70.832
1,75.419
1,146.069
1,71.285
1,137.066
1,128.864
1,83.728
1,149.565
1,108.196
1,190.162
1,89.977
1,112.336
1,191.936
1,114.636
1,193.703
1,114.151
1,133.617
1,49.433
1,29.296
1,146.076
1,73.895
1,67.416
1,75.534
1,84.121
1,56.956
1,63.306
1,142.441
1,154.183
1,138.868
1,34.974
1,48.18
1,107.06
1,170.672
1,99.142
1,116.259
1,113.444
1,119.374
1,115.488
1,105.749
1,126.653
1,47.384
1,95.116
1,135.325
1,137.601
1,61.128
1,34.708
1,115.162
1,44.178
1,82.203
1,48.179
1,103.892
1,74.999
1,70.187
1,101.774
1,96.039
1,126.705
1,175.002
1,158.844
1,157.621
1,134.479
1,139.854
1,225.817
1,223.742
1,43.226
1,85.864
1,77.675
1,125.861
1,163.028
1,180.982
1,112.221
1,65.921
1,169.648
1,145.787
1,153.571
1,193.869
1,39.975
1,70.473
1,48.842
1,69.298
1,52.874
1,155.888
1,72.937
1,55.964
1,63.707
1,71.1
1,60.657
1,79.521
1,69.024
1,67.362
1,108.392
1,31.7
1,34.992
1,74.777
1,41.383
1,106.501
1,109.804
1,68.991
1,47.035
1,63.921
1,70.245
1,67.618
1,75.538
1,67.26
1,81.434
1,59.192
1,60.406
1,126.236
1,59.962
1,68.785
1,83.633
1,85.525
1,41.999
1,73.189
1,24.611
1,44.863
1,95.999
1,50.149
1,54.215
1,114.038
1,69.621
1,65.075
1,55.299
1,85.87
1,76.517
1,95.31
1,95.199
1,97.045
1,79.29
1,96.434
1,73.605
1,82.05
1,55.71
1,78.893
1,67.674
1,99.561
1,46.814
1,38.354
1,48.658
1,96.783
1,71.233
1,68.763
1,97.091
1,78.696
1,107.331
1,65.8
1,77.352
1,104.21
1,89.834
1,63.059
1,111.344
1,76.983
1,75.845
1,90.485
1,95.404
1,96.324
1,95.613
1,44.673
1,50.127
1,36.188
1,56.84
1,24.087
1,44.646
1,49.889
1,67.583
1,68.198
1,19.316
1,75.747
1,91.112
1,60.369
1,98.427
1,109.104
1,105.696
1,51.088
1,73.828
1,68.985
1,128.64
1,69.505
1,70.211
1,95.043
1,114.667
1,78.319
1,116.749
1,116.777
1,154.003
1,78.031
1,51.521
1,113.932
1,80.065
1,65.257
1,74.342
1,51.109
1,76.002
1,246.306
1,88.008
1,63.351
1,92.806
1,64.524
1,66.383
1,73.914
1,70.089
1,73.019
1,116.801
1,118.776
1,147.442
1,152.701
1,154.486
1,119.834
1,149.014
1,126.902
1,128.568
1,128.001
1,106.754
1,119.836
1,107.081
1,108.922
1,142.131
1,109.065
1,43.435
1,49.263
1,152.236
1,95.203
1,105.253
1,97.948
1,100.582
1,86.817
1,75.657
1,52.53
1,249.859
1,116.016
1,151.781
1,161.62
1,95.807
1,166.361
1,297.981
1,179.262
1,174.514
1,181.206
1,304.384
1,168.017
1,86.543
1,90.273
1,89.423
1,107.813
1,180.407
1,170.053
1,82.639
1,78.143
1,78.362
1,73.417
1,158.661
1,95.694
1,160.126
1,84.674
1,131.157
1,93.494
1,83.518
1,90.997
1,80.779
1,67.508
1,90.719
1,107.047
1,33.38
1,56.08
1,69.51
1,113.514
