t,container,cpu_pct,mem_mb
1785761452.01,[H01KZ3TRTQENG8G00GZJ00016GW,0.03,12.54
1785761452.01,01KZ3TRTQPNG8G00GZJ00016GY,0.02,12.56
1785761452.01,01KZ3TRTR3NG8G00GZJ00016H0,0.0,0.0
1785761452.01,01KZ3TRR6SNG8G00GZJ00016G2,0.03,12.57
1785761452.01,01KZ3TRR6SNG8G00GZJ00016G0,0.02,14.73
1785761452.01,01KZ3TRR5ZNG8G00GZJ00016FY,0.02,13.06
1785761452.01,01KZ3TRR3XNG8G00GZJ00016FJ,0.03,12.55
1785761452.01,01KZ3TRR5QNG8G00GZJ00016FW,0.02,12.56
1785761452.01,01KZ3TRR55NG8G00GZJ00016FR,0.03,12.55
1785761452.01,01KZ3TRR3ZNG8G00GZJ00016FM,0.03,12.57
1785761452.01,01KZ3TRR49NG8G00GZJ00016FP,0.03,12.56
1785761452.01,01KZ3TRR59NG8G00GZJ00016FT,0.03,12.55
1785761452.01,01KZ3TRR1XNG8G00GZJ00016F9,0.02,12.77
1785761452.01,01KZ3TRR1XNG8G00GZJ00016F7,0.03,12.7
1785761452.01,01KZ3TRR1XNG8G00GZJ00016FB,0.03,12.56
1785761452.01,01KZ3TRR1YNG8G00GZJ00016FD,0.03,12.67
1785761452.01,01KZ3TRR21NG8G00GZJ00016FF,0.02,12.77
1785761452.01,01KZ3TRFJWNG8G00GZJ00016F3,0.03,12.58
1785761452.01,fnserver,1.16,70.41
1785761452.51,[H01KZ3TRTQENG8G00GZJ00016GW,0.03,12.54
1785761452.51,01KZ3TRTQPNG8G00GZJ00016GY,0.02,12.56
1785761452.51,01KZ3TRTR3NG8G00GZJ00016H0,0.0,0.0
1785761452.51,01KZ3TRR6SNG8G00GZJ00016G2,0.03,12.57
1785761452.51,01KZ3TRR6SNG8G00GZJ00016G0,0.02,14.73
1785761452.51,01KZ3TRR5ZNG8G00GZJ00016FY,0.02,13.06
1785761452.51,01KZ3TRR3XNG8G00GZJ00016FJ,0.03,12.55
1785761452.51,01KZ3TRR5QNG8G00GZJ00016FW,0.02,12.56
1785761452.51,01KZ3TRR55NG8G00GZJ00016FR,0.03,12.55
1785761452.51,01KZ3TRR3ZNG8G00GZJ00016FM,0.03,12.57
1785761452.51,01KZ3TRR49NG8G00GZJ00016FP,0.03,12.56
1785761452.51,01KZ3TRR59NG8G00GZJ00016FT,0.03,12.55
1785761452.51,01KZ3TRR1XNG8G00GZJ00016F9,0.02,12.77
1785761452.51,01KZ3TRR1XNG8G00GZJ00016F7,0.03,12.7
1785761452.51,01KZ3TRR1XNG8G00GZJ00016FB,0.03,12.56
1785761452.51,01KZ3TRR1YNG8G00GZJ00016FD,0.03,12.67
1785761452.51,01KZ3TRR21NG8G00GZJ00016FF,0.02,12.77
1785761452.51,01KZ3TRFJWNG8G00GZJ00016F3,0.03,12.58
1785761452.51,fnserver,1.16,70.41
1785761452.51,[J[H01KZ3TRTQENG8G00GZJ00016GW,0.0,0.0
1785761452.51,01KZ3TRTQPNG8G00GZJ00016GY,0.02,12.56
1785761452.51,01KZ3TRTR3NG8G00GZJ00016H0,0.0,0.0
1785761452.51,01KZ3TRR6SNG8G00GZJ00016G2,0.03,12.57
1785761452.51,01KZ3TRR6SNG8G00GZJ00016G0,0.0,0.0
1785761452.51,01KZ3TRR5ZNG8G00GZJ00016FY,0.02,13.06
1785761452.51,01KZ3TRR3XNG8G00GZJ00016FJ,0.0,0.0
1785761452.51,01KZ3TRR5QNG8G00GZJ00016FW,0.0,0.0
1785761452.51,01KZ3TRR55NG8G00GZJ00016FR,0.03,12.55
1785761452.51,01KZ3TRR3ZNG8G00GZJ00016FM,0.03,12.57
1785761452.51,01KZ3TRR49NG8G00GZJ00016FP,0.03,12.56
1785761452.51,01KZ3TRR59NG8G00GZJ00016FT,0.03,12.55
1785761452.51,01KZ3TRR1XNG8G00GZJ00016F9,0.02,12.77
1785761452.51,01KZ3TRR1XNG8G00GZJ00016F7,0.03,12.7
1785761452.51,01KZ3TRR1XNG8G00GZJ00016FB,0.0,0.0
1785761452.51,01KZ3TRR1YNG8G00GZJ00016FD,0.03,12.67
1785761452.51,01KZ3TRR21NG8G00GZJ00016FF,0.0,0.0
1785761452.51,01KZ3TRFJWNG8G00GZJ00016F3,0.0,0.0
1785761452.51,fnserver,0.0,0.0
1785761452.51,[H01KZ3TRTQENG8G00GZJ00016GW,0.0,0.0
1785761453.02,01KZ3TRTQPNG8G00GZJ00016GY,0.02,12.56
1785761453.02,01KZ3TRTR3NG8G00GZJ00016H0,0.0,0.0
1785761453.02,01KZ3TRR6SNG8G00GZJ00016G2,0.03,12.57
1785761453.02,01KZ3TRR6SNG8G00GZJ00016G0,0.0,0.0
1785761453.02,01KZ3TRR5ZNG8G00GZJ00016FY,0.02,13.06
1785761453.02,01KZ3TRR3XNG8G00GZJ00016FJ,0.0,0.0
1785761453.02,01KZ3TRR5QNG8G00GZJ00016FW,0.0,0.0
1785761453.02,01KZ3TRR55NG8G00GZJ00016FR,0.03,12.55
1785761453.02,01KZ3TRR3ZNG8G00GZJ00016FM,0.03,12.57
1785761453.02,01KZ3TRR49NG8G00GZJ00016FP,0.03,12.56
1785761453.02,01KZ3TRR59NG8G00GZJ00016FT,0.03,12.55
1785761453.02,01KZ3TRR1XNG8G00GZJ00016F9,0.02,12.77
1785761453.02,01KZ3TRR1XNG8G00GZJ00016F7,0.03,12.7
1785761453.02,01KZ3TRR1XNG8G00GZJ00016FB,0.0,0.0
1785761453.02,01KZ3TRR1YNG8G00GZJ00016FD,0.03,12.67
1785761453.02,01KZ3TRR21NG8G00GZJ00016FF,0.0,0.0
1785761453.02,01KZ3TRFJWNG8G00GZJ00016F3,0.0,0.0
1785761453.02,fnserver,0.0,0.0
1785761453.02,[J[H01KZ3TRTQENG8G00GZJ00016GW,1.96,12.54
