response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0140,0.0004,0.0001,0.0006,0.0128,0.0001,200,0.0001
0.0145,0.0003,0.0002,0.0001,0.0141,0.0001,200,0.0002
0.0190,0.0004,0.0001,0.0000,0.0186,0.0001,200,0.0002
0.0073,0.0000,0.0000,0.0000,0.0072,0.0000,200,0.0147
0.0219,0.0003,0.0002,0.0001,0.0215,0.0000,200,0.0002
0.0137,0.0000,0.0000,0.0000,0.0136,0.0001,200,0.0141
0.0060,0.0000,0.0000,0.0000,0.0060,0.0000,200,0.0220
0.0135,0.0000,0.0000,0.0000,0.0134,0.0000,200,0.0192
0.0107,0.0000,0.0000,0.0000,0.0107,0.0000,200,0.0221
0.0059,0.0000,0.0000,0.0000,0.0059,0.0000,200,0.0280
0.0062,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.0278
0.0090,0.0000,0.0000,0.0000,0.0089,0.0000,200,0.0327
0.0109,0.0000,0.0000,0.0000,0.0109,0.0000,200,0.0328
0.0099,0.0000,0.0000,0.0000,0.0098,0.0000,200,0.0339
0.0120,0.0000,0.0000,0.0000,0.0120,0.0000,200,0.0339
0.0084,0.0000,0.0000,0.0000,0.0084,0.0000,200,0.0438
0.0105,0.0000,0.0000,0.0000,0.0105,0.0000,200,0.0417
0.0101,0.0000,0.0000,0.0000,0.0100,0.0000,200,0.0460
0.0150,0.0000,0.0000,0.0000,0.0149,0.0000,200,0.0437
0.0065,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.0522
0.0107,0.0000,0.0000,0.0000,0.0107,0.0000,200,0.0522
0.0096,0.0000,0.0000,0.0000,0.0096,0.0000,200,0.0587
0.0097,0.0000,0.0000,0.0000,0.0097,0.0000,200,0.0587
0.0169,0.0000,0.0000,0.0000,0.0168,0.0000,200,0.0560
0.0116,0.0000,0.0000,0.0000,0.0116,0.0000,200,0.0629
0.0094,0.0000,0.0000,0.0000,0.0094,0.0000,200,0.0683
0.0099,0.0000,0.0000,0.0000,0.0098,0.0000,200,0.0729
0.0145,0.0000,0.0000,0.0000,0.0144,0.0000,200,0.0684
0.0089,0.0000,0.0000,0.0000,0.0089,0.0000,200,0.0746
0.0064,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.0828
0.0095,0.0000,0.0000,0.0000,0.0094,0.0001,200,0.0835
0.0104,0.0000,0.0000,0.0000,0.0104,0.0000,200,0.0828
0.0157,0.0000,0.0000,0.0000,0.0156,0.0000,200,0.0777
0.0068,0.0000,0.0000,0.0000,0.0067,0.0001,200,0.0930
0.0106,0.0000,0.0000,0.0000,0.0106,0.0000,200,0.0892
0.0073,0.0000,0.0000,0.0000,0.0073,0.0000,200,0.0934
0.0101,0.0000,0.0000,0.0000,0.0100,0.0000,200,0.0932
