response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0127,0.0001,0.0000,0.0000,0.0124,0.0001,200,0.0005
0.0129,0.0001,0.0000,0.0000,0.0128,0.0000,200,0.0007
0.0144,0.0000,0.0000,0.0000,0.0133,0.0010,200,0.0006
0.0159,0.0003,0.0001,0.0000,0.0155,0.0000,200,0.0001
0.0104,0.0000,0.0000,0.0000,0.0103,0.0001,200,0.0136
0.0115,0.0000,0.0000,0.0000,0.0114,0.0000,200,0.0132
0.0485,0.0000,0.0000,0.0000,0.0484,0.0001,200,0.0246
0.0582,0.0000,0.0000,0.0000,0.0581,0.0000,200,0.0160
0.0504,0.0000,0.0000,0.0000,0.0503,0.0000,200,0.0239
0.0641,0.0000,0.0000,0.0000,0.0640,0.0000,200,0.0150
0.0097,0.0000,0.0000,0.0000,0.0096,0.0000,200,0.0742
0.0098,0.0000,0.0000,0.0000,0.0097,0.0000,200,0.0743
0.0114,0.0000,0.0000,0.0001,0.0113,0.0000,200,0.0731
0.0064,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.0839
0.0116,0.0000,0.0000,0.0000,0.0115,0.0000,200,0.0791
0.0129,0.0000,0.0000,0.0000,0.0128,0.0000,200,0.0846
0.0071,0.0000,0.0000,0.0000,0.0070,0.0001,200,0.0903
0.0134,0.0000,0.0000,0.0000,0.0134,0.0000,200,0.0841
0.0060,0.0000,0.0000,0.0000,0.0059,0.0000,200,0.0975
0.0129,0.0000,0.0000,0.0000,0.0128,0.0000,200,0.0906
0.0062,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.0974
0.0066,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.0975
0.0068,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.1035
0.0107,0.0000,0.0000,0.0000,0.0107,0.0000,200,0.1036
0.0111,0.0000,0.0000,0.0000,0.0111,0.0000,200,0.1035
0.0119,0.0000,0.0000,0.0000,0.0119,0.0000,200,0.1041
0.0060,0.0000,0.0000,0.0000,0.0060,0.0000,200,0.1103
0.0061,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.1160
0.0079,0.0000,0.0000,0.0000,0.0079,0.0000,200,0.1143
