t,container,cpu_pct,mem_mb
1785958641.55,01KZ9PTCZ9NG8G00GZJ00000E5,0.0,12.7109375
1785958641.55,01KZ9PTBZ2NG8G00GZJ0000034,0.0,12.9609375
1785958641.55,01KZ9PT99BNG8G00GZJ000000C,0.0,13.015625
1785958641.55,01KZ9PT99CNG8G00GZJ000000E,0.0,12.73046875
1785958641.55,01KZ9PT99BNG8G00GZJ000000A,0.0,13.0
1785958641.55,01KZ9PT99BNG8G00GZJ0000009,0.0,13.01171875
1785958641.55,fnserver,0.0,30.6171875
1785958641.56,01KZ9PTCZ9NG8G00GZJ00000E5,0.0,12.7109375
1785958641.56,01KZ9PTBZ2NG8G00GZJ0000034,0.0,12.9609375
1785958641.56,01KZ9PT99BNG8G00GZJ000000C,0.0,13.015625
1785958641.56,01KZ9PT99CNG8G00GZJ000000E,0.0,12.73046875
1785958641.56,01KZ9PT99BNG8G00GZJ000000A,0.0,13.0
1785958641.56,01KZ9PT99BNG8G00GZJ0000009,0.0,13.01171875
1785958641.56,fnserver,0.0,30.6171875
1785958641.57,01KZ9PTCZ9NG8G00GZJ00000E5,0.0,12.7109375
1785958641.57,01KZ9PTBZ2NG8G00GZJ0000034,0.0,12.9609375
1785958641.57,01KZ9PT99BNG8G00GZJ000000C,0.0,13.015625
1785958641.57,01KZ9PT99CNG8G00GZJ000000E,0.0,12.73046875
1785958641.57,01KZ9PT99BNG8G00GZJ000000A,0.0,13.0
1785958641.57,01KZ9PT99BNG8G00GZJ0000009,0.0,13.01171875
1785958641.57,fnserver,0.7149969809116774,30.6171875
1785958641.58,01KZ9PTCZ9NG8G00GZJ00000E5,0.0,12.7109375
1785958641.58,01KZ9PTBZ2NG8G00GZJ0000034,0.0,12.9609375
1785958641.58,01KZ9PT99BNG8G00GZJ000000C,0.0,13.015625
1785958641.58,01KZ9PT99CNG8G00GZJ000000E,0.0,12.73046875
1785958641.58,01KZ9PT99BNG8G00GZJ000000A,0.0,13.0
1785958641.58,01KZ9PT99BNG8G00GZJ0000009,0.0,13.01171875
1785958641.58,fnserver,0.0,30.6171875
1785958641.59,01KZ9PTCZ9NG8G00GZJ00000E5,0.0,12.7109375
1785958641.59,01KZ9PTBZ2NG8G00GZJ0000034,0.0,12.9609375
1785958641.59,01KZ9PT99BNG8G00GZJ000000C,0.0,13.015625
1785958641.59,01KZ9PT99CNG8G00GZJ000000E,0.0,12.73046875
1785958641.59,01KZ9PT99BNG8G00GZJ000000A,0.0,13.0
1785958641.59,01KZ9PT99BNG8G00GZJ0000009,0.0,13.01171875
1785958641.59,fnserver,0.0,30.6171875
1785958641.6,01KZ9PTCZ9NG8G00GZJ00000E5,0.0,12.7109375
1785958641.6,01KZ9PTBZ2NG8G00GZJ0000034,0.0,12.9609375
1785958641.6,01KZ9PT99BNG8G00GZJ000000C,0.0,13.015625
1785958641.6,01KZ9PT99CNG8G00GZJ000000E,0.0,12.73046875
1785958641.6,01KZ9PT99BNG8G00GZJ000000A,0.0,13.0
1785958641.6,01KZ9PT99BNG8G00GZJ0000009,0.0,13.01171875
1785958641.6,fnserver,0.0,30.6171875
1785958641.61,01KZ9PTCZ9NG8G00GZJ00000E5,0.0,12.7109375
1785958641.61,01KZ9PTBZ2NG8G00GZJ0000034,0.0,12.9609375
1785958641.61,01KZ9PT99BNG8G00GZJ000000C,0.0,13.015625
