response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0134,0.0004,0.0002,0.0000,0.0127,0.0002,200,0.0002
0.0138,0.0003,0.0002,0.0000,0.0134,0.0000,200,0.0003
0.0139,0.0003,0.0003,0.0000,0.0135,0.0000,200,0.0003
0.0151,0.0002,0.0001,0.0001,0.0147,0.0001,200,0.0003
0.0151,0.0004,0.0003,0.0000,0.0147,0.0000,200,0.0002
0.0167,0.0002,0.0000,0.0001,0.0163,0.0001,200,0.0003
0.0169,0.0003,0.0002,0.0001,0.0165,0.0000,200,0.0002
0.0216,0.0002,0.0000,0.0001,0.0212,0.0001,200,0.0003
0.0087,0.0000,0.0000,0.0000,0.0085,0.0001,200,0.0171
0.0119,0.0000,0.0000,0.0000,0.0118,0.0000,200,0.0154
0.0120,0.0000,0.0000,0.0000,0.0119,0.0000,200,0.0153
0.0132,0.0000,0.0000,0.0000,0.0132,0.0000,200,0.0141
0.0108,0.0000,0.0000,0.0000,0.0107,0.0000,200,0.0170
0.0065,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.0218
0.0170,0.0000,0.0000,0.0000,0.0168,0.0000,200,0.0136
0.0072,0.0000,0.0000,0.0000,0.0072,0.0001,200,0.0273
0.0088,0.0000,0.0000,0.0000,0.0087,0.0000,200,0.0258
0.0073,0.0000,0.0000,0.0000,0.0072,0.0000,200,0.0274
0.0073,0.0000,0.0000,0.0000,0.0073,0.0000,200,0.0273
0.0066,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.0283
0.0083,0.0000,0.0000,0.0000,0.0083,0.0000,200,0.0278
0.0100,0.0000,0.0000,0.0000,0.0099,0.0000,200,0.0305
0.0264,0.0000,0.0000,0.0000,0.0264,0.0000,200,0.0142
0.0074,0.0000,0.0000,0.0000,0.0073,0.0000,200,0.0346
0.0071,0.0000,0.0000,0.0000,0.0071,0.0000,200,0.0350
0.0076,0.0000,0.0000,0.0000,0.0075,0.0000,200,0.0347
0.0062,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.0361
0.0120,0.0000,0.0000,0.0000,0.0119,0.0001,200,0.0345
0.0128,0.0000,0.0000,0.0000,0.0128,0.0000,200,0.0346
0.0077,0.0000,0.0000,0.0000,0.0077,0.0000,200,0.0406
0.0066,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.0420
0.0066,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.0421
0.0084,0.0000,0.0000,0.0000,0.0080,0.0003,200,0.0405
0.0066,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.0423
0.0070,0.0000,0.0000,0.0000,0.0069,0.0000,200,0.0423
0.0068,0.0000,0.0000,0.0001,0.0066,0.0000,200,0.0466
0.0072,0.0000,0.0000,0.0000,0.0071,0.0000,200,0.0484
0.0062,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.0493
0.0081,0.0000,0.0000,0.0000,0.0080,0.0000,200,0.0475
0.0069,0.0000,0.0000,0.0001,0.0069,0.0000,200,0.0487
0.0075,0.0000,0.0000,0.0000,0.0074,0.0000,200,0.0486
0.0096,0.0000,0.0000,0.0000,0.0095,0.0000,200,0.0489
0.0123,0.0000,0.0000,0.0000,0.0123,0.0000,200,0.0489
0.0081,0.0000,0.0000,0.0000,0.0080,0.0000,200,0.0533
0.0065,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.0556
0.0066,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.0555
0.0066,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.0555
0.0084,0.0000,0.0000,0.0000,0.0083,0.0000,200,0.0561
0.0091,0.0000,0.0000,0.0000,0.0090,0.0000,200,0.0555
0.0093,0.0000,0.0000,0.0000,0.0092,0.0000,200,0.0585
0.0066,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.0612
0.0069,0.0000,0.0000,0.0000,0.0069,0.0000,200,0.0614
0.0064,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.0621
0.0065,0.0000,0.0000,0.0000,0.0064,0.0001,200,0.0621
0.0070,0.0000,0.0000,0.0000,0.0069,0.0000,200,0.0621
0.0062,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.0646
0.0067,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.0678
0.0079,0.0000,0.0000,0.0000,0.0079,0.0000,200,0.0678
0.0083,0.0000,0.0000,0.0000,0.0082,0.0000,200,0.0683
0.0121,0.0000,0.0000,0.0000,0.0120,0.0000,200,0.0645
0.0080,0.0000,0.0000,0.0000,0.0079,0.0000,200,0.0686
0.0075,0.0000,0.0000,0.0000,0.0074,0.0000,200,0.0691
0.0082,0.0000,0.0000,0.0000,0.0081,0.0000,200,0.0685
0.0103,0.0000,0.0000,0.0000,0.0102,0.0001,200,0.0708
0.0081,0.0000,0.0000,0.0000,0.0080,0.0001,200,0.0745
0.0071,0.0000,0.0000,0.0000,0.0070,0.0000,200,0.0767
0.0081,0.0000,0.0000,0.0000,0.0080,0.0001,200,0.0766
0.0083,0.0000,0.0000,0.0000,0.0083,0.0000,200,0.0766
0.0085,0.0000,0.0000,0.0000,0.0084,0.0000,200,0.0766
0.0096,0.0000,0.0000,0.0000,0.0096,0.0000,200,0.0757
0.0097,0.0000,0.0000,0.0000,0.0097,0.0000,200,0.0766
0.0079,0.0000,0.0000,0.0000,0.0078,0.0000,200,0.0811
0.0075,0.0000,0.0000,0.0000,0.0074,0.0000,200,0.0826
