response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0176,0.0006,0.0002,0.0002,0.0166,0.0002,200,0.0001
0.0223,0.0004,0.0002,0.0001,0.0217,0.0001,200,0.0003
0.0228,0.0004,0.0001,0.0002,0.0221,0.0000,200,0.0002
0.0229,0.0004,0.0002,0.0001,0.0224,0.0000,200,0.0003
0.0242,0.0004,0.0003,0.0001,0.0236,0.0000,200,0.0003
0.0283,0.0004,0.0003,0.0001,0.0277,0.0001,200,0.0003
0.0292,0.0004,0.0003,0.0001,0.0286,0.0001,200,0.0002
0.0303,0.0003,0.0001,0.0002,0.0298,0.0001,200,0.0004
0.0315,0.0003,0.0002,0.0002,0.0309,0.0000,200,0.0003
0.0372,0.0005,0.0003,0.0000,0.0365,0.0001,200,0.0003
0.0374,0.0004,0.0001,0.0002,0.0367,0.0002,200,0.0003
0.0379,0.0005,0.0003,0.0001,0.0373,0.0000,200,0.0002
0.0414,0.0005,0.0002,0.0006,0.0402,0.0001,200,0.0003
0.0251,0.0000,0.0000,0.0000,0.0250,0.0001,200,0.0231
0.0479,0.0004,0.0000,0.0001,0.0472,0.0001,200,0.0004
0.0480,0.0003,0.0002,0.0000,0.0476,0.0000,200,0.0004
0.0480,0.0004,0.0000,0.0001,0.0475,0.0000,200,0.0004
0.0484,0.0005,0.0001,0.0001,0.0477,0.0000,200,0.0002
0.0485,0.0004,0.0000,0.0001,0.0480,0.0000,200,0.0004
0.0491,0.0005,0.0000,0.0001,0.0484,0.0000,200,0.0001
0.0345,0.0000,0.0000,0.0000,0.0344,0.0001,200,0.0177
0.0545,0.0004,0.0002,0.0001,0.0540,0.0000,200,0.0004
0.0321,0.0000,0.0000,0.0000,0.0321,0.0000,200,0.0230
0.0367,0.0000,0.0000,0.0000,0.0366,0.0000,200,0.0226
0.0393,0.0000,0.0000,0.0000,0.0392,0.0001,200,0.0489
0.0565,0.0000,0.0000,0.0000,0.0564,0.0000,200,0.0318
0.0361,0.0000,0.0000,0.0000,0.0360,0.0000,200,0.0522
0.0400,0.0000,0.0000,0.0000,0.0400,0.0000,200,0.0483
0.0506,0.0000,0.0000,0.0000,0.0506,0.0000,200,0.0377
0.0335,0.0000,0.0000,0.0000,0.0335,0.0000,200,0.0549
0.0595,0.0000,0.0000,0.0000,0.0594,0.0001,200,0.0307
0.0420,0.0000,0.0000,0.0000,0.0419,0.0001,200,0.0482
0.0417,0.0000,0.0000,0.0000,0.0417,0.0000,200,0.0486
0.0609,0.0000,0.0000,0.0000,0.0608,0.0000,200,0.0294
0.0411,0.0000,0.0000,0.0000,0.0411,0.0000,200,0.0492
0.0420,0.0000,0.0000,0.0000,0.0420,0.0000,200,0.0484
0.0644,0.0000,0.0000,0.0000,0.0643,0.0001,200,0.0286
0.0449,0.0000,0.0000,0.0000,0.0448,0.0000,200,0.0483
0.0643,0.0000,0.0000,0.0000,0.0642,0.0001,200,0.0382
0.0143,0.0000,0.0000,0.0000,0.0142,0.0000,200,0.0883
0.0142,0.0000,0.0000,0.0000,0.0142,0.0000,200,0.0883
0.0123,0.0000,0.0000,0.0000,0.0123,0.0000,200,0.0904
0.0652,0.0000,0.0000,0.0000,0.0652,0.0000,200,0.0374
0.0610,0.0000,0.0000,0.0000,0.0609,0.0000,200,0.0417
0.0125,0.0000,0.0000,0.0000,0.0124,0.0000,200,0.0902
0.0124,0.0000,0.0000,0.0000,0.0123,0.0000,200,0.0904
0.0435,0.0000,0.0000,0.0000,0.0434,0.0000,200,0.0593
0.0146,0.0000,0.0000,0.0000,0.0145,0.0000,200,0.0882
0.0784,0.0000,0.0000,0.0000,0.0783,0.0000,200,0.0245
0.0145,0.0000,0.0000,0.0000,0.0145,0.0000,200,0.0884
0.0477,0.0000,0.0000,0.0000,0.0477,0.0000,200,0.0552
0.0147,0.0000,0.0000,0.0000,0.0146,0.0001,200,0.0883
0.0141,0.0000,0.0000,0.0000,0.0141,0.0000,200,0.0902
0.0165,0.0000,0.0000,0.0000,0.0164,0.0000,200,0.0884
0.0175,0.0000,0.0000,0.0000,0.0174,0.0000,200,0.0903
0.0115,0.0000,0.0000,0.0000,0.0114,0.0001,200,0.1078
0.0168,0.0000,0.0000,0.0000,0.0167,0.0000,200,0.1026
0.0168,0.0000,0.0000,0.0000,0.0168,0.0000,200,0.1026
0.0167,0.0000,0.0000,0.0000,0.0167,0.0000,200,0.1026
0.0166,0.0000,0.0000,0.0000,0.0166,0.0000,200,0.1028
0.0170,0.0000,0.0000,0.0000,0.0169,0.0000,200,0.1024
0.0166,0.0000,0.0000,0.0000,0.0166,0.0000,200,0.1028
0.0166,0.0000,0.0000,0.0000,0.0166,0.0000,200,0.1029
0.0264,0.0000,0.0000,0.0000,0.0264,0.0000,200,0.0930
0.0292,0.0000,0.0000,0.0000,0.0291,0.0000,200,0.0903
0.0168,0.0000,0.0000,0.0000,0.0168,0.0000,200,0.1027
0.0168,0.0000,0.0000,0.0000,0.0167,0.0000,200,0.1027
0.0165,0.0000,0.0000,0.0000,0.0164,0.0000,200,0.1030
0.0167,0.0000,0.0000,0.0000,0.0167,0.0000,200,0.1028
0.0263,0.0000,0.0000,0.0000,0.0263,0.0000,200,0.0932
0.0225,0.0000,0.0000,0.0000,0.0224,0.0001,200,0.1027
0.0224,0.0000,0.0000,0.0000,0.0224,0.0000,200,0.1029
0.0234,0.0000,0.0000,0.0000,0.0234,0.0000,200,0.1028
0.0214,0.0000,0.0000,0.0000,0.0213,0.0000,200,0.1049
0.0220,0.0000,0.0000,0.0000,0.0219,0.0000,200,0.1043
0.0073,0.0000,0.0000,0.0000,0.0073,0.0000,200,0.1195
0.0076,0.0000,0.0000,0.0000,0.0076,0.0001,200,0.1194
0.0076,0.0000,0.0000,0.0000,0.0075,0.0000,200,0.1195
