response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0160,0.0005,0.0003,0.0002,0.0150,0.0001,200,0.0002
0.0165,0.0004,0.0001,0.0001,0.0158,0.0001,200,0.0002
0.0165,0.0005,0.0002,0.0003,0.0156,0.0000,200,0.0003
0.0204,0.0002,0.0000,0.0001,0.0199,0.0001,200,0.0005
0.0073,0.0000,0.0000,0.0000,0.0072,0.0001,200,0.0208
0.0137,0.0000,0.0000,0.0001,0.0134,0.0001,200,0.0167
0.0160,0.0000,0.0000,0.0000,0.0159,0.0001,200,0.0161
0.0173,0.0000,0.0000,0.0000,0.0172,0.0000,200,0.0167
0.0063,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.0281
0.0080,0.0000,0.0000,0.0000,0.0079,0.0001,200,0.0304
0.0070,0.0000,0.0000,0.0000,0.0068,0.0001,200,0.0321
0.0077,0.0000,0.0000,0.0000,0.0076,0.0001,200,0.0384
0.0072,0.0000,0.0000,0.0000,0.0070,0.0001,200,0.0391
0.0118,0.0000,0.0000,0.0000,0.0118,0.0000,200,0.0345
0.0123,0.0000,0.0000,0.0000,0.0122,0.0000,200,0.0340
0.0092,0.0000,0.0000,0.0000,0.0091,0.0001,200,0.0463
0.0108,0.0000,0.0000,0.0000,0.0107,0.0000,200,0.0463
0.0110,0.0000,0.0000,0.0000,0.0110,0.0000,200,0.0462
0.0149,0.0000,0.0000,0.0000,0.0148,0.0001,200,0.0462
0.0073,0.0000,0.0000,0.0000,0.0072,0.0001,200,0.0571
0.0090,0.0000,0.0000,0.0000,0.0089,0.0000,200,0.0555
0.0129,0.0000,0.0000,0.0000,0.0128,0.0001,200,0.0573
0.0093,0.0000,0.0000,0.0000,0.0093,0.0000,200,0.0611
0.0143,0.0000,0.0000,0.0000,0.0135,0.0008,200,0.0646
0.0093,0.0000,0.0000,0.0000,0.0092,0.0000,200,0.0701
0.0090,0.0000,0.0000,0.0000,0.0089,0.0000,200,0.0705
0.0212,0.0000,0.0000,0.0000,0.0210,0.0001,200,0.0644
0.0076,0.0000,0.0000,0.0000,0.0073,0.0001,200,0.0788
0.0072,0.0000,0.0000,0.0000,0.0072,0.0000,200,0.0794
0.0076,0.0000,0.0000,0.0000,0.0075,0.0000,200,0.0795
0.0075,0.0000,0.0000,0.0000,0.0072,0.0002,200,0.0856
0.0067,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.0866
0.0068,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.0871
0.0076,0.0000,0.0000,0.0000,0.0075,0.0000,200,0.0864
0.0068,0.0000,0.0000,0.0000,0.0067,0.0001,200,0.0934
0.0071,0.0000,0.0000,0.0000,0.0071,0.0000,200,0.0931
0.0077,0.0000,0.0000,0.0000,0.0077,0.0001,200,0.0938
0.0085,0.0000,0.0000,0.0001,0.0074,0.0010,200,0.0940
0.0071,0.0000,0.0000,0.0000,0.0070,0.0001,200,0.1003
0.0073,0.0000,0.0000,0.0000,0.0072,0.0000,200,0.1001
0.0071,0.0000,0.0000,0.0000,0.0069,0.0001,200,0.1025
0.0085,0.0000,0.0000,0.0000,0.0084,0.0000,200,0.1016
