response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0115,0.0004,0.0001,0.0001,0.0108,0.0001,200,0.0002
0.0116,0.0003,0.0001,0.0001,0.0110,0.0000,200,0.0002
0.0119,0.0003,0.0002,0.0001,0.0114,0.0000,200,0.0002
0.0124,0.0004,0.0001,0.0000,0.0119,0.0000,200,0.0001
0.0115,0.0000,0.0000,0.0000,0.0114,0.0001,200,0.0117
0.0115,0.0000,0.0000,0.0000,0.0114,0.0001,200,0.0117
0.0108,0.0000,0.0000,0.0000,0.0107,0.0000,200,0.0126
0.0141,0.0000,0.0000,0.0000,0.0140,0.0001,200,0.0121
0.0121,0.0000,0.0000,0.0000,0.0120,0.0001,200,0.0232
0.0123,0.0000,0.0000,0.0000,0.0122,0.0001,200,0.0232
0.0328,0.0000,0.0000,0.0000,0.0327,0.0000,200,0.0354
0.0448,0.0000,0.0000,0.0000,0.0446,0.0000,200,0.0234
0.0327,0.0000,0.0000,0.0000,0.0326,0.0000,200,0.0355
0.0420,0.0000,0.0000,0.0000,0.0419,0.0000,200,0.0262
0.0061,0.0000,0.0000,0.0000,0.0060,0.0000,200,0.0682
0.0061,0.0000,0.0000,0.0000,0.0060,0.0000,200,0.0682
0.0062,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.0682
0.0066,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.0682
0.0062,0.0000,0.0000,0.0000,0.0060,0.0001,200,0.0743
0.0062,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.0743
0.0060,0.0000,0.0000,0.0000,0.0060,0.0000,200,0.0744
0.0059,0.0000,0.0000,0.0000,0.0058,0.0000,200,0.0747
0.0061,0.0000,0.0000,0.0000,0.0060,0.0000,200,0.0805
0.0059,0.0000,0.0000,0.0000,0.0058,0.0000,200,0.0806
0.0061,0.0000,0.0000,0.0000,0.0060,0.0000,200,0.0805
0.0061,0.0000,0.0000,0.0000,0.0060,0.0000,200,0.0804
0.0061,0.0000,0.0000,0.0000,0.0060,0.0001,200,0.0865
0.0061,0.0000,0.0000,0.0000,0.0060,0.0000,200,0.0865
0.0062,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.0865
0.0062,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.0865
0.0061,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.0926
0.0060,0.0000,0.0000,0.0000,0.0060,0.0000,200,0.0927
0.0062,0.0000,0.0000,0.0000,0.0060,0.0001,200,0.0926
0.0061,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.0927
0.0061,0.0000,0.0000,0.0000,0.0060,0.0000,200,0.0988
0.0061,0.0000,0.0000,0.0000,0.0060,0.0000,200,0.0988
0.0061,0.0000,0.0000,0.0000,0.0060,0.0000,200,0.0988
0.0061,0.0000,0.0000,0.0000,0.0060,0.0000,200,0.0989
0.0062,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.1049
0.0062,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.1049
0.0061,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.1049
0.0062,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.1048
0.0064,0.0000,0.0000,0.0000,0.0063,0.0001,200,0.1111
0.0066,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.1111
0.0066,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.1111
0.0073,0.0000,0.0000,0.0000,0.0072,0.0001,200,0.1111
0.0072,0.0000,0.0000,0.0000,0.0071,0.0001,200,0.1175
0.0064,0.0000,0.0000,0.0000,0.0063,0.0001,200,0.1184
0.0071,0.0000,0.0000,0.0000,0.0071,0.0000,200,0.1177
0.0082,0.0000,0.0000,0.0000,0.0081,0.0001,200,0.1176
0.0066,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.1247
0.0068,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.1247
0.0087,0.0000,0.0000,0.0000,0.0086,0.0001,200,0.1259
0.0097,0.0000,0.0000,0.0000,0.0097,0.0000,200,0.1248
0.0087,0.0000,0.0000,0.0000,0.0086,0.0001,200,0.1315
0.0091,0.0000,0.0000,0.0000,0.0089,0.0001,200,0.1313
0.0080,0.0000,0.0000,0.0000,0.0079,0.0000,200,0.1346
0.0093,0.0000,0.0000,0.0000,0.0092,0.0001,200,0.1345
0.0067,0.0000,0.0000,0.0000,0.0066,0.0001,200,0.1402
0.0066,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.1404
0.0063,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.1426
0.0062,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.1438
0.0062,0.0000,0.0000,0.0000,0.0061,0.0001,200,0.1470
0.0063,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.1469
0.0060,0.0000,0.0000,0.0000,0.0059,0.0001,200,0.1489
0.0064,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.1500
0.0067,0.0000,0.0000,0.0000,0.0066,0.0001,200,0.1532
0.0066,0.0000,0.0000,0.0000,0.0065,0.0001,200,0.1532
0.0066,0.0000,0.0000,0.0000,0.0065,0.0001,200,0.1549
0.0068,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.1564
0.0068,0.0000,0.0000,0.0000,0.0067,0.0001,200,0.1599
0.0070,0.0000,0.0000,0.0000,0.0069,0.0000,200,0.1599
0.0064,0.0000,0.0000,0.0000,0.0063,0.0001,200,0.1633
0.0083,0.0000,0.0000,0.0000,0.0083,0.0000,200,0.1614
0.0064,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.1669
0.0067,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.1667
0.0067,0.0000,0.0000,0.0000,0.0066,0.0001,200,0.1698
0.0068,0.0000,0.0000,0.0000,0.0067,0.0001,200,0.1697
0.0070,0.0000,0.0000,0.0000,0.0069,0.0000,200,0.1733
0.0069,0.0000,0.0000,0.0000,0.0068,0.0000,200,0.1734
0.0064,0.0000,0.0000,0.0000,0.0063,0.0001,200,0.1765
0.0065,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.1765
0.0065,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.1803
0.0066,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.1803
0.0065,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.1829
0.0066,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.1830
0.0074,0.0000,0.0000,0.0000,0.0073,0.0001,200,0.1868
0.0073,0.0000,0.0000,0.0000,0.0072,0.0001,200,0.1869
0.0064,0.0000,0.0000,0.0000,0.0063,0.0001,200,0.1895
0.0065,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.1895
0.0068,0.0000,0.0000,0.0000,0.0067,0.0001,200,0.1942
0.0069,0.0000,0.0000,0.0000,0.0068,0.0000,200,0.1942
0.0065,0.0000,0.0000,0.0000,0.0064,0.0001,200,0.1959
0.0067,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.1959
0.0066,0.0000,0.0000,0.0000,0.0065,0.0001,200,0.2011
0.0070,0.0000,0.0000,0.0000,0.0069,0.0000,200,0.2010
0.0062,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.2024
0.0062,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.2026
0.0064,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.2080
0.0067,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.2077
0.0064,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.2087
0.0062,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.2088
0.0065,0.0000,0.0000,0.0000,0.0064,0.0001,200,0.2144
0.0059,0.0000,0.0000,0.0000,0.0059,0.0000,200,0.2150
0.0059,0.0000,0.0000,0.0000,0.0059,0.0000,200,0.2151
0.0066,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.2144
0.0063,0.0000,0.0000,0.0000,0.0062,0.0001,200,0.2209
0.0063,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.2210
0.0064,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.2210
0.0065,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.2210
0.0064,0.0000,0.0000,0.0000,0.0063,0.0001,200,0.2274
0.0063,0.0000,0.0000,0.0000,0.0062,0.0001,200,0.2275
0.0067,0.0000,0.0000,0.0000,0.0065,0.0001,200,0.2272
0.0066,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.2273
0.0065,0.0000,0.0000,0.0000,0.0064,0.0001,200,0.2339
0.0065,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.2339
0.0066,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.2338
0.0070,0.0000,0.0000,0.0000,0.0069,0.0000,200,0.2338
0.0064,0.0000,0.0000,0.0000,0.0063,0.0001,200,0.2404
0.0066,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.2404
0.0062,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.2408
0.0065,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.2404
0.0064,0.0000,0.0000,0.0000,0.0063,0.0001,200,0.2468
0.0063,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.2469
0.0064,0.0000,0.0000,0.0000,0.0063,0.0001,200,0.2469
0.0064,0.0000,0.0000,0.0000,0.0063,0.0001,200,0.2469
0.0068,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.2532
0.0067,0.0000,0.0000,0.0000,0.0066,0.0001,200,0.2534
0.0068,0.0000,0.0000,0.0000,0.0068,0.0000,200,0.2533
0.0069,0.0000,0.0000,0.0000,0.0065,0.0003,200,0.2533
0.0064,0.0000,0.0000,0.0000,0.0063,0.0001,200,0.2600
0.0065,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.2602
0.0065,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.2601
0.0070,0.0000,0.0000,0.0000,0.0069,0.0000,200,0.2601
0.0075,0.0000,0.0000,0.0001,0.0073,0.0001,200,0.2671
0.0083,0.0000,0.0000,0.0000,0.0081,0.0001,200,0.2665
0.0081,0.0000,0.0000,0.0000,0.0081,0.0000,200,0.2666
0.0081,0.0000,0.0000,0.0000,0.0081,0.0000,200,0.2667
0.0065,0.0000,0.0000,0.0000,0.0064,0.0001,200,0.2745
0.0063,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.2748
0.0064,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.2748
0.0065,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.2747
0.0064,0.0000,0.0000,0.0000,0.0063,0.0001,200,0.2811
0.0064,0.0000,0.0000,0.0000,0.0063,0.0001,200,0.2812
0.0065,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.2811
0.0064,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.2812
0.0066,0.0000,0.0000,0.0000,0.0064,0.0001,200,0.2875
0.0065,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.2876
0.0065,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.2876
0.0066,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.2875
