response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0111,0.0001,0.0000,0.0001,0.0106,0.0001,200,0.0002
0.0112,0.0001,0.0000,0.0000,0.0109,0.0000,200,0.0003
0.0138,0.0003,0.0001,0.0001,0.0133,0.0001,200,0.0001
0.0137,0.0002,0.0001,0.0000,0.0133,0.0001,200,0.0002
0.0124,0.0000,0.0000,0.0000,0.0123,0.0000,200,0.0113
0.0123,0.0000,0.0000,0.0000,0.0123,0.0001,200,0.0114
0.0126,0.0000,0.0000,0.0000,0.0125,0.0001,200,0.0139
0.0129,0.0000,0.0000,0.0000,0.0129,0.0000,200,0.0139
0.0111,0.0000,0.0000,0.0000,0.0111,0.0000,200,0.0237
0.0111,0.0000,0.0000,0.0000,0.0111,0.0000,200,0.0237
0.0412,0.0000,0.0000,0.0000,0.0411,0.0001,200,0.0265
0.0409,0.0000,0.0000,0.0000,0.0408,0.0000,200,0.0268
0.0328,0.0000,0.0000,0.0000,0.0328,0.0000,200,0.0349
0.0329,0.0000,0.0000,0.0000,0.0328,0.0000,200,0.0349
0.0060,0.0000,0.0000,0.0000,0.0059,0.0000,200,0.0677
0.0059,0.0000,0.0000,0.0000,0.0058,0.0000,200,0.0678
0.0060,0.0000,0.0000,0.0000,0.0060,0.0000,200,0.0677
0.0060,0.0000,0.0000,0.0000,0.0060,0.0000,200,0.0677
0.0058,0.0000,0.0000,0.0000,0.0058,0.0000,200,0.0737
0.0058,0.0000,0.0000,0.0000,0.0057,0.0000,200,0.0737
0.0058,0.0000,0.0000,0.0000,0.0058,0.0000,200,0.0737
0.0059,0.0000,0.0000,0.0000,0.0059,0.0000,200,0.0737
0.0064,0.0000,0.0000,0.0000,0.0062,0.0002,200,0.0795
0.0064,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.0796
0.0065,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.0795
0.0066,0.0000,0.0000,0.0000,0.0065,0.0001,200,0.0795
0.0062,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.0861
0.0061,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.0861
0.0063,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.0859
0.0063,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.0860
0.0060,0.0000,0.0000,0.0000,0.0059,0.0000,200,0.0923
0.0059,0.0000,0.0000,0.0000,0.0058,0.0000,200,0.0924
0.0060,0.0000,0.0000,0.0000,0.0060,0.0000,200,0.0923
0.0061,0.0000,0.0000,0.0000,0.0060,0.0000,200,0.0923
0.0061,0.0000,0.0000,0.0000,0.0060,0.0000,200,0.0983
0.0061,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.0983
0.0070,0.0000,0.0000,0.0000,0.0069,0.0000,200,0.0983
0.0072,0.0000,0.0000,0.0000,0.0071,0.0000,200,0.0982
0.0060,0.0000,0.0000,0.0000,0.0059,0.0000,200,0.1044
0.0060,0.0000,0.0000,0.0000,0.0060,0.0000,200,0.1044
0.0058,0.0000,0.0000,0.0000,0.0058,0.0000,200,0.1054
0.0061,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.1053
0.0062,0.0000,0.0000,0.0000,0.0061,0.0001,200,0.1104
0.0063,0.0000,0.0000,0.0000,0.0061,0.0001,200,0.1104
0.0061,0.0000,0.0000,0.0000,0.0060,0.0001,200,0.1112
0.0062,0.0000,0.0000,0.0000,0.0061,0.0001,200,0.1114
0.0069,0.0000,0.0000,0.0000,0.0065,0.0004,200,0.1166
0.0068,0.0000,0.0000,0.0000,0.0068,0.0000,200,0.1173
0.0066,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.1176
0.0101,0.0000,0.0000,0.0000,0.0099,0.0001,200,0.1166
0.0068,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.1242
0.0069,0.0000,0.0000,0.0000,0.0068,0.0000,200,0.1242
0.0076,0.0000,0.0000,0.0000,0.0075,0.0000,200,0.1236
0.0070,0.0000,0.0000,0.0000,0.0069,0.0001,200,0.1267
0.0068,0.0000,0.0000,0.0000,0.0068,0.0000,200,0.1312
0.0069,0.0000,0.0000,0.0001,0.0068,0.0000,200,0.1310
0.0069,0.0000,0.0000,0.0000,0.0068,0.0001,200,0.1311
0.0062,0.0000,0.0000,0.0000,0.0061,0.0001,200,0.1337
0.0065,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.1380
0.0065,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.1380
0.0070,0.0000,0.0000,0.0000,0.0069,0.0000,200,0.1380
0.0061,0.0000,0.0000,0.0000,0.0060,0.0000,200,0.1398
0.0062,0.0000,0.0000,0.0000,0.0061,0.0001,200,0.1445
0.0063,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.1445
0.0060,0.0000,0.0000,0.0000,0.0059,0.0000,200,0.1450
0.0060,0.0000,0.0000,0.0000,0.0059,0.0000,200,0.1459
0.0062,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.1507
0.0061,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.1509
0.0063,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.1507
0.0060,0.0000,0.0000,0.0000,0.0059,0.0000,200,0.1519
0.0063,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.1571
0.0064,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.1570
0.0063,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.1571
0.0068,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.1579
0.0064,0.0000,0.0000,0.0000,0.0064,0.0001,200,0.1634
0.0065,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.1633
0.0065,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.1634
0.0063,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.1647
0.0065,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.1698
0.0067,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.1699
0.0068,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.1698
0.0062,0.0000,0.0000,0.0001,0.0060,0.0000,200,0.1710
0.0068,0.0000,0.0000,0.0000,0.0066,0.0001,200,0.1766
0.0071,0.0000,0.0000,0.0000,0.0069,0.0002,200,0.1764
0.0070,0.0000,0.0000,0.0000,0.0067,0.0002,200,0.1766
0.0069,0.0000,0.0000,0.0000,0.0068,0.0000,200,0.1772
0.0066,0.0000,0.0000,0.0000,0.0065,0.0001,200,0.1835
0.0071,0.0000,0.0000,0.0000,0.0071,0.0000,200,0.1835
0.0065,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.1841
0.0075,0.0000,0.0000,0.0000,0.0074,0.0000,200,0.1834
0.0065,0.0000,0.0000,0.0000,0.0064,0.0001,200,0.1901
0.0067,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.1906
0.0064,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.1909
0.0067,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.1906
0.0074,0.0000,0.0000,0.0000,0.0073,0.0001,200,0.1973
0.0074,0.0000,0.0000,0.0001,0.0072,0.0001,200,0.1973
0.0084,0.0000,0.0000,0.0000,0.0083,0.0001,200,0.1966
0.0077,0.0000,0.0000,0.0000,0.0075,0.0002,200,0.1973
0.0064,0.0000,0.0000,0.0000,0.0063,0.0001,200,0.2050
0.0064,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.2050
0.0068,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.2046
0.0069,0.0000,0.0000,0.0000,0.0068,0.0000,200,0.2046
0.0065,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.2116
0.0066,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.2114
0.0066,0.0000,0.0000,0.0000,0.0064,0.0001,200,0.2114
0.0067,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.2114
0.0065,0.0000,0.0000,0.0000,0.0064,0.0001,200,0.2180
0.0065,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.2180
0.0065,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.2181
0.0066,0.0000,0.0000,0.0000,0.0065,0.0001,200,0.2180
0.0064,0.0000,0.0000,0.0000,0.0063,0.0001,200,0.2245
0.0063,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.2246
0.0063,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.2246
0.0070,0.0000,0.0000,0.0000,0.0069,0.0000,200,0.2245
0.0064,0.0000,0.0000,0.0000,0.0063,0.0001,200,0.2309
0.0064,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.2309
0.0065,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.2309
0.0065,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.2315
0.0067,0.0000,0.0000,0.0000,0.0065,0.0002,200,0.2373
0.0067,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.2373
0.0067,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.2374
0.0061,0.0000,0.0000,0.0000,0.0060,0.0000,200,0.2380
0.0065,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.2440
0.0065,0.0000,0.0000,0.0000,0.0064,0.0001,200,0.2441
0.0067,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.2440
0.0077,0.0000,0.0000,0.0000,0.0076,0.0000,200,0.2440
0.0064,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.2505
0.0065,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.2505
0.0064,0.0000,0.0000,0.0000,0.0061,0.0003,200,0.2507
0.0061,0.0000,0.0000,0.0000,0.0060,0.0000,200,0.2517
0.0064,0.0000,0.0000,0.0000,0.0063,0.0001,200,0.2571
0.0066,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.2570
0.0067,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.2570
0.0062,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.2578
0.0068,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.2634
0.0065,0.0000,0.0000,0.0000,0.0064,0.0001,200,0.2637
0.0062,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.2641
0.0066,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.2637
0.0062,0.0000,0.0000,0.0000,0.0061,0.0001,200,0.2702
0.0062,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.2702
0.0062,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.2702
0.0062,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.2702
0.0063,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.2764
0.0064,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.2764
