ok,latency_ms
1,19.577
1,20.727
1,15.14
1,35.259
1,44.448
1,23.094
1,45.538
1,28.646
1,43.554
1,59.832
1,96.109
1,117.866
1,77.403
1,99.551
1,116.952
1,104.016
1,67.834
1,104.361
1,187.23
1,106.987
1,106.075
1,97.177
1,169.819
1,186.082
1,83.294
1,137.074
1,190.95
1,49.818
1,166.238
1,139.278
1,211.146
1,220.186
1,63.247
1,76.442
1,53.959
1,72.802
1,66.866
1,66.839
1,131.952
1,212.253
1,90.034
1,57.288
1,47.092
1,63.068
1,87.44
1,44.239
1,64.718
1,38.578
1,50.611
1,39.354
1,129.227
1,54.817
1,88.676
1,156.02
1,79.761
1,96.678
1,103.367
1,72.402
1,112.87
1,98.689
1,36.184
1,109.168
1,105.871
1,51.405
1,68.458
1,65.074
1,55.829
1,50.907
1,134.617
1,207.991
1,21.213
1,21.032
1,124.527
1,114.58
1,233.1
1,151.542
1,147.475
1,142.194
1,90.878
1,37.505
1,47.468
1,96.483
1,119.208
1,113.865
1,82.227
1,44.923
1,64.232
1,53.432
1,78.653
1,50.858
1,51.797
1,66.106
1,40.261
1,38.991
1,64.563
1,72.011
1,37.95
1,33.553
1,112.842
1,131.657
1,94.253
1,55.184
1,106.345
1,116.549
1,101.984
1,97.095
1,96.849
1,110.808
1,71.305
1,136.767
1,193.459
1,185.329
1,119.691
1,141.285
1,114.809
1,125.102
1,47.808
1,38.537
1,63.685
1,66.031
1,98.351
1,155.369
1,103.587
1,152.569
1,152.87
1,170.742
1,173.256
1,179.046
1,167.869
1,192.329
1,400.253
1,191.997
1,165.897
1,140.383
1,150.215
1,112.688
1,207.799
1,72.334
1,228.79
1,106.152
1,215.022
1,122.849
1,307.597
1,256.93
1,386.605
1,106.077
1,67.008
1,90.344
1,76.034
1,101.099
1,94.136
1,68.879
1,75.808
1,121.929
1,260.246
1,73.577
1,223.825
1,225.77
1,120.407
1,120.906
1,105.992
1,117.502
1,214.686
1,241.319
1,243.976
1,246.081
1,247.026
1,38.47
1,84.41
1,158.13
1,163.355
1,150.877
1,140.989
1,81.167
1,117.537
1,46.498
1,64.85
1,31.189
1,86.809
1,95.451
1,64.083
1,92.649
1,79.111
1,132.232
1,138.405
1,140.509
1,141.455
1,143.917
1,142.993
1,143.837
1,87.131
1,146.74
1,146.063
1,61.85
1,61.339
1,49.542
1,163.464
1,51.693
1,202.601
1,59.36
1,78.789
1,60.806
1,86.281
1,85.9
1,96.576
1,95.24
1,211.048
1,272.325
1,59.786
1,268.358
1,134.289
1,136.189
1,115.191
1,143.152
1,79.475
1,141.34
1,114.331
1,80.598
1,164.219
1,256.333
1,107.727
1,117.016
1,62.112
1,122.48
1,267.776
1,103.555
1,93.842
1,65.922
1,70.801
1,88.818
1,52.915
1,57.274
1,97.042
1,59.712
1,56.974
1,103.569
1,43.435
1,122.578
1,64.62
1,63.941
1,127.689
1,34.024
1,75.731
1,77.263
1,107.051
1,31.502
1,94.735
1,145.911
1,135.183
1,80.569
1,24.204
1,24.129
1,66.553
1,42.26
1,55.905
1,96.184
1,90.394
1,140.352
1,58.926
1,88.035
1,67.426
1,68.836
1,86.439
1,72.8
1,73.625
1,116.16
1,103.804
1,99.696
1,117.993
1,69.663
1,74.394
1,73.882
1,112.168
1,111.559
1,58.178
1,69.045
1,54.101
1,63.856
1,66.891
1,69.571
1,85.123
1,73.569
1,52.778
1,81.904
1,87.645
1,76.189
1,92.76
1,89.05
1,91.015
1,60.208
1,114.437
1,125.823
1,110.68
1,119.773
1,133.699
1,110.752
1,135.366
1,90.981
1,130.145
1,136.055
1,132.858
1,85.535
1,95.905
1,136.262
1,96.195
1,106.579
1,96.49
1,129.966
1,122.668
1,143.52
1,100.11
1,93.125
1,40.818
1,55.548
1,46.394
1,93.585
1,99.455
1,83.536
1,73.566
1,77.986
1,86.265
1,90.387
1,91.714
1,88.806
1,52.112
1,101.342
1,86.689
1,56.994
1,51.586
1,61.861
1,67.996
1,68.953
1,121.199
1,46.854
1,75.234
1,51.964
1,57.178
1,51.292
1,42.217
1,36.637
1,51.631
1,68.043
1,63.318
1,70.458
1,68.47
1,35.02
1,48.348
1,57.665
1,48.745
1,116.032
1,76.618
1,64.211
1,46.061
1,50.944
1,48.828
1,47.092
1,46.827
1,35.608
1,45.524
1,38.778
1,104.072
1,22.198
1,57.552
1,47.762
1,116.723
1,55.15
1,40.0
1,63.493
1,25.212
1,64.495
1,35.408
1,83.572
1,85.155
1,59.807
1,46.311
1,70.976
1,73.954
1,56.112
1,55.445
1,78.193
1,34.827
1,40.586
1,43.984
1,87.079
1,63.907
1,47.79
1,64.392
1,66.696
1,40.339
1,112.947
1,66.722
1,66.224
1,106.937
1,41.398
1,33.368
1,35.084
1,32.444
1,39.116
1,70.626
1,46.408
1,61.523
1,35.981
1,57.883
1,59.064
1,56.626
1,33.529
1,64.443
1,73.742
1,69.214
1,66.865
1,56.496
1,53.39
1,66.562
1,29.212
1,42.404
1,67.509
1,44.195
1,69.212
1,75.291
1,31.439
1,74.677
1,43.274
1,44.705
1,29.098
1,56.325
1,43.553
1,56.632
1,46.046
1,51.557
1,52.503
1,51.866
1,43.319
1,68.948
1,44.859
1,33.557
1,49.141
1,31.942
1,69.766
1,42.259
1,54.929
1,77.352
1,38.01
1,46.504
1,78.421
1,53.905
1,86.793
1,87.641
1,49.188
1,46.291
1,36.752
1,66.43
1,106.838
1,84.369
1,76.385
1,35.95
1,119.175
1,58.136
1,96.834
1,43.877
1,110.576
1,59.663
1,58.649
1,55.371
1,38.585
1,71.534
1,80.247
1,48.399
1,78.967
1,59.888
1,77.227
1,44.608
1,153.532
1,24.179
1,63.923
1,67.811
1,41.737
1,45.299
1,37.371
1,51.044
1,60.551
1,93.357
1,57.774
1,96.904
1,75.038
1,59.654
1,44.98
1,50.338
1,54.796
1,82.802
1,61.039
1,72.981
1,69.443
1,43.003
1,53.931
1,87.87
1,97.678
1,84.324
1,109.196
1,85.572
1,56.593
1,91.288
1,89.636
1,77.302
1,34.379
1,104.682
1,117.23
1,47.554
1,126.737
1,63.883
1,98.488
1,78.397
1,78.081
1,62.482
1,92.151
1,45.595
1,89.703
1,80.308
1,65.767
1,63.337
1,86.686
1,81.471
1,83.902
1,78.138
1,79.072
1,48.331
1,48.183
1,51.708
1,56.206
1,74.563
1,59.387
1,63.971
1,66.178
1,69.265
1,34.376
1,76.193
1,42.428
1,82.911
1,44.296
1,64.209
1,68.052
1,71.843
1,72.672
1,69.139
1,79.371
1,91.303
1,87.066
1,105.868
1,80.501
1,81.475
1,101.837
1,119.006
1,113.911
1,87.219
1,97.225
1,134.371
1,117.69
1,71.281
1,84.673
1,82.124
1,80.889
1,61.12
1,101.748
1,55.434
1,160.69
1,91.149
1,66.134
1,113.386
1,46.955
1,72.645
1,48.393
1,80.766
1,92.308
1,86.265
1,90.372
1,46.435
1,111.012
1,109.772
1,21.968
1,72.303
1,73.572
1,55.575
1,76.308
1,73.542
1,74.444
1,84.945
1,87.275
1,75.109
1,87.288
1,59.137
1,60.514
1,20.657
1,41.812
1,27.353
1,19.1
1,56.475
1,71.333
1,58.96
1,72.102
1,54.37
1,63.699
1,60.925
1,64.143
1,56.116
1,60.39
1,64.568
1,58.622
1,66.888
1,60.169
1,79.132
1,78.891
1,84.055
1,85.935
1,33.567
1,88.502
1,35.444
1,39.015
1,99.757
1,47.12
1,43.159
1,49.048
1,44.448
1,50.275
1,37.589
1,38.665
1,48.71
1,63.336
1,56.732
1,67.371
1,41.674
1,35.85
1,38.428
1,77.814
1,57.128
1,47.815
1,85.017
1,71.067
1,76.45
1,70.657
1,53.588
1,54.349
1,59.314
1,37.475
1,74.944
1,64.675
1,65.636
1,63.79
1,65.043
1,58.014
1,84.242
1,70.558
1,37.782
1,65.745
1,39.021
1,59.075
1,56.241
1,65.158
1,34.94
1,61.689
1,28.094
1,25.461
1,41.099
1,78.235
1,90.26
1,27.009
1,88.089
1,31.175
1,57.049
1,41.599
1,58.66
1,60.361
1,60.63
1,84.183
1,35.78
1,46.638
1,93.629
1,26.152
1,35.016
1,57.863
1,52.682
1,51.594
1,37.842
1,58.999
1,36.429
1,52.409
1,36.632
1,33.389
1,52.938
1,31.232
1,55.481
1,31.167
1,40.623
1,47.135
1,65.33
1,59.834
1,66.83
1,59.377
1,79.718
1,42.242
1,70.731
1,82.702
1,74.624
1,48.698
1,71.807
1,64.606
1,28.698
1,37.292
1,75.499
1,37.995
1,40.919
1,46.961
1,66.201
1,55.733
1,55.357
1,89.144
1,40.68
1,46.637
1,90.689
1,91.683
1,59.45
1,46.953
1,51.961
1,57.557
1,69.218
1,82.486
1,59.628
1,78.737
1,83.291
1,33.424
1,62.24
1,60.156
1,34.009
1,58.561
1,72.917
1,87.506
1,57.333
1,77.113
1,38.471
1,80.1
1,78.952
1,52.67
1,95.929
1,29.932
1,42.28
1,88.757
1,45.458
1,36.929
1,62.841
1,20.693
1,55.819
1,68.582
1,30.865
1,48.836
1,21.014
1,26.093
1,72.97
1,59.676
1,64.823
1,47.351
1,64.886
1,35.36
1,28.911
1,35.142
1,44.525
1,67.365
1,97.232
1,60.953
1,42.529
1,92.848
1,36.612
1,73.827
1,46.313
1,41.272
1,29.96
1,58.915
1,62.498
1,52.419
1,68.751
1,37.335
1,68.269
1,72.218
1,46.252
1,54.54
1,38.343
1,25.401
1,71.048
1,67.727
1,48.944
1,69.496
1,77.683
1,42.438
1,43.551
1,42.697
1,46.102
1,34.85
1,64.141
1,80.365
1,39.726
1,51.719
1,37.88
1,61.607
1,41.887
1,35.867
1,59.34
1,37.029
1,58.011
1,84.3
1,84.337
1,54.098
1,59.599
1,73.632
1,86.146
1,84.804
1,42.134
1,68.179
1,68.066
1,45.574
1,88.047
1,70.994
1,88.979
1,114.174
1,58.476
1,98.921
1,98.393
1,59.447
1,91.774
1,109.051
1,57.751
1,77.392
1,80.459
1,58.142
1,51.247
1,105.283
1,106.476
1,151.265
1,74.562
1,43.096
1,66.149
1,105.053
1,47.859
1,74.191
1,84.714
1,77.115
1,113.2
1,75.677
1,41.353
1,109.834
1,143.457
1,66.749
1,62.918
1,45.781
1,80.806
1,112.939
1,61.392
1,64.095
1,74.477
1,50.289
1,32.564
1,32.564
1,38.833
1,67.069
1,58.812
1,54.669
1,31.364
1,81.061
1,34.534
1,64.281
1,33.246
1,32.837
1,64.051
1,35.598
1,36.735
1,97.164
1,53.863
1,48.601
1,51.465
1,38.879
1,24.596
1,24.191
1,41.39
1,40.32
1,42.646
1,52.761
1,40.604
1,27.066
1,39.584
1,45.498
1,43.645
1,44.508
1,50.364
1,52.791
1,46.879
1,42.596
1,57.787
1,36.856
1,33.411
1,46.603
1,54.482
1,59.939
1,61.456
1,59.626
1,71.005
1,47.99
1,31.585
1,32.19
1,34.469
1,40.022
1,43.998
1,44.568
1,31.247
1,27.298
1,50.938
1,26.441
1,31.805
1,34.868
1,42.917
1,50.345
1,46.307
1,59.118
1,67.759
1,32.237
1,55.797
1,27.824
1,45.736
1,43.616
1,49.162
1,50.134
1,25.07
1,63.365
1,79.326
1,51.628
1,64.189
1,48.14
1,43.067
1,49.483
1,26.563
1,59.743
1,29.206
1,55.865
1,55.674
1,35.012
1,35.1
1,31.755
1,69.963
1,74.141
1,53.445
1,55.569
1,37.389
1,26.632
1,29.266
1,40.6
1,48.252
1,55.248
1,37.289
1,25.331
1,60.149
1,34.697
1,59.903
1,86.038
1,60.603
1,94.533
1,85.948
1,48.33
1,34.057
1,45.691
1,39.113
1,50.031
1,67.399
1,87.322
1,126.656
1,85.733
1,64.028
1,91.949
1,52.422
1,74.281
1,137.195
1,56.113
1,48.427
1,87.417
1,40.517
1,61.345
1,52.78
1,68.381
1,93.994
1,19.419
1,67.715
1,44.814
1,37.072
1,48.668
1,37.673
1,33.429
1,58.229
1,62.665
1,68.616
1,60.465
1,52.942
1,51.738
1,66.277
1,18.132
1,50.656
1,54.194
1,54.383
1,26.61
1,36.668
1,65.418
1,36.616
1,63.893
1,66.528
1,64.139
1,38.46
1,32.43
1,72.235
1,47.417
1,51.228
1,43.279
1,42.925
1,33.577
1,33.019
1,44.169
1,43.577
1,48.348
1,19.285
1,27.258
1,24.44
1,35.341
1,39.764
1,33.924
1,57.025
1,37.136
1,28.59
1,47.16
1,23.883
1,47.401
1,37.955
1,36.939
1,39.94
1,34.631
1,43.257
1,40.796
1,21.854
1,66.719
1,39.542
1,44.683
1,53.413
1,46.654
1,62.336
1,27.952
1,48.166
1,48.637
1,37.76
1,47.573
1,39.548
1,63.899
1,53.557
1,19.392
1,36.074
1,54.72
1,59.456
1,37.604
1,25.305
1,68.49
1,64.482
1,32.214
1,76.406
1,59.316
1,54.179
1,66.223
1,64.814
1,63.924
1,61.305
1,46.488
1,56.016
1,45.996
1,45.14
1,41.339
1,66.959
1,33.435
1,64.186
1,26.42
1,20.177
1,27.337
1,43.039
1,54.52
1,32.337
1,36.888
1,71.399
1,30.785
1,28.056
1,29.41
1,46.937
1,39.242
1,25.191
1,44.529
1,45.328
1,57.025
1,37.425
1,54.632
1,41.655
1,63.244
1,46.892
1,45.033
1,26.097
1,40.864
1,27.288
1,34.495
1,31.88
1,34.689
1,35.628
1,28.943
1,58.502
1,55.651
1,32.795
1,43.751
1,61.206
1,66.66
1,45.048
1,69.903
1,60.097
1,66.674
1,43.849
1,45.451
1,39.984
1,53.938
1,85.024
1,90.819
1,39.244
1,73.544
1,91.402
1,44.523
1,45.168
1,39.513
1,54.05
1,35.409
1,54.01
1,23.713
1,56.538
1,43.386
1,47.289
1,31.432
1,54.859
1,32.038
1,25.733
1,26.253
1,24.598
1,33.776
1,36.92
1,42.243
1,34.315
1,40.499
1,59.568
1,25.098
1,59.978
1,54.385
1,29.535
1,50.488
1,52.444
1,57.573
1,57.758
1,60.889
1,69.164
1,83.527
1,39.456
1,85.582
1,58.851
1,61.701
1,94.994
1,91.24
1,106.738
1,49.269
1,93.787
1,110.767
1,58.926
1,51.22
1,58.777
1,31.681
1,50.056
1,66.727
1,70.322
1,74.577
1,50.774
1,37.094
1,48.512
1,22.914
1,55.381
1,37.074
1,45.417
1,28.388
1,58.492
1,37.864
1,77.821
1,104.659
1,31.319
1,81.834
1,28.294
1,62.825
1,90.971
1,84.676
1,59.618
1,69.096
1,36.555
1,53.718
1,48.527
1,109.834
1,31.559
1,45.654
1,47.003
1,35.799
1,35.337
1,26.278
1,87.184
1,88.593
1,53.718
1,69.454
1,114.02
1,72.751
1,117.473
1,50.699
1,36.84
1,126.702
1,48.622
1,72.756
1,56.22
1,39.332
1,139.399
1,48.616
1,33.934
1,37.925
1,36.087
1,74.459
1,45.29
1,35.16
1,66.139
1,62.076
1,40.98
1,69.471
1,40.233
1,72.873
1,52.226
1,93.005
1,72.953
1,62.717
1,69.187
1,99.437
1,42.082
1,73.992
1,59.564
1,66.891
1,34.939
1,75.112
1,69.782
1,89.995
1,29.043
1,71.537
1,89.393
1,34.093
1,38.829
1,44.945
1,42.112
1,101.988
1,48.466
1,46.998
1,71.363
1,108.583
1,106.231
1,58.696
1,89.122
1,54.854
1,28.384
1,38.764
1,66.576
1,27.918
1,33.489
1,43.865
1,61.445
1,31.14
1,47.901
1,78.33
1,84.321
1,84.747
1,90.783
1,45.895
1,103.489
1,32.683
1,55.01
1,58.142
1,51.435
1,70.572
1,44.151
1,54.65
1,72.229
1,71.55
1,54.27
1,69.234
1,56.117
1,55.233
1,77.389
1,36.396
1,69.561
1,48.793
1,70.303
1,71.667
1,57.073
1,76.187
1,63.534
1,46.236
1,43.84
1,69.463
1,39.631
1,50.927
1,53.541
1,42.143
1,34.994
1,21.526
1,46.636
1,26.563
1,68.862
1,54.721
1,18.915
1,85.208
1,27.088
1,44.525
1,27.618
1,65.672
1,67.659
1,52.014
1,43.57
1,61.296
1,76.72
1,98.894
1,68.965
1,123.984
1,57.81
1,57.883
1,45.944
1,61.485
1,50.353
1,48.671
1,71.872
1,40.097
1,74.472
1,35.658
1,64.69
1,68.439
1,33.519
1,59.199
1,61.236
1,42.467
1,77.544
1,26.052
1,26.051
1,40.987
1,21.253
1,105.056
1,41.933
1,21.53
1,45.607
1,39.253
1,61.309
1,37.98
1,67.811
1,27.954
1,47.58
1,31.919
1,38.558
1,28.931
1,28.802
1,39.39
1,94.996
1,65.786
1,34.619
1,67.797
1,28.3
1,85.135
1,87.637
1,90.102
1,65.871
1,40.268
1,41.533
1,65.208
1,69.633
1,98.559
1,47.952
1,60.65
1,57.531
1,75.114
1,38.051
1,43.173
1,84.298
1,97.807
1,56.264
1,55.086
1,61.038
1,78.197
1,55.473
1,61.323
1,71.353
1,76.306
1,52.723
1,42.025
1,62.301
1,61.612
1,49.314
1,52.066
1,85.984
1,55.886
1,57.575
1,59.248
1,41.791
1,66.578
1,86.151
1,28.416
1,36.299
1,38.698
1,87.93
1,52.881
1,52.555
1,38.229
1,53.853
1,44.5
1,63.029
1,41.106
1,58.165
1,63.091
1,47.595
1,43.341
1,61.973
1,65.339
1,71.289
1,45.819
1,43.802
1,79.983
1,63.19
1,78.302
1,67.053
1,91.486
1,76.197
1,67.298
1,74.154
1,36.057
1,104.629
1,47.131
1,57.825
1,102.166
1,59.313
1,59.062
1,65.625
1,60.773
1,41.332
1,40.776
1,36.046
1,46.686
1,22.846
1,41.208
1,73.631
1,62.294
1,61.102
1,21.5
1,49.736
1,29.689
1,41.485
1,47.219
1,60.149
1,54.046
1,40.789
1,47.871
1,86.217
1,50.905
1,46.979
1,46.1
1,44.853
1,53.788
1,42.306
1,55.162
1,55.019
1,57.064
1,62.168
1,53.304
1,52.874
1,69.411
1,75.424
1,47.746
1,80.774
1,24.042
1,36.992
1,39.073
1,36.095
1,40.139
1,36.934
1,67.179
1,77.073
1,71.762
1,75.074
1,84.03
1,54.705
1,68.189
1,64.462
1,78.651
1,51.921
1,83.58
1,94.167
1,86.436
1,28.787
1,80.511
1,96.831
1,112.691
1,75.543
1,46.454
1,111.999
1,46.41
1,86.81
1,91.836
1,122.834
1,43.631
1,38.353
1,51.207
1,53.398
1,100.321
1,130.248
1,127.713
1,141.261
1,94.724
1,57.618
1,135.559
1,55.364
1,58.431
1,93.429
1,75.188
1,52.905
1,45.132
1,73.391
1,37.961
1,65.599
1,85.408
1,84.408
1,81.313
1,72.64
1,34.49
1,40.379
1,41.713
1,55.925
1,52.704
1,45.333
1,28.778
1,71.004
1,39.324
1,59.193
1,40.624
1,53.117
1,53.886
1,48.12
1,75.47
1,39.901
1,59.328
1,65.586
1,40.983
1,38.503
1,50.338
1,58.637
1,27.433
1,29.005
1,36.803
1,45.751
1,53.978
1,43.712
1,34.483
1,55.411
1,28.923
1,26.129
1,40.923
1,70.426
1,67.498
1,39.5
1,23.892
1,68.185
1,66.601
1,33.63
1,49.213
1,46.927
1,51.453
1,53.298
1,18.826
1,21.963
1,44.827
1,44.06
1,39.421
1,48.087
1,65.027
1,61.036
1,78.536
1,79.875
1,82.898
1,80.242
1,74.132
1,88.126
1,78.938
1,83.023
1,99.087
1,107.612
1,127.474
1,104.488
1,108.182
1,30.134
1,80.758
1,97.378
1,44.303
1,127.637
1,77.258
1,48.355
1,107.534
1,39.218
1,89.02
1,82.407
1,85.163
1,73.451
1,113.238
1,47.73
1,71.2
1,56.554
1,59.093
1,63.846
1,49.659
1,31.877
1,122.716
1,24.105
1,43.356
1,29.422
1,58.008
1,22.197
1,46.106
1,48.695
1,58.363
1,35.31
1,29.98
1,44.156
1,43.059
1,42.288
1,55.986
1,32.767
1,50.223
1,47.271
1,70.625
1,62.299
1,68.308
1,89.324
1,53.037
1,56.802
1,73.465
1,65.909
1,51.66
1,64.615
1,56.748
1,65.805
1,38.467
1,88.486
1,46.203
1,63.44
1,40.749
1,57.213
1,55.721
1,67.64
1,42.654
1,44.325
1,49.204
1,24.994
1,57.643
1,52.146
1,36.92
1,83.871
1,83.622
1,83.021
1,87.87
1,39.22
1,63.512
1,73.045
1,44.901
1,87.083
1,48.367
1,59.769
1,40.257
1,58.917
1,98.101
1,66.252
1,72.118
1,47.192
1,66.286
1,64.42
1,48.043
1,73.831
1,45.728
1,79.252
1,75.12
1,77.984
1,41.769
1,60.518
1,88.006
1,83.761
1,64.791
1,43.622
1,43.104
1,60.331
1,37.172
1,57.988
1,65.09
1,67.772
1,30.485
1,71.991
1,103.054
1,54.771
1,35.142
1,42.309
1,54.482
1,60.868
1,60.812
1,57.302
1,67.424
1,69.747
1,72.246
1,63.737
1,53.531
1,52.964
1,58.095
1,36.645
1,40.555
1,69.474
1,66.882
1,55.823
1,61.081
1,49.722
1,38.343
1,31.666
1,95.392
1,97.563
1,66.264
1,74.447
1,79.282
1,54.981
1,49.776
1,62.913
1,91.603
1,54.909
1,93.793
1,90.537
1,61.466
1,88.182
1,38.526
1,75.75
1,78.29
1,70.657
1,61.4
1,39.821
1,110.153
1,80.962
1,71.327
1,60.568
1,72.935
1,24.959
1,49.869
1,47.139
1,47.72
1,43.27
1,63.43
1,46.181
1,34.338
1,45.844
1,22.318
1,53.091
1,65.059
1,60.771
1,59.263
1,90.457
1,29.854
1,87.946
1,62.663
1,81.556
1,51.878
1,78.225
1,56.919
1,55.328
1,65.877
1,69.517
1,57.63
1,74.388
1,70.644
1,46.115
1,46.612
1,66.895
1,46.31
1,29.082
1,41.15
1,37.11
1,57.872
1,63.102
1,58.531
1,65.513
1,65.05
1,54.366
1,36.331
1,64.224
1,42.78
1,47.4
1,27.025
1,51.519
1,66.178
1,76.556
1,51.715
1,36.698
1,59.159
1,49.653
1,17.553
1,52.429
1,31.694
1,43.963
1,35.562
1,35.895
1,58.836
1,33.213
1,39.277
1,51.912
1,54.844
1,56.131
1,53.56
1,38.347
1,43.879
1,32.524
1,62.836
1,58.576
1,64.839
1,45.784
1,33.066
1,41.976
1,49.697
1,40.764
1,58.816
1,25.824
1,25.41
1,35.495
1,54.391
1,73.41
1,58.952
1,68.694
1,38.708
1,44.249
1,95.953
1,51.319
1,37.611
1,31.581
1,46.103
1,50.247
1,61.814
1,47.683
1,65.58
1,60.666
1,31.891
1,49.68
1,53.739
1,44.472
1,60.355
1,47.428
1,26.351
1,73.87
1,62.814
1,20.911
1,37.468
1,54.165
1,37.8
1,96.396
1,50.456
1,80.62
1,85.252
1,54.295
1,40.688
1,110.134
1,76.447
1,36.793
1,28.694
1,43.178
1,38.88
1,52.81
1,26.437
1,47.991
1,61.746
1,90.589
1,48.497
1,42.809
1,22.265
1,42.876
1,78.064
1,28.028
1,19.903
1,64.73
1,53.389
1,67.277
1,46.179
1,31.709
1,58.278
1,36.936
1,40.976
1,77.846
1,59.129
1,49.405
1,80.524
1,48.141
1,47.077
1,47.572
1,53.328
1,41.912
1,39.78
1,46.764
1,31.41
1,75.608
1,34.487
1,61.228
1,30.647
1,39.634
1,35.983
1,21.806
1,49.255
1,74.502
1,24.414
1,32.907
1,58.186
1,36.56
1,29.656
1,54.612
1,64.606
1,44.643
1,35.541
1,60.768
1,46.764
1,73.988
1,44.138
1,37.202
1,76.551
1,49.781
1,49.335
1,43.294
1,30.752
1,32.771
1,39.727
1,49.295
1,46.903
1,47.012
1,38.581
1,32.698
1,65.608
1,21.16
1,57.398
1,51.797
1,29.141
1,56.605
1,61.165
1,34.251
1,57.874
1,43.095
1,47.042
1,32.171
1,74.788
1,37.646
1,51.656
1,65.373
1,70.393
1,77.127
1,70.386
1,47.049
1,25.086
1,18.362
1,44.388
1,41.273
1,55.528
1,40.273
1,49.319
1,37.939
1,47.813
1,62.747
1,37.79
1,34.105
1,62.362
1,72.455
1,56.711
1,56.803
1,106.231
1,88.944
1,62.785
1,68.645
1,58.583
1,89.63
1,68.878
1,45.802
1,84.587
1,53.259
1,48.972
1,35.447
1,57.788
1,54.425
1,33.036
1,52.802
1,37.916
1,80.639
1,64.275
1,45.819
1,32.229
1,30.828
1,51.362
1,55.258
1,45.762
1,46.942
1,65.866
1,38.697
1,36.03
1,43.319
1,71.812
1,17.908
1,38.972
1,48.44
1,82.317
1,67.9
1,26.291
1,50.997
