t,container,cpu_pct,mem_mb
1785792081.91,01KZ4R0PZNNG8G00GZJ0000058,0.0,12.6328125
1785792081.91,01KZ4R0PZMNG8G00GZJ0000056,0.0,12.51953125
1785792081.91,01KZ4R0FQPNG8G00GZJ000000T,0.0,12.5390625
1785792081.91,01KZ4R0FPYNG8G00GZJ000000J,0.0,12.6015625
1785792081.91,01KZ4R0FQ0NG8G00GZJ000000M,0.0,12.56640625
1785792081.91,01KZ4R0FQ1NG8G00GZJ000000P,0.0,12.88671875
1785792081.91,01KZ4R0FPWNG8G00GZJ000000E,0.0,12.5546875
1785792081.91,01KZ4R0FPWNG8G00GZJ000000G,0.0,12.5390625
1785792081.91,01KZ4R0FQ5NG8G00GZJ000000R,0.0,12.55078125
1785792081.91,01KZ4R0FPSNG8G00GZJ000000A,0.0,24.078125
1785792081.91,01KZ4R0FPTNG8G00GZJ000000C,0.0,12.5546875
1785792081.91,01KZ4R0D39NG8G00GZJ0000005,0.0,12.84765625
1785792081.91,fnserver,0.0,66.3046875
1785792081.92,01KZ4R0PZNNG8G00GZJ0000058,0.0,12.6328125
1785792081.92,01KZ4R0PZMNG8G00GZJ0000056,0.0,12.51953125
1785792081.92,01KZ4R0FQPNG8G00GZJ000000T,0.0,12.5390625
1785792081.92,01KZ4R0FPYNG8G00GZJ000000J,0.0,12.6015625
1785792081.92,01KZ4R0FQ0NG8G00GZJ000000M,0.0,12.56640625
1785792081.92,01KZ4R0FQ1NG8G00GZJ000000P,0.0,12.88671875
1785792081.92,01KZ4R0FPWNG8G00GZJ000000E,0.0,12.5546875
1785792081.92,01KZ4R0FPWNG8G00GZJ000000G,0.0,12.5390625
1785792081.92,01KZ4R0FQ5NG8G00GZJ000000R,0.0,12.55078125
1785792081.92,01KZ4R0FPSNG8G00GZJ000000A,0.0,24.078125
1785792081.92,01KZ4R0FPTNG8G00GZJ000000C,0.0,12.5546875
1785792081.92,01KZ4R0D39NG8G00GZJ0000005,0.0,12.84765625
1785792081.92,fnserver,0.0,66.3046875
1785792081.93,01KZ4R0PZNNG8G00GZJ0000058,0.0,12.6328125
1785792081.93,01KZ4R0PZMNG8G00GZJ0000056,0.0,12.51953125
1785792081.93,01KZ4R0FQPNG8G00GZJ000000T,0.0,12.5390625
1785792081.93,01KZ4R0FPYNG8G00GZJ000000J,0.0,12.6015625
1785792081.93,01KZ4R0FQ0NG8G00GZJ000000M,0.0,12.56640625
1785792081.93,01KZ4R0FQ1NG8G00GZJ000000P,0.0,12.88671875
1785792081.93,01KZ4R0FPWNG8G00GZJ000000E,0.0,12.5546875
1785792081.93,01KZ4R0FPWNG8G00GZJ000000G,0.0,12.5390625
1785792081.93,01KZ4R0FQ5NG8G00GZJ000000R,0.0,12.55078125
1785792081.93,01KZ4R0FPSNG8G00GZJ000000A,0.0,24.078125
1785792081.93,01KZ4R0FPTNG8G00GZJ000000C,0.0,12.5546875
1785792081.93,01KZ4R0D39NG8G00GZJ0000005,0.0,12.84765625
1785792081.93,fnserver,0.0,66.3046875
1785792081.96,01KZ4R0PZNNG8G00GZJ0000058,0.0,12.6328125
1785792081.96,01KZ4R0PZMNG8G00GZJ0000056,0.0,12.51953125
1785792081.96,01KZ4R0FQPNG8G00GZJ000000T,0.0,12.5390625
1785792081.96,01KZ4R0FPYNG8G00GZJ000000J,0.0,12.6015625
1785792081.96,01KZ4R0FQ0NG8G00GZJ000000M,0.0,12.56640625
1785792081.96,01KZ4R0FQ1NG8G00GZJ000000P,0.0,12.88671875
1785792081.96,01KZ4R0FPWNG8G00GZJ000000E,0.0,12.5546875
1785792081.96,01KZ4R0FPWNG8G00GZJ000000G,0.0,12.5390625
1785792081.96,01KZ4R0FQ5NG8G00GZJ000000R,0.0,12.55078125
1785792081.96,01KZ4R0FPSNG8G00GZJ000000A,0.0,24.078125
1785792081.96,01KZ4R0FPTNG8G00GZJ000000C,0.0,12.5546875
1785792081.96,01KZ4R0D39NG8G00GZJ0000005,0.0,12.84765625
1785792081.96,fnserver,2.4142456819718436,66.3046875
1785792081.97,01KZ4R0PZNNG8G00GZJ0000058,0.0,12.6328125
1785792081.97,01KZ4R0PZMNG8G00GZJ0000056,0.0,12.51953125
1785792081.97,01KZ4R0FQPNG8G00GZJ000000T,0.0,12.5390625
1785792081.97,01KZ4R0FPYNG8G00GZJ000000J,0.0,12.6015625
1785792081.97,01KZ4R0FQ0NG8G00GZJ000000M,0.0,12.56640625
1785792081.97,01KZ4R0FQ1NG8G00GZJ000000P,0.0,12.88671875
1785792081.97,01KZ4R0FPWNG8G00GZJ000000E,0.0,12.5546875
1785792081.97,01KZ4R0FPWNG8G00GZJ000000G,0.0,12.5390625
