ok,latency_ms
1,1625.658
1,1676.437
1,1595.983
1,7.282
1,1647.642
1,4.565
1,1675.188
1,1635.77
1,18.335
1,15.457
1,15.97
1,23.13
1,1714.788
1,1726.164
1,1693.269
1,1732.489
1,20.172
1,36.127
1,32.879
1,29.397
1,1686.306
1,1745.79
1,24.638
1,24.878
1,1734.817
1,1765.099
1,30.573
1,50.274
1,34.051
1,25.631
1,38.498
1,1776.16
1,1779.005
1,30.26
1,19.297
1,1711.119
1,39.896
1,17.657
1,19.582
1,8.759
1,7.701
1,6.834
1,5.609
1,23.393
1,25.284
1,12.84
1,59.212
1,13.536
1,50.894
1,59.252
1,30.651
1,67.456
1,63.542
1,24.017
1,99.331
1,76.057
1,101.067
1,24.343
1,22.045
1,1801.241
1,106.688
1,113.253
1,147.405
1,25.95
1,21.836
1,1830.148
1,18.494
1,32.548
1,22.079
1,34.921
1,22.593
1,34.975
1,69.483
1,70.852
1,28.181
1,33.724
1,24.708
1,16.162
1,31.609
1,166.525
1,29.302
1,53.429
1,22.411
1,64.258
1,142.241
1,110.756
1,119.842
1,42.29
1,28.435
1,69.418
1,142.625
1,210.83
1,75.755
1,58.393
1,71.304
1,30.012
1,80.283
1,61.027
1,1900.443
1,179.343
1,36.145
1,122.148
1,38.474
1,105.928
1,86.979
1,24.544
1,55.587
1,23.571
1,26.15
1,45.355
1,69.173
1,109.313
1,83.846
1,82.922
1,62.701
1,85.989
1,117.542
1,147.653
1,92.985
1,67.783
1,127.832
1,72.234
1,86.354
1,82.192
1,134.369
1,115.721
1,142.082
1,119.784
1,124.674
1,164.075
1,55.528
1,95.406
1,106.702
1,58.102
1,94.28
1,126.204
1,56.586
1,35.212
1,130.349
1,94.152
1,79.096
1,86.108
1,56.198
1,142.974
1,92.765
1,85.733
1,46.741
1,141.489
1,74.961
1,84.06
1,140.276
1,89.241
1,102.161
1,84.715
1,102.849
1,59.877
1,99.899
1,124.462
1,100.858
1,174.537
1,106.406
1,106.608
1,153.394
1,140.989
1,114.013
1,142.726
1,132.185
1,71.395
1,79.664
1,74.917
1,75.005
1,89.506
1,49.197
1,75.43
1,27.604
1,43.05
1,49.96
1,81.482
1,41.998
1,41.606
1,40.186
1,63.406
1,29.875
1,46.532
1,14.28
1,12.802
1,14.155
1,13.388
1,17.118
1,9.183
1,17.683
1,51.835
1,13.444
1,12.225
1,10.434
1,11.961
1,9.737
1,11.449
1,10.329
1,8.463
1,40.681
1,6.082
1,4.308
1,5.053
1,4.36
1,3.959
1,4.238
1,4.59
1,4.712
1,25.088
1,5.237
1,16.811
1,116.104
1,187.951
1,185.355
1,27.731
1,121.362
1,11.16
1,135.556
1,33.132
1,161.78
1,31.883
1,25.556
1,174.828
1,198.904
1,35.673
1,42.282
1,35.821
1,187.67
1,222.645
1,268.9
1,91.886
1,49.646
1,41.475
1,55.949
1,211.644
1,235.808
1,91.268
1,82.32
1,98.88
1,254.01
1,212.161
1,280.24
1,117.307
1,53.807
1,30.833
1,89.97
1,195.999
1,19.183
1,53.761
1,113.336
1,77.119
1,30.822
1,26.386
1,34.317
1,32.608
1,32.563
1,123.315
1,37.71
1,32.539
1,43.95
1,126.399
1,127.971
1,144.399
1,43.369
1,43.36
1,114.533
1,36.804
1,130.962
1,62.749
1,68.36
1,63.063
1,27.269
1,36.525
1,51.737
1,30.748
1,65.834
1,85.058
1,64.309
1,43.119
1,77.447
1,77.972
1,115.749
1,62.624
1,60.05
1,71.875
1,26.467
1,93.095
1,95.016
1,96.593
1,70.245
1,66.092
1,72.901
1,101.616
1,37.119
1,56.045
1,9.596
1,84.957
1,47.906
1,111.837
1,88.777
1,88.501
1,36.998
1,37.088
1,46.29
1,30.606
1,45.977
1,17.26
1,32.365
1,39.674
1,9.128
1,22.365
1,39.209
1,50.757
1,35.98
1,29.881
1,43.27
1,28.804
1,61.138
1,49.95
1,23.542
1,44.724
1,38.631
1,32.379
1,36.753
1,33.282
1,36.396
1,104.795
1,81.35
1,112.51
1,96.575
1,109.921
1,41.924
1,113.563
1,68.284
1,51.471
1,46.462
1,100.794
1,73.291
1,117.265
1,41.36
1,42.636
1,102.753
1,115.639
1,54.278
1,56.319
1,79.576
1,47.429
1,55.748
1,87.002
1,81.947
1,91.075
1,110.936
1,62.963
1,57.918
1,103.038
1,125.324
1,115.352
1,136.187
1,74.258
1,116.691
1,133.001
1,137.884
1,119.35
1,117.436
1,142.189
1,104.94
1,136.5
1,68.703
1,19.692
1,23.166
1,15.499
1,51.277
1,68.351
1,58.305
1,33.411
1,32.628
1,29.085
1,62.848
1,35.389
1,36.098
1,44.985
1,36.776
1,49.453
1,58.332
1,64.091
1,56.621
1,63.036
1,58.403
1,71.813
1,47.252
1,80.139
1,84.858
1,40.832
1,77.873
1,53.175
1,83.256
1,68.248
1,75.106
1,61.57
1,52.301
1,86.657
1,132.498
1,73.603
1,123.36
1,111.066
1,107.549
1,132.88
1,69.091
1,116.349
1,114.732
1,35.382
1,161.786
1,159.59
1,112.878
1,170.781
1,173.698
1,197.691
1,192.408
1,104.734
1,107.624
1,109.096
1,212.258
1,227.369
1,167.42
1,269.522
1,222.948
1,278.38
1,181.637
1,193.301
1,187.851
1,124.791
1,193.481
1,129.808
1,453.622
1,471.113
1,488.455
1,492.931
1,522.286
1,61.148
1,542.338
1,629.227
1,544.044
1,58.135
1,565.391
1,78.235
1,552.41
1,568.626
1,576.332
1,68.167
1,659.905
1,707.112
1,670.587
1,87.516
1,700.166
1,699.424
1,603.845
1,692.911
1,684.331
1,129.209
1,144.642
1,152.901
1,155.941
1,144.362
1,175.724
1,180.329
1,194.822
1,119.974
1,229.613
1,240.162
1,280.906
1,131.415
1,88.945
1,105.385
1,43.671
1,227.514
1,90.109
1,228.892
1,161.153
1,152.909
1,117.575
1,684.2
1,675.837
1,679.681
1,62.894
1,87.035
1,47.767
1,166.15
1,119.396
1,439.315
1,173.979
1,135.359
1,221.184
1,270.942
1,202.088
1,606.981
1,72.228
1,1398.923
1,186.122
1,246.711
1,1587.991
1,45.967
1,248.452
1,100.512
1,236.157
1,378.951
1,1739.164
1,110.856
1,117.266
1,109.545
1,209.879
1,229.503
1,158.512
1,104.367
1,152.177
1,142.888
1,112.855
1,61.791
1,97.36
1,2032.772
1,58.7
1,117.831
1,2087.635
1,64.178
1,44.783
1,44.923
1,78.319
1,63.172
1,73.355
1,53.168
1,1294.697
1,92.113
1,85.844
1,78.428
1,2144.406
1,119.45
1,113.271
1,55.458
1,40.671
1,101.289
1,441.807
1,250.602
1,2800.149
1,573.283
1,1938.857
1,52.76
1,117.444
1,2897.541
1,2998.878
1,66.974
1,153.642
1,281.347
1,23.344
1,79.306
1,80.857
1,270.911
1,71.694
1,289.838
1,75.125
1,1386.925
1,30.275
1,3000.367
1,156.593
1,2803.757
1,54.283
1,1160.998
1,161.202
1,165.302
1,79.986
1,108.811
1,81.622
1,88.745
1,117.447
1,138.527
1,136.759
1,855.134
1,2757.905
1,3264.511
1,252.605
1,307.944
1,146.885
1,191.374
1,90.725
1,124.165
1,204.932
1,237.599
1,285.223
1,153.592
1,241.625
1,299.752
1,273.399
1,415.162
1,283.183
1,374.262
1,53.717
1,602.702
1,97.013
1,356.599
1,39.065
1,3814.322
1,346.175
1,329.36
1,3509.637
1,289.447
1,1298.624
1,2066.827
1,1921.783
1,143.863
1,144.791
1,167.057
1,374.285
1,399.803
1,28.22
1,53.511
1,87.616
1,157.67
1,163.706
1,73.319
1,23.418
1,1368.211
1,76.207
1,30.185
1,50.398
1,31.172
1,96.686
1,86.75
1,76.468
1,48.61
1,46.346
1,71.167
1,47.715
1,214.954
1,49.969
1,386.33
1,69.023
1,39.354
1,52.423
1,27.041
1,36.319
1,125.601
1,55.135
1,38.548
1,30.838
1,70.079
1,75.741
1,42.95
1,73.36
1,29.677
1,23.72
1,99.596
1,59.084
1,45.542
1,48.837
1,24.145
1,13.635
1,14.316
1,24.092
1,48.687
1,5.857
1,9.887
1,8.298
1,50.905
1,23.492
1,78.758
1,40.083
1,52.549
1,61.553
1,79.694
1,26.24
1,53.492
1,58.191
1,38.428
1,20.739
1,25.919
1,14.249
1,19.555
1,40.223
1,40.87
1,35.053
1,58.87
1,89.28
1,25.323
1,24.361
1,32.217
1,45.798
1,41.177
1,53.106
1,47.465
1,35.948
1,39.223
1,38.586
1,41.449
1,54.945
1,50.554
1,54.213
1,59.159
1,34.727
1,55.164
1,68.868
1,67.42
1,21.26
1,41.754
1,67.263
1,74.721
1,54.602
1,52.83
1,88.667
1,64.003
1,84.326
1,79.888
1,57.094
1,30.617
1,26.494
1,32.578
1,31.848
1,27.856
1,35.149
1,30.921
1,21.046
1,48.871
1,44.778
1,34.189
1,47.981
1,41.37
1,48.768
