t,container,cpu_pct,mem_mb
1785758209.3,fnserver,13.98,57.53
1785758209.3,01KZ3QQNJWNG8G00GZJ000000D,8.02,12.65
1785758209.3,01KZ3QQNJVNG8G00GZJ000000B,4.87,12.42
1785758209.3,01KZ3QQNNXNG8G00GZJ000000F,3.59,12.37
1785758209.3,01KZ3QQNR4NG8G00GZJ000000Q,3.26,12.35
1785758209.3,01KZ3QQNS2NG8G00GZJ0000013,4.27,12.36
1785758209.3,01KZ3QQNQQNG8G00GZJ000000K,5.15,12.35
1785758209.3,01KZ3QQNR4NG8G00GZJ000000P,6.14,12.34
1785758209.3,01KZ3QQNRMNG8G00GZJ000000X,7.09,11.76
1785758209.3,01KZ3QQNRPNG8G00GZJ0000011,7.19,12.33
1785758209.3,01KZ3QQNQBNG8G00GZJ000000H,4.07,12.35
1785758209.3,01KZ3QQNT4NG8G00GZJ000001B,8.36,12.18
1785758209.3,01KZ3QQNRGNG8G00GZJ000000V,7.23,11.66
1785758209.3,01KZ3QQNRENG8G00GZJ000000S,8.08,11.75
1785758209.3,01KZ3QQNSJNG8G00GZJ0000019,7.09,10.67
1785758209.3,01KZ3QQNT6NG8G00GZJ000001D,7.65,11.76
1785758209.3,01KZ3QQNS5NG8G00GZJ0000015,9.79,11.84
1785758209.3,01KZ3QQNRNNG8G00GZJ000000Z,9.1,11.41
1785758209.3,01KZ3QQNSENG8G00GZJ0000017,3.18,12.41
1785758219.64,01KZ3QQNSENG8G00GZJ0000017,0.35,12.5
1785758219.64,01KZ3QQNRMNG8G00GZJ000000X,1.26,12.47
1785758219.64,01KZ3QQNT6NG8G00GZJ000001D,0.55,12.48
1785758219.64,01KZ3QQNT4NG8G00GZJ000001B,0.6,12.48
1785758219.64,01KZ3QQNS5NG8G00GZJ0000015,0.89,12.47
1785758219.64,01KZ3QQNRNNG8G00GZJ000000Z,0.98,12.52
1785758219.64,01KZ3QQNRPNG8G00GZJ0000011,0.82,12.48
1785758219.64,01KZ3QQNRENG8G00GZJ000000S,0.94,12.47
1785758219.64,01KZ3QQNR4NG8G00GZJ000000Q,1.1,12.48
1785758219.64,01KZ3QQNRGNG8G00GZJ000000V,0.55,12.5
1785758219.64,01KZ3QQNSJNG8G00GZJ0000019,1.52,12.47
1785758219.64,01KZ3QQNS2NG8G00GZJ0000013,0.49,12.48
1785758219.64,01KZ3QQNR4NG8G00GZJ000000P,1.49,12.5
1785758219.64,01KZ3QQNQQNG8G00GZJ000000K,0.87,12.51
1785758219.64,01KZ3QQNQBNG8G00GZJ000000H,0.89,12.49
1785758219.64,01KZ3QQNNXNG8G00GZJ000000F,1.41,12.49
1785758219.64,01KZ3QQNJVNG8G00GZJ000000B,0.85,12.53
1785758219.64,01KZ3QQNJWNG8G00GZJ000000D,0.72,12.67
1785758219.64,fnserver,21.09,57.84
