t,container,cpu_pct,mem_mb
1785758710.96,fnserver,4.58,51.66
1785758713.21,01KZ3R6ZF4NG8G00GZJ00002Z9,1.16,12.53
1785758713.21,01KZ3R6ZBJNG8G00GZJ00002Z7,1.07,12.55
1785758713.21,fnserver,21.52,59.8
1785758713.21,01KZ3R6ZN9NG8G00GZJ00002ZF,4.44,12.44
1785758713.21,01KZ3R6ZJ7NG8G00GZJ00002ZB,1.24,12.42
1785758713.21,01KZ3R6ZNGNG8G00GZJ00002ZK,2.35,12.38
1785758713.21,01KZ3R6ZNTNG8G00GZJ00002ZS,1.65,12.37
1785758713.21,01KZ3R6ZN7NG8G00GZJ00002ZD,5.13,12.35
1785758713.21,01KZ3R6ZQZNG8G00GZJ0000301,7.17,12.35
1785758713.21,01KZ3R6ZNNNG8G00GZJ00002ZQ,6.58,12.34
1785758713.21,01KZ3R6ZPPNG8G00GZJ00002ZX,7.2,11.75
1785758713.21,01KZ3R6ZRANG8G00GZJ0000305,4.5,12.36
1785758713.21,01KZ3R6ZNBNG8G00GZJ00002ZH,7.59,12.34
1785758713.21,01KZ3R6ZP8NG8G00GZJ00002ZV,7.29,11.76
1785758713.21,01KZ3R6ZQXNG8G00GZJ00002ZZ,7.98,12.33
1785758713.21,01KZ3R6ZRSNG8G00GZJ0000309,8.24,11.56
1785758713.21,01KZ3R6ZRMNG8G00GZJ0000307,8.29,11.21
1785758713.21,01KZ3R6ZNKNG8G00GZJ00002ZN,8.66,11.2
1785758713.21,01KZ3R6ZR0NG8G00GZJ0000303,8.83,11.48
1785758721.63,01KZ3R6ZRMNG8G00GZJ0000307,0.64,12.71
1785758721.63,01KZ3R6ZRSNG8G00GZJ0000309,1.31,12.53
1785758721.63,01KZ3R6ZRANG8G00GZJ0000305,0.98,12.48
1785758721.63,01KZ3R6ZNKNG8G00GZJ00002ZN,1.21,12.5
1785758721.63,01KZ3R6ZR0NG8G00GZJ0000303,0.51,12.48
1785758721.63,01KZ3R6ZQXNG8G00GZJ00002ZZ,0.59,12.47
1785758721.63,01KZ3R6ZP8NG8G00GZJ00002ZV,0.34,12.48
1785758721.63,01KZ3R6ZQZNG8G00GZJ0000301,0.84,12.49
1785758721.63,01KZ3R6ZNBNG8G00GZJ00002ZH,0.68,12.48
1785758721.63,01KZ3R6ZN9NG8G00GZJ00002ZF,1.02,12.55
1785758721.63,01KZ3R6ZNGNG8G00GZJ00002ZK,0.43,12.47
1785758721.63,01KZ3R6ZNNNG8G00GZJ00002ZQ,0.97,12.52
1785758721.63,01KZ3R6ZPPNG8G00GZJ00002ZX,0.5,12.48
1785758721.63,01KZ3R6ZN7NG8G00GZJ00002ZD,0.66,12.5
1785758721.63,01KZ3R6ZNTNG8G00GZJ00002ZS,1.26,12.48
1785758721.63,01KZ3R6ZJ7NG8G00GZJ00002ZB,1.51,12.49
1785758721.63,01KZ3R6ZF4NG8G00GZJ00002Z9,0.84,12.55
1785758721.63,01KZ3R6ZBJNG8G00GZJ00002Z7,1.03,12.57
1785758721.63,fnserver,18.81,58.83
