ok,latency_ms
1,7026.004
1,7129.589
1,7101.754
1,7167.253
1,7293.344
1,7246.108
1,7365.631
1,84.209
1,7404.641
1,7380.566
1,18.77
1,86.879
1,113.811
1,7230.079
1,116.682
1,109.935
1,7319.372
1,156.792
1,179.358
1,7278.968
1,74.719
1,7554.27
1,58.843
1,28.236
1,7461.069
1,35.739
1,38.966
1,73.681
1,160.254
1,211.544
1,117.411
1,53.219
1,219.701
1,189.959
1,162.966
1,121.948
1,144.648
1,390.674
1,368.345
1,134.424
1,247.519
1,37.114
1,111.116
1,118.714
1,55.896
1,240.795
1,75.678
1,7904.17
1,507.009
1,7903.363
1,111.658
1,58.884
1,70.109
1,7726.565
1,7910.493
1,7916.618
1,77.074
1,7960.041
1,594.667
1,32.535
1,67.171
1,84.287
1,413.24
1,98.799
1,97.225
1,89.055
1,84.158
1,156.608
1,125.832
1,18.68
1,84.09
1,175.216
1,573.717
1,61.137
1,82.255
1,116.321
1,216.895
1,586.332
1,234.11
1,64.145
1,316.219
1,63.56
1,85.868
1,65.186
1,303.829
1,61.119
1,52.666
1,63.765
1,60.414
1,67.015
1,214.744
1,62.104
1,81.534
1,307.8
1,235.972
1,174.989
1,143.183
1,327.946
1,320.06
1,77.659
1,52.161
1,99.736
1,67.45
1,102.143
1,88.016
1,106.619
1,79.769
1,94.861
1,69.411
1,69.187
1,108.407
1,37.473
1,79.876
1,64.961
1,85.447
1,74.737
1,61.887
1,108.65
1,76.785
1,103.123
1,127.867
1,52.593
1,34.241
1,52.856
1,50.191
1,37.477
1,54.143
1,28.39
1,60.838
1,27.113
1,80.95
1,42.299
1,35.764
1,69.928
1,55.058
1,109.62
1,69.664
1,58.602
1,70.433
1,92.113
1,25.153
1,125.699
1,65.462
1,30.713
1,75.484
1,72.952
1,43.945
1,28.038
1,69.241
1,71.722
1,39.919
1,86.464
1,88.703
1,53.456
1,73.612
1,164.031
1,52.754
1,27.991
1,148.255
1,94.948
1,80.689
1,190.882
1,88.775
1,87.122
1,110.977
1,118.054
1,62.791
1,131.399
1,26.594
1,62.224
1,130.176
1,105.442
1,81.189
1,144.552
1,205.609
1,36.08
1,69.883
1,17.637
