t,container,cpu_pct,mem_mb
1785760766.78,[H01KZ3T5FFGNG8G00GZJ00008XK,0.0,12.37
1785760766.78,01KZ3T5FDKNG8G00GZJ00008XD,0.0,11.77
1785760766.78,01KZ3T5FFGNG8G00GZJ00008XN,7.78,11.7
1785760766.78,01KZ3T5FH0NG8G00GZJ00008XZ,0.0,12.35
1785760766.78,01KZ3T5FFGNG8G00GZJ00008XQ,4.46,12.34
1785760766.78,01KZ3T5FDXNG8G00GZJ00008XF,0.0,12.42
1785760766.78,01KZ3T5FCWNG8G00GZJ00008XB,1.65,12.36
1785760766.78,01KZ3T5FCFNG8G00GZJ00008X9,2.83,12.36
1785760766.78,01KZ3T5FB6NG8G00GZJ00008X5,2.45,12.35
1785760766.78,01KZ3T5FB3NG8G00GZJ00008X3,1.08,12.45
1785760766.78,01KZ3T5FA7NG8G00GZJ00008X1,0.85,12.45
1785760766.78,01KZ3T5F65NG8G00GZJ00008WZ,0.81,12.99
1785760766.78,fnserver,0.37,70.12
1785760766.78,01KZ3T5FFFNG8G00GZJ00008XH,0.0,11.54
1785760766.78,01KZ3T5FFZNG8G00GZJ00008XS,0.0,11.76
1785760766.78,01KZ3T5FBNNG8G00GZJ00008X7,9.91,11.77
1785760766.78,01KZ3T5FGCNG8G00GZJ00008XV,0.0,10.32
1785760766.78,01KZ3T5FGENG8G00GZJ00008XX,0.0,11.08
1785760766.78,01KZ3T5FH7NG8G00GZJ00008Y1,0.0,11.41
1785760767.35,[H01KZ3T5FFGNG8G00GZJ00008XK,0.0,12.37
1785760767.35,01KZ3T5FDKNG8G00GZJ00008XD,0.0,11.77
1785760767.35,01KZ3T5FFGNG8G00GZJ00008XN,7.78,11.7
1785760767.35,01KZ3T5FH0NG8G00GZJ00008XZ,0.0,12.35
1785760767.35,01KZ3T5FFGNG8G00GZJ00008XQ,4.46,12.34
1785760767.35,01KZ3T5FDXNG8G00GZJ00008XF,0.0,12.42
1785760767.35,01KZ3T5FCWNG8G00GZJ00008XB,1.65,12.36
1785760767.35,01KZ3T5FCFNG8G00GZJ00008X9,2.83,12.36
1785760767.35,01KZ3T5FB6NG8G00GZJ00008X5,2.45,12.35
1785760767.35,01KZ3T5FB3NG8G00GZJ00008X3,1.08,12.45
1785760767.35,01KZ3T5FA7NG8G00GZJ00008X1,0.85,12.45
1785760767.35,01KZ3T5F65NG8G00GZJ00008WZ,0.81,12.99
1785760767.35,fnserver,0.37,70.12
1785760767.35,01KZ3T5FFFNG8G00GZJ00008XH,0.0,11.54
1785760767.35,01KZ3T5FFZNG8G00GZJ00008XS,0.0,11.76
1785760767.35,01KZ3T5FBNNG8G00GZJ00008X7,9.91,11.77
1785760767.35,01KZ3T5FGCNG8G00GZJ00008XV,0.0,10.32
1785760767.35,01KZ3T5FGENG8G00GZJ00008XX,0.0,11.08
1785760767.35,01KZ3T5FH7NG8G00GZJ00008Y1,0.0,11.41
1785760767.35,[J[H01KZ3T5FFGNG8G00GZJ00008XK,0.0,12.37
1785760767.35,01KZ3T5FDKNG8G00GZJ00008XD,0.0,11.77
1785760767.35,01KZ3T5FFGNG8G00GZJ00008XN,7.78,11.7
