ok,latency_ms
1,65.663
1,79.097
1,144.275
1,172.27
1,197.498
1,178.535
1,39.694
1,37.65
1,55.248
1,46.484
1,209.262
1,79.671
1,181.107
1,184.896
1,38.633
1,67.761
1,71.236
1,72.404
1,26.84
1,90.056
1,95.987
1,246.592
1,89.394
1,52.417
1,218.449
1,260.278
1,98.904
1,45.437
1,113.675
1,101.164
1,238.027
1,69.044
1,242.351
1,241.466
1,29.484
1,51.277
1,66.879
1,109.73
1,37.39
1,27.401
1,238.275
1,39.474
1,81.915
1,59.311
1,67.422
1,66.734
1,72.199
1,36.74
1,93.248
1,71.784
1,91.578
1,61.381
1,94.887
1,175.701
1,98.93
1,177.957
1,214.91
1,188.854
1,136.014
1,220.188
1,200.541
1,219.874
1,236.73
1,191.785
1,131.305
1,130.957
1,149.697
1,158.988
1,64.548
1,101.592
1,48.107
1,115.203
1,79.717
1,70.852
1,83.478
1,73.135
1,92.092
1,96.061
1,87.702
1,77.57
1,98.144
1,135.289
1,118.14
1,56.992
1,166.922
1,52.009
1,39.268
1,74.967
1,43.683
1,43.307
1,39.526
1,38.978
1,75.388
1,70.124
1,58.776
1,52.01
1,65.742
1,18.982
1,31.418
1,22.805
1,385.736
1,26.529
1,385.632
1,307.702
1,23.931
1,397.794
1,33.68
1,45.463
1,30.753
1,91.891
1,58.548
1,42.587
1,25.39
1,66.034
1,21.364
1,54.058
1,53.414
1,17.086
1,53.222
1,63.3
1,32.775
1,32.866
1,38.398
1,52.796
1,32.564
1,37.118
1,24.741
1,71.93
1,70.307
1,63.187
1,69.141
1,47.699
1,45.506
1,36.993
1,81.951
1,66.973
1,60.478
1,37.755
1,39.397
1,70.5
1,58.241
1,57.533
1,76.371
1,83.648
1,31.37
1,11.893
1,26.442
1,32.887
1,37.186
1,102.093
1,30.653
1,98.678
1,24.52
1,64.373
1,59.908
1,73.266
1,97.522
1,44.864
1,76.853
1,119.281
1,80.571
1,129.156
1,130.436
1,108.996
1,91.086
1,109.467
1,106.936
1,152.447
1,87.919
1,80.878
1,180.739
1,49.643
1,163.688
1,48.451
1,75.076
1,216.662
1,195.272
1,57.773
1,205.931
1,235.265
1,203.819
1,205.97
1,105.634
1,197.959
1,105.934
1,194.211
1,195.356
1,108.265
1,53.732
1,62.306
1,29.645
1,75.733
1,36.781
1,78.937
1,34.164
1,33.73
1,37.664
1,38.994
1,42.777
1,35.181
1,46.082
1,74.942
1,67.208
1,83.436
1,90.974
1,95.413
1,23.634
1,157.907
1,134.45
1,160.91
1,117.292
1,84.916
1,91.058
1,84.06
1,74.94
1,103.345
1,79.694
1,43.951
1,91.888
1,122.491
1,161.918
1,76.704
1,99.718
1,71.503
1,64.763
1,65.18
1,69.448
1,69.566
1,82.927
1,62.137
1,76.743
1,81.979
1,80.564
1,166.322
1,100.801
1,113.907
1,182.71
1,52.251
1,137.222
1,64.578
1,123.26
1,71.621
1,61.836
1,61.359
1,62.06
1,77.12
1,70.903
1,87.431
1,59.33
1,62.935
1,69.93
1,63.452
1,71.579
1,31.9
1,53.303
1,28.676
1,56.051
1,55.436
1,32.745
1,30.156
1,32.943
1,61.531
1,60.44
1,73.42
1,48.141
1,40.388
1,55.743
1,115.619
1,17.339
1,79.014
1,63.656
1,89.309
1,93.276
1,112.612
1,34.758
1,114.843
1,99.843
1,23.189
1,108.6
1,87.452
1,33.838
1,73.116
1,93.798
1,179.529
1,103.937
1,92.519
1,114.174
1,157.24
1,85.221
1,215.374
1,125.056
1,175.264
1,164.457
1,51.305
1,64.347
1,91.737
1,105.048
1,122.177
1,106.991
1,40.237
1,66.281
1,146.518
1,81.068
1,88.227
1,77.988
1,84.038
1,90.619
1,102.946
1,182.746
1,92.18
1,77.39
1,116.407
1,93.527
1,30.734
1,56.387
1,33.39
1,63.833
1,109.588
1,126.711
1,128.59
1,101.706
1,47.268
1,159.825
1,112.5
1,77.398
1,130.112
1,47.928
1,51.501
1,57.305
1,53.844
1,62.906
1,55.604
1,41.467
1,41.823
1,29.961
1,82.371
1,75.353
1,23.231
1,51.873
1,47.841
1,51.182
1,88.906
1,58.143
1,65.98
1,98.491
1,45.023
1,66.042
1,67.136
1,27.919
1,48.191
1,53.993
1,71.517
1,35.521
1,40.471
1,54.746
1,54.925
1,41.405
1,44.818
1,55.641
1,39.182
1,37.313
1,63.224
1,39.221
1,56.976
1,96.415
1,24.554
1,65.126
1,56.358
1,58.867
1,21.968
1,33.483
1,21.316
1,59.171
1,60.381
1,24.633
1,43.002
1,69.608
1,31.017
1,57.922
1,43.288
1,54.991
1,29.802
1,56.029
1,48.067
1,80.939
1,59.53
1,51.383
1,33.92
1,31.311
1,43.736
1,43.213
1,31.243
1,21.93
1,55.005
1,26.249
1,54.9
1,37.239
1,28.975
1,43.43
1,55.835
1,58.404
1,74.833
1,47.312
1,76.599
1,35.277
1,92.394
1,54.871
1,41.987
1,46.082
1,62.566
1,51.769
1,73.752
1,98.199
1,83.642
1,36.97
1,74.345
1,46.158
1,61.667
1,33.106
1,51.126
1,48.602
1,52.928
1,54.458
1,63.074
1,57.529
1,71.57
1,65.584
1,66.623
1,63.662
1,47.097
1,65.745
1,97.191
1,55.297
1,75.172
1,79.982
1,73.523
1,82.751
1,36.484
1,80.561
1,88.27
1,35.161
1,55.694
1,35.773
1,57.687
1,73.866
1,77.308
1,66.62
1,51.508
1,81.44
1,65.643
1,59.486
1,52.046
1,58.749
1,71.6
1,77.88
1,52.37
1,66.276
1,48.015
1,78.769
1,97.728
1,83.284
1,51.077
1,56.822
1,51.864
1,60.519
1,57.642
1,69.542
1,75.355
1,72.368
1,84.71
1,75.923
1,79.837
1,72.3
1,78.314
1,73.809
1,90.891
1,88.586
1,82.724
1,97.049
1,102.761
1,72.061
1,67.494
1,106.05
1,38.289
1,60.293
1,40.038
1,45.348
1,49.138
1,77.553
1,58.946
1,43.747
1,68.023
1,91.814
1,84.405
1,65.944
1,51.793
1,7.452
1,83.459
1,20.314
1,33.775
1,18.671
1,24.371
1,157.459
1,133.081
