t_ns,core,freq_khz
1785961217616595677,0,1862434
1785961217616595677,1,3999959
1785961217616595677,2,3919991
1785961217616595677,3,3501764
1785961217616595677,4,1682819
1785961217616595677,5,4000000
1785961217616595677,6,4000000
1785961217616595677,7,3550667
1785961217716875372,0,2216842
1785961217716875372,1,1807874
1785961217716875372,2,1800018
1785961217716875372,3,2200022
1785961217716875372,4,1520863
1785961217716875372,5,1494850
1785961217716875372,6,1778222
1785961217716875372,7,1800054
1785961217817305152,0,1130927
1785961217817305152,1,1500015
1785961217817305152,2,1328660
1785961217817305152,3,1500000
1785961217817305152,4,1329075
1785961217817305152,5,1499984
1785961217817305152,6,662089
1785961217817305152,7,1498435
1785961217917969317,0,1600000
1785961217917969317,1,1600000
1785961217917969317,2,1194069
1785961217917969317,3,1357329
1785961217917969317,4,1599982
1785961217917969317,5,1512678
1785961217917969317,6,1600054
1785961217917969317,7,1600000
1785961218018657206,0,599714
1785961218018657206,1,1351493
1785961218018657206,2,932279
1785961218018657206,3,1713703
1785961218018657206,4,1894506
1785961218018657206,5,2200000
1785961218018657206,6,1145075
1785961218018657206,7,1900000
1785961218119106185,0,913695
1785961218119106185,1,1226415
1785961218119106185,2,1928459
1785961218119106185,3,2079059
1785961218119106185,4,1294886
1785961218119106185,5,1259128
1785961218119106185,6,632918
1785961218119106185,7,1460136
1785961218219597151,0,2050491
1785961218219597151,1,1965259
1785961218219597151,2,2035988
1785961218219597151,3,2126961
1785961218219597151,4,2198480
1785961218219597151,5,1833861
1785961218219597151,6,1798471
1785961218219597151,7,1975963
1785961218320024264,0,400576
1785961218320024264,1,2825770
1785961218320024264,2,859934
1785961218320024264,3,2798925
1785961218320024264,4,1079994
1785961218320024264,5,2800000
1785961218320024264,6,739367
1785961218320024264,7,2826178
1785961218420347771,0,1366728
1785961218420347771,1,1400032
1785961218420347771,2,1884465
1785961218420347771,3,1246488
1785961218420347771,4,1312013
1785961218420347771,5,1400031
1785961218420347771,6,1400000
1785961218420347771,7,1295794
1785961218520932860,0,2199899
1785961218520932860,1,2551595
1785961218520932860,2,2254061
1785961218520932860,3,2552304
1785961218520932860,4,2527807
1785961218520932860,5,2377815
1785961218520932860,6,2055195
1785961218520932860,7,2552311
1785961218621424511,0,1434316
