t_ns,core,freq_khz
1785960949043156750,0,714513
1785960949043156750,1,1171089
1785960949043156750,2,1344139
1785960949043156750,3,2166807
1785960949043156750,4,401410
1785960949043156750,5,1198704
1785960949043156750,6,2299976
1785960949043156750,7,2287558
1785960949143538431,0,1495106
1785960949143538431,1,1399985
1785960949143538431,2,1339142
1785960949143538431,3,1499980
1785960949143538431,4,395231
1785960949143538431,5,1400014
1785960949143538431,6,824040
1785960949143538431,7,1273837
1785960949244085822,0,1077206
1785960949244085822,1,1239164
1785960949244085822,2,1400053
1785960949244085822,3,1333400
1785960949244085822,4,1369407
1785960949244085822,5,1360204
1785960949244085822,6,1291263
1785960949244085822,7,1140543
1785960949344648112,0,1293563
1785960949344648112,1,1277013
1785960949344648112,2,1294439
1785960949344648112,3,1235386
1785960949344648112,4,1297098
1785960949344648112,5,1287000
1785960949344648112,6,1294890
1785960949344648112,7,1241477
1785960949445227266,0,1400000
1785960949445227266,1,1166305
1785960949445227266,2,1010691
1785960949445227266,3,1060829
1785960949445227266,4,1399971
1785960949445227266,5,1204686
1785960949445227266,6,1295211
1785960949445227266,7,599618
1785960949545796727,0,1299986
1785960949545796727,1,1299986
1785960949545796727,2,886925
1785960949545796727,3,1279872
1785960949545796727,4,1300000
1785960949545796727,5,1208223
1785960949545796727,6,890600
1785960949545796727,7,1281184
1785960949646382988,0,1021360
1785960949646382988,1,931147
1785960949646382988,2,1254470
1785960949646382988,3,400294
1785960949646382988,4,1157562
1785960949646382988,5,400000
1785960949646382988,6,869874
1785960949646382988,7,1008909
1785960949747010998,0,698193
1785960949747010998,1,400000
1785960949747010998,2,1240105
1785960949747010998,3,400000
1785960949747010998,4,400000
1785960949747010998,5,998373
1785960949747010998,6,1290039
1785960949747010998,7,400000
1785960949847839242,0,1700000
1785960949847839242,1,1401851
1785960949847839242,2,1291550
1785960949847839242,3,1660139
1785960949847839242,4,1699982
1785960949847839242,5,465287
1785960949847839242,6,400000
1785960949847839242,7,1276825
1785960949948328070,0,3860049
1785960949948328070,1,3818316
1785960949948328070,2,4000000
1785960949948328070,3,1852732
1785960949948328070,4,4006339
1785960949948328070,5,2491846
1785960949948328070,6,4000000
1785960949948328070,7,3663383
1785960950049398160,0,2700000
1785960950049398160,1,2507059
1785960950049398160,2,2700000
1785960950049398160,3,1720587
1785960950049398160,4,2700000
1785960950049398160,5,2699854
1785960950049398160,6,2700000
1785960950049398160,7,1788855
1785960950149745355,0,3999940
1785960950149745355,1,4000000
1785960950149745355,2,4000072
1785960950149745355,3,4000000
1785960950149745355,4,4000000
1785960950149745355,5,4000000
1785960950149745355,6,4000067
1785960950149745355,7,3999919
1785960950250102973,0,4000000
1785960950250102973,1,4000077
1785960950250102973,2,3999862
1785960950250102973,3,3999518
1785960950250102973,4,4000186
1785960950250102973,5,4000000
1785960950250102973,6,4000000
1785960950250102973,7,4000100
1785960950350436387,0,3700000
1785960950350436387,1,3700000
1785960950350436387,2,3382489
1785960950350436387,3,3700458
1785960950350436387,4,3699906
1785960950350436387,5,3699962
1785960950350436387,6,3591600
1785960950350436387,7,3700038
1785960950450932942,0,706050
1785960950450932942,1,553399
1785960950450932942,2,572734
1785960950450932942,3,469445
1785960950450932942,4,1786022
1785960950450932942,5,1314213
1785960950450932942,6,1212629
1785960950450932942,7,790162
1785960950551227820,0,4006462
1785960950551227820,1,1148398
1785960950551227820,2,399356
1785960950551227820,3,4000772
1785960950551227820,4,4000047
1785960950551227820,5,2042521
1785960950551227820,6,778226
1785960950551227820,7,4000000
1785960950651534346,0,2272846
1785960950651534346,1,2617518
1785960950651534346,2,1389821
1785960950651534346,3,2139514
1785960950651534346,4,2198920
1785960950651534346,5,1451508
1785960950651534346,6,1570751
1785960950651534346,7,2596977
1785960950751966555,0,520885
1785960950751966555,1,1273838
1785960950751966555,2,1400000
1785960950751966555,3,1599933
1785960950751966555,4,624309
1785960950751966555,5,1339687
1785960950751966555,6,1400000
1785960950751966555,7,745948
1785960950852696796,0,1011099
1785960950852696796,1,1064233
1785960950852696796,2,1243149
1785960950852696796,3,1299906
1785960950852696796,4,1012456
1785960950852696796,5,1184496
1785960950852696796,6,1300013
1785960950852696796,7,1300013
1785960950953290450,0,1237397
1785960950953290450,1,1368389
1785960950953290450,2,1282894
1785960950953290450,3,1400000
1785960950953290450,4,1341270
1785960950953290450,5,1157451
1785960950953290450,6,1262852
1785960950953290450,7,1400000
1785960951053840152,0,1502164
1785960951053840152,1,1084778
1785960951053840152,2,961555
1785960951053840152,3,691793
1785960951053840152,4,1445697
1785960951053840152,5,1089332
1785960951053840152,6,1063194
1785960951053840152,7,1344364
1785960951154397521,0,4000000
1785960951154397521,1,4000064
1785960951154397521,2,3999872
1785960951154397521,3,4000000
1785960951154397521,4,4000000
1785960951154397521,5,3999908
1785960951154397521,6,3999910
1785960951154397521,7,4000000
1785960951254794373,0,2264021
1785960951254794373,1,1094533
1785960951254794373,2,881412
1785960951254794373,3,1074855
1785960951254794373,4,400000
1785960951254794373,5,415792
1785960951254794373,6,1560604
1785960951254794373,7,2000000
1785960951355272882,0,1300000
1785960951355272882,1,446935
1785960951355272882,2,1285668
1785960951355272882,3,1186371
1785960951355272882,4,1151951
1785960951355272882,5,1283937
1785960951355272882,6,400000
1785960951355272882,7,1300000
1785960951455863256,0,1200000
1785960951455863256,1,1132428
1785960951455863256,2,1115443
1785960951455863256,3,1199985
1785960951455863256,4,1200000
1785960951455863256,5,1173445
1785960951455863256,6,1182680
1785960951455863256,7,1047669
1785960951556435516,0,399797
1785960951556435516,1,671912
1785960951556435516,2,399737
1785960951556435516,3,742641
1785960951556435516,4,1800791
1785960951556435516,5,672860
1785960951556435516,6,2113975
1785960951556435516,7,759893
1785960951656936989,0,2273611
1785960951656936989,1,2224475
1785960951656936989,2,1983098
1785960951656936989,3,1656441
1785960951656936989,4,2272622
1785960951656936989,5,2285866
1785960951656936989,6,2102767
1785960951656936989,7,2116905
1785960951757340738,0,792592
1785960951757340738,1,3425323
1785960951757340738,2,2704335
1785960951757340738,3,4000000
1785960951757340738,4,3693878
1785960951757340738,5,3115755
1785960951757340738,6,3068388
1785960951757340738,7,4000000
1785960951857684935,0,1099396
1785960951857684935,1,1922279
1785960951857684935,2,1012428
1785960951857684935,3,1498147
1785960951857684935,4,1610624
1785960951857684935,5,921375
1785960951857684935,6,1849671
1785960951857684935,7,1465600
1785960951958257772,0,1300013
1785960951958257772,1,1310440
1785960951958257772,2,611024
1785960951958257772,3,1500066
1785960951958257772,4,1308161
1785960951958257772,5,1180784
1785960951958257772,6,1300000
1785960951958257772,7,1147340
1785960952058862892,0,408246
1785960952058862892,1,565051
1785960952058862892,2,1584098
1785960952058862892,3,1599967
1785960952058862892,4,1242802
1785960952058862892,5,979356
1785960952058862892,6,1431746
1785960952058862892,7,1599971
1785960952159567626,0,1409174
1785960952159567626,1,1380356
1785960952159567626,2,1348375
1785960952159567626,3,1358427
1785960952159567626,4,1377234
1785960952159567626,5,1458038
1785960952159567626,6,1399983
1785960952159567626,7,712890
1785960952260142161,0,1132507
1785960952260142161,1,1300000
1785960952260142161,2,662944
1785960952260142161,3,1194445
1785960952260142161,4,775008
1785960952260142161,5,1300026
1785960952260142161,6,734372
1785960952260142161,7,1286762
1785960952360925060,0,4000000
1785960952360925060,1,4000000
1785960952360925060,2,3194105
1785960952360925060,3,3999957
1785960952360925060,4,4000000
1785960952360925060,5,3999858
1785960952360925060,6,3442231
1785960952360925060,7,3999959
1785960952461202718,0,4000072
1785960952461202718,1,4000185
1785960952461202718,2,4000000
1785960952461202718,3,4000000
1785960952461202718,4,3999817
1785960952461202718,5,4000000
1785960952461202718,6,4000000
1785960952461202718,7,4000128
1785960952561518115,0,4000040
1785960952561518115,1,4000040
1785960952561518115,2,2032163
1785960952561518115,3,3363027
1785960952561518115,4,3999524
1785960952561518115,5,4000000
1785960952561518115,6,1532280
1785960952561518115,7,4001305
1785960952661906022,0,3900000
1785960952661906022,1,3900000
1785960952661906022,2,2452642
1785960952661906022,3,399513
1785960952661906022,4,3917180
1785960952661906022,5,3900000
1785960952661906022,6,2605553
1785960952661906022,7,399598
1785960952762213963,0,3900000
1785960952762213963,1,3900039
1785960952762213963,2,1851577
1785960952762213963,3,2480150
1785960952762213963,4,3899802
1785960952762213963,5,3899112
1785960952762213963,6,2302517
1785960952762213963,7,3052283
1785960952862596113,0,3800000
1785960952862596113,1,3800000
1785960952862596113,2,3581498
1785960952862596113,3,3741887
1785960952862596113,4,3800000
1785960952862596113,5,3811826
1785960952862596113,6,3548298
1785960952862596113,7,3589733
1785960952963029988,0,3775211
1785960952963029988,1,3775072
1785960952963029988,2,551179
1785960952963029988,3,1044050
1785960952963029988,4,3752328
1785960952963029988,5,3800000
1785960952963029988,6,2617831
1785960952963029988,7,889649
1785960953063438124,0,3800038
1785960953063438124,1,3800000
1785960953063438124,2,3072179
1785960953063438124,3,1571264
1785960953063438124,4,3799961
1785960953063438124,5,3800762
1785960953063438124,6,400000
1785960953063438124,7,2037155
1785960953163756022,0,3699962
1785960953163756022,1,3700000
1785960953163756022,2,3699962
1785960953163756022,3,3700000
1785960953163756022,4,3700000
1785960953163756022,5,3699962
1785960953163756022,6,3699957
