response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0189,0.0081,0.0078,0.0001,0.0093,0.0013,200,0.0004
0.0192,0.0084,0.0077,0.0001,0.0098,0.0007,200,0.0002
0.0191,0.0088,0.0081,0.0001,0.0092,0.0008,200,0.0003
0.0191,0.0081,0.0076,0.0001,0.0102,0.0007,200,0.0005
0.0109,0.0000,0.0000,0.0000,0.0105,0.0003,200,0.0194
0.0110,0.0000,0.0000,0.0000,0.0106,0.0003,200,0.0194
0.0109,0.0000,0.0000,0.0000,0.0106,0.0000,200,0.0197
0.0112,0.0000,0.0000,0.0000,0.0110,0.0001,200,0.0194
0.0083,0.0000,0.0000,0.0000,0.0079,0.0003,200,0.0303
0.0084,0.0000,0.0000,0.0000,0.0081,0.0002,200,0.0303
0.0086,0.0000,0.0000,0.0000,0.0085,0.0001,200,0.0306
0.0086,0.0000,0.0000,0.0000,0.0085,0.0000,200,0.0306
0.0077,0.0000,0.0000,0.0000,0.0076,0.0001,200,0.0392
0.0083,0.0000,0.0000,0.0000,0.0082,0.0000,200,0.0386
0.0080,0.0000,0.0000,0.0000,0.0077,0.0002,200,0.0392
0.0098,0.0000,0.0000,0.0000,0.0088,0.0010,200,0.0387
0.0090,0.0000,0.0000,0.0000,0.0089,0.0001,200,0.0469
0.0088,0.0000,0.0000,0.0000,0.0087,0.0001,200,0.0471
0.0076,0.0000,0.0000,0.0000,0.0073,0.0002,200,0.0485
0.0121,0.0000,0.0000,0.0000,0.0120,0.0001,200,0.0469
0.0090,0.0000,0.0000,0.0000,0.0089,0.0001,200,0.0560
0.0092,0.0000,0.0000,0.0000,0.0090,0.0000,200,0.0559
0.0080,0.0000,0.0000,0.0000,0.0076,0.0003,200,0.0590
0.0123,0.0000,0.0000,0.0000,0.0123,0.0001,200,0.0561
0.0077,0.0000,0.0000,0.0000,0.0075,0.0001,200,0.0650
0.0077,0.0000,0.0000,0.0000,0.0077,0.0000,200,0.0650
0.0076,0.0000,0.0000,0.0000,0.0073,0.0003,200,0.0669
0.0073,0.0000,0.0000,0.0000,0.0072,0.0001,200,0.0684
0.0084,0.0000,0.0000,0.0000,0.0083,0.0001,200,0.0727
0.0077,0.0000,0.0000,0.0000,0.0076,0.0000,200,0.0746
0.0074,0.0000,0.0000,0.0000,0.0073,0.0000,200,0.0758
0.0109,0.0000,0.0000,0.0001,0.0106,0.0002,200,0.0727
0.0091,0.0000,0.0000,0.0000,0.0090,0.0001,200,0.0812
0.0084,0.0000,0.0000,0.0000,0.0081,0.0003,200,0.0823
0.0077,0.0000,0.0000,0.0000,0.0071,0.0007,200,0.0832
0.0091,0.0000,0.0000,0.0000,0.0089,0.0001,200,0.0836
0.0082,0.0000,0.0000,0.0000,0.0081,0.0000,200,0.0907
0.0086,0.0000,0.0000,0.0000,0.0085,0.0001,200,0.0903
0.0080,0.0000,0.0000,0.0000,0.0079,0.0000,200,0.0909
0.0074,0.0000,0.0000,0.0000,0.0073,0.0001,200,0.0927
0.0088,0.0000,0.0000,0.0000,0.0079,0.0008,200,0.0989
0.0076,0.0000,0.0000,0.0000,0.0075,0.0000,200,0.1001
0.0089,0.0000,0.0000,0.0000,0.0088,0.0000,200,0.0989
0.0107,0.0000,0.0000,0.0000,0.0104,0.0002,200,0.0989
0.0083,0.0000,0.0000,0.0000,0.0081,0.0001,200,0.1077
0.0081,0.0000,0.0000,0.0000,0.0077,0.0004,200,0.1078
0.0084,0.0000,0.0000,0.0000,0.0083,0.0000,200,0.1077
0.0081,0.0000,0.0000,0.0000,0.0079,0.0001,200,0.1095
0.0073,0.0000,0.0000,0.0000,0.0072,0.0001,200,0.1161
0.0077,0.0000,0.0000,0.0000,0.0076,0.0000,200,0.1159
0.0082,0.0000,0.0000,0.0000,0.0081,0.0001,200,0.1159
0.0083,0.0000,0.0000,0.0000,0.0082,0.0001,200,0.1176
0.0076,0.0000,0.0000,0.0000,0.0075,0.0001,200,0.1236
0.0101,0.0000,0.0000,0.0000,0.0096,0.0004,200,0.1235
0.0099,0.0000,0.0000,0.0000,0.0098,0.0000,200,0.1242
0.0083,0.0000,0.0000,0.0000,0.0082,0.0000,200,0.1259
0.0100,0.0000,0.0000,0.0000,0.0099,0.0001,200,0.1312
0.0077,0.0000,0.0000,0.0001,0.0076,0.0000,200,0.1340
0.0083,0.0000,0.0000,0.0000,0.0078,0.0005,200,0.1335
0.0078,0.0000,0.0000,0.0000,0.0074,0.0004,200,0.1342
0.0083,0.0000,0.0000,0.0000,0.0082,0.0001,200,0.1412
0.0082,0.0000,0.0000,0.0000,0.0075,0.0007,200,0.1418
0.0083,0.0000,0.0000,0.0000,0.0082,0.0000,200,0.1417
0.0081,0.0000,0.0000,0.0000,0.0079,0.0001,200,0.1420
0.0080,0.0000,0.0000,0.0000,0.0078,0.0002,200,0.1495
0.0075,0.0000,0.0000,0.0000,0.0075,0.0000,200,0.1501
0.0076,0.0000,0.0000,0.0000,0.0073,0.0003,200,0.1500
0.0122,0.0000,0.0000,0.0000,0.0121,0.0001,200,0.1500
0.0076,0.0000,0.0000,0.0000,0.0075,0.0001,200,0.1576
0.0076,0.0000,0.0000,0.0000,0.0075,0.0000,200,0.1577
0.0088,0.0000,0.0000,0.0000,0.0087,0.0000,200,0.1575
0.0074,0.0000,0.0000,0.0000,0.0073,0.0001,200,0.1623
0.0080,0.0000,0.0000,0.0000,0.0078,0.0001,200,0.1652
0.0080,0.0000,0.0000,0.0000,0.0079,0.0001,200,0.1653
0.0082,0.0000,0.0000,0.0000,0.0073,0.0008,200,0.1663
0.0075,0.0000,0.0000,0.0000,0.0074,0.0001,200,0.1697
0.0077,0.0000,0.0000,0.0000,0.0076,0.0001,200,0.1732
0.0082,0.0000,0.0000,0.0001,0.0081,0.0000,200,0.1733
0.0073,0.0000,0.0000,0.0000,0.0071,0.0002,200,0.1744
0.0085,0.0000,0.0000,0.0000,0.0084,0.0001,200,0.1772
0.0081,0.0000,0.0000,0.0000,0.0080,0.0001,200,0.1815
0.0079,0.0000,0.0000,0.0000,0.0078,0.0000,200,0.1818
0.0122,0.0000,0.0000,0.0000,0.0121,0.0001,200,0.1810
0.0077,0.0000,0.0000,0.0000,0.0075,0.0001,200,0.1857
0.0076,0.0000,0.0000,0.0000,0.0075,0.0001,200,0.1897
0.0076,0.0000,0.0000,0.0000,0.0075,0.0001,200,0.1897
