response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0138,0.0061,0.0056,0.0002,0.0071,0.0003,200,0.0003
0.0139,0.0061,0.0058,0.0002,0.0075,0.0000,200,0.0002
0.0145,0.0060,0.0057,0.0002,0.0076,0.0006,200,0.0002
0.0157,0.0061,0.0057,0.0001,0.0094,0.0001,200,0.0001
0.0078,0.0000,0.0000,0.0000,0.0077,0.0001,200,0.0141
0.0076,0.0000,0.0000,0.0000,0.0075,0.0000,200,0.0147
0.0083,0.0000,0.0000,0.0000,0.0082,0.0000,200,0.0141
0.0074,0.0000,0.0000,0.0000,0.0072,0.0001,200,0.0158
0.0081,0.0000,0.0000,0.0000,0.0080,0.0001,200,0.0219
0.0079,0.0000,0.0000,0.0000,0.0078,0.0000,200,0.0223
0.0081,0.0000,0.0000,0.0000,0.0080,0.0001,200,0.0224
0.0078,0.0000,0.0000,0.0000,0.0075,0.0002,200,0.0233
0.0081,0.0000,0.0000,0.0000,0.0080,0.0001,200,0.0302
0.0080,0.0000,0.0000,0.0000,0.0078,0.0002,200,0.0304
0.0075,0.0000,0.0000,0.0000,0.0072,0.0003,200,0.0310
0.0085,0.0000,0.0000,0.0000,0.0082,0.0003,200,0.0300
0.0078,0.0000,0.0000,0.0000,0.0077,0.0001,200,0.0385
0.0079,0.0000,0.0000,0.0000,0.0078,0.0001,200,0.0385
0.0079,0.0000,0.0000,0.0000,0.0078,0.0000,200,0.0386
0.0085,0.0000,0.0000,0.0000,0.0075,0.0009,200,0.0383
0.0073,0.0000,0.0000,0.0000,0.0072,0.0000,200,0.0468
0.0082,0.0000,0.0000,0.0000,0.0077,0.0005,200,0.0463
0.0082,0.0000,0.0000,0.0000,0.0081,0.0000,200,0.0465
0.0117,0.0000,0.0000,0.0000,0.0083,0.0034,200,0.0464
0.0101,0.0000,0.0000,0.0000,0.0098,0.0002,200,0.0540
0.0099,0.0000,0.0000,0.0000,0.0098,0.0000,200,0.0545
0.0073,0.0000,0.0000,0.0000,0.0072,0.0001,200,0.0581
0.0113,0.0000,0.0000,0.0000,0.0113,0.0000,200,0.0546
0.0082,0.0000,0.0000,0.0000,0.0081,0.0000,200,0.0644
0.0084,0.0000,0.0000,0.0000,0.0083,0.0001,200,0.0641
0.0085,0.0000,0.0000,0.0000,0.0084,0.0001,200,0.0654
0.0081,0.0000,0.0000,0.0000,0.0077,0.0004,200,0.0659
0.0083,0.0000,0.0000,0.0000,0.0077,0.0005,200,0.0726
0.0086,0.0000,0.0000,0.0000,0.0085,0.0000,200,0.0726
0.0081,0.0000,0.0000,0.0000,0.0078,0.0003,200,0.0739
0.0084,0.0000,0.0000,0.0000,0.0077,0.0006,200,0.0740
0.0075,0.0000,0.0000,0.0000,0.0074,0.0001,200,0.0809
0.0082,0.0000,0.0000,0.0000,0.0080,0.0002,200,0.0811
0.0074,0.0000,0.0000,0.0000,0.0073,0.0001,200,0.0824
0.0080,0.0000,0.0000,0.0000,0.0072,0.0008,200,0.0821
0.0089,0.0000,0.0000,0.0000,0.0088,0.0001,200,0.0884
0.0077,0.0000,0.0000,0.0000,0.0076,0.0000,200,0.0898
0.0077,0.0000,0.0000,0.0000,0.0073,0.0004,200,0.0900
0.0087,0.0000,0.0000,0.0003,0.0081,0.0003,200,0.0893
0.0075,0.0000,0.0000,0.0000,0.0074,0.0001,200,0.0974
0.0077,0.0000,0.0000,0.0000,0.0076,0.0000,200,0.0973
0.0070,0.0000,0.0000,0.0000,0.0069,0.0001,200,0.0980
0.0082,0.0000,0.0000,0.0000,0.0079,0.0003,200,0.0977
0.0079,0.0000,0.0000,0.0000,0.0077,0.0001,200,0.1049
0.0078,0.0000,0.0000,0.0000,0.0077,0.0001,200,0.1050
0.0069,0.0000,0.0000,0.0000,0.0069,0.0000,200,0.1059
0.0089,0.0000,0.0000,0.0000,0.0085,0.0003,200,0.1050
0.0074,0.0000,0.0000,0.0000,0.0074,0.0000,200,0.1129
0.0070,0.0000,0.0000,0.0000,0.0069,0.0001,200,0.1139
0.0086,0.0000,0.0000,0.0000,0.0085,0.0000,200,0.1128
0.0086,0.0000,0.0000,0.0000,0.0073,0.0013,200,0.1128
0.0081,0.0000,0.0000,0.0000,0.0080,0.0000,200,0.1209
0.0089,0.0000,0.0000,0.0000,0.0088,0.0001,200,0.1203
0.0081,0.0000,0.0000,0.0000,0.0076,0.0006,200,0.1214
0.0090,0.0000,0.0000,0.0000,0.0090,0.0001,200,0.1213
0.0082,0.0000,0.0000,0.0000,0.0077,0.0004,200,0.1290
0.0080,0.0000,0.0000,0.0000,0.0079,0.0001,200,0.1295
0.0084,0.0000,0.0000,0.0000,0.0076,0.0008,200,0.1292
0.0073,0.0000,0.0000,0.0000,0.0072,0.0000,200,0.1304
0.0074,0.0000,0.0000,0.0000,0.0071,0.0003,200,0.1377
0.0080,0.0000,0.0000,0.0000,0.0079,0.0000,200,0.1372
0.0078,0.0000,0.0000,0.0000,0.0077,0.0001,200,0.1375
0.0095,0.0000,0.0000,0.0000,0.0094,0.0001,200,0.1376
0.0076,0.0000,0.0000,0.0000,0.0075,0.0001,200,0.1453
0.0077,0.0000,0.0000,0.0002,0.0075,0.0001,200,0.1452
0.0086,0.0000,0.0000,0.0001,0.0084,0.0001,200,0.1451
0.0081,0.0000,0.0000,0.0000,0.0080,0.0001,200,0.1471
0.0079,0.0000,0.0000,0.0000,0.0076,0.0003,200,0.1529
0.0083,0.0000,0.0000,0.0000,0.0079,0.0004,200,0.1529
0.0088,0.0000,0.0000,0.0000,0.0087,0.0001,200,0.1537
0.0078,0.0000,0.0000,0.0000,0.0077,0.0001,200,0.1552
0.0089,0.0000,0.0000,0.0000,0.0077,0.0011,200,0.1608
0.0085,0.0000,0.0000,0.0001,0.0084,0.0000,200,0.1613
0.0073,0.0000,0.0000,0.0000,0.0072,0.0000,200,0.1625
0.0078,0.0000,0.0000,0.0000,0.0077,0.0001,200,0.1630
0.0076,0.0000,0.0000,0.0000,0.0075,0.0001,200,0.1698
0.0083,0.0000,0.0000,0.0000,0.0082,0.0000,200,0.1696
0.0082,0.0000,0.0000,0.0000,0.0078,0.0004,200,0.1698
0.0095,0.0000,0.0000,0.0000,0.0094,0.0001,200,0.1708
0.0080,0.0000,0.0000,0.0000,0.0079,0.0001,200,0.1774
0.0077,0.0000,0.0000,0.0000,0.0076,0.0000,200,0.1779
0.0077,0.0000,0.0000,0.0000,0.0076,0.0001,200,0.1780
0.0073,0.0000,0.0000,0.0000,0.0072,0.0001,200,0.1803
0.0070,0.0000,0.0000,0.0000,0.0069,0.0001,200,0.1857
