response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0137,0.0060,0.0057,0.0000,0.0072,0.0003,200,0.0001
0.0138,0.0060,0.0055,0.0001,0.0076,0.0000,200,0.0002
0.0138,0.0058,0.0055,0.0002,0.0076,0.0001,200,0.0003
0.0138,0.0058,0.0055,0.0001,0.0078,0.0001,200,0.0004
0.0073,0.0000,0.0000,0.0000,0.0072,0.0001,200,0.0142
0.0081,0.0000,0.0000,0.0000,0.0076,0.0004,200,0.0139
0.0080,0.0000,0.0000,0.0000,0.0077,0.0003,200,0.0141
0.0081,0.0000,0.0000,0.0000,0.0076,0.0004,200,0.0141
0.0086,0.0000,0.0000,0.0000,0.0085,0.0000,200,0.0216
0.0087,0.0000,0.0000,0.0000,0.0085,0.0001,200,0.0220
0.0085,0.0000,0.0000,0.0000,0.0078,0.0007,200,0.0221
0.0088,0.0000,0.0000,0.0000,0.0087,0.0000,200,0.0221
0.0086,0.0000,0.0000,0.0000,0.0085,0.0001,200,0.0301
0.0084,0.0000,0.0000,0.0000,0.0080,0.0003,200,0.0309
0.0087,0.0000,0.0000,0.0000,0.0083,0.0004,200,0.0307
0.0090,0.0000,0.0000,0.0000,0.0080,0.0009,200,0.0306
0.0086,0.0000,0.0000,0.0000,0.0085,0.0001,200,0.0387
0.0084,0.0000,0.0000,0.0000,0.0082,0.0002,200,0.0393
0.0081,0.0000,0.0000,0.0000,0.0077,0.0003,200,0.0396
0.0085,0.0000,0.0000,0.0000,0.0084,0.0000,200,0.0394
0.0083,0.0000,0.0000,0.0000,0.0079,0.0003,200,0.0477
0.0088,0.0000,0.0000,0.0000,0.0085,0.0003,200,0.0474
0.0085,0.0000,0.0000,0.0000,0.0085,0.0000,200,0.0479
0.0088,0.0000,0.0000,0.0000,0.0079,0.0008,200,0.0477
0.0082,0.0000,0.0000,0.0000,0.0081,0.0001,200,0.0564
0.0087,0.0000,0.0000,0.0000,0.0081,0.0006,200,0.0560
0.0085,0.0000,0.0000,0.0000,0.0081,0.0003,200,0.0565
0.0088,0.0000,0.0000,0.0000,0.0085,0.0002,200,0.0562
0.0084,0.0000,0.0000,0.0000,0.0082,0.0001,200,0.0646
0.0083,0.0000,0.0000,0.0000,0.0082,0.0001,200,0.0650
0.0086,0.0000,0.0000,0.0000,0.0085,0.0001,200,0.0649
0.0089,0.0000,0.0000,0.0000,0.0088,0.0001,200,0.0648
0.0082,0.0000,0.0000,0.0001,0.0080,0.0001,200,0.0733
0.0080,0.0000,0.0000,0.0000,0.0079,0.0001,200,0.0736
0.0087,0.0000,0.0000,0.0000,0.0085,0.0002,200,0.0730
0.0084,0.0000,0.0000,0.0000,0.0083,0.0000,200,0.0737
0.0081,0.0000,0.0000,0.0000,0.0079,0.0001,200,0.0815
0.0080,0.0000,0.0000,0.0000,0.0078,0.0001,200,0.0816
0.0079,0.0000,0.0000,0.0000,0.0077,0.0002,200,0.0818
0.0084,0.0000,0.0000,0.0000,0.0073,0.0011,200,0.0821
0.0076,0.0000,0.0000,0.0000,0.0073,0.0002,200,0.0896
0.0077,0.0000,0.0000,0.0000,0.0077,0.0000,200,0.0896
0.0077,0.0000,0.0000,0.0000,0.0072,0.0005,200,0.0897
0.0077,0.0000,0.0000,0.0000,0.0075,0.0001,200,0.0905
0.0076,0.0000,0.0000,0.0000,0.0075,0.0001,200,0.0972
0.0076,0.0000,0.0000,0.0000,0.0075,0.0001,200,0.0974
0.0080,0.0000,0.0000,0.0000,0.0076,0.0003,200,0.0973
0.0078,0.0000,0.0000,0.0000,0.0074,0.0004,200,0.0982
0.0075,0.0000,0.0000,0.0000,0.0074,0.0001,200,0.1050
0.0078,0.0000,0.0000,0.0000,0.0076,0.0001,200,0.1048
0.0073,0.0000,0.0000,0.0000,0.0072,0.0001,200,0.1053
0.0078,0.0000,0.0000,0.0000,0.0075,0.0003,200,0.1060
0.0077,0.0000,0.0000,0.0000,0.0075,0.0001,200,0.1127
0.0078,0.0000,0.0000,0.0000,0.0077,0.0001,200,0.1125
0.0080,0.0000,0.0000,0.0000,0.0075,0.0005,200,0.1126
0.0071,0.0000,0.0000,0.0000,0.0070,0.0000,200,0.1138
0.0076,0.0000,0.0000,0.0000,0.0074,0.0002,200,0.1203
0.0076,0.0000,0.0000,0.0000,0.0076,0.0000,200,0.1204
0.0072,0.0000,0.0000,0.0000,0.0070,0.0001,200,0.1209
0.0075,0.0000,0.0000,0.0000,0.0073,0.0001,200,0.1207
0.0072,0.0000,0.0000,0.0000,0.0071,0.0001,200,0.1280
0.0074,0.0000,0.0000,0.0000,0.0072,0.0002,200,0.1280
0.0074,0.0000,0.0000,0.0000,0.0072,0.0002,200,0.1281
0.0075,0.0000,0.0000,0.0000,0.0075,0.0000,200,0.1281
0.0076,0.0000,0.0000,0.0000,0.0074,0.0002,200,0.1354
0.0079,0.0000,0.0000,0.0001,0.0074,0.0004,200,0.1352
0.0078,0.0000,0.0000,0.0000,0.0072,0.0006,200,0.1356
0.0080,0.0000,0.0000,0.0000,0.0079,0.0000,200,0.1355
0.0075,0.0000,0.0000,0.0000,0.0073,0.0002,200,0.1431
0.0076,0.0000,0.0000,0.0000,0.0074,0.0001,200,0.1430
0.0073,0.0000,0.0000,0.0000,0.0071,0.0002,200,0.1435
0.0074,0.0000,0.0000,0.0000,0.0073,0.0001,200,0.1434
0.0071,0.0000,0.0000,0.0000,0.0068,0.0002,200,0.1508
0.0071,0.0000,0.0000,0.0000,0.0068,0.0002,200,0.1508
0.0074,0.0000,0.0000,0.0000,0.0072,0.0002,200,0.1506
0.0076,0.0000,0.0000,0.0000,0.0075,0.0000,200,0.1505
0.0072,0.0000,0.0000,0.0000,0.0071,0.0000,200,0.1579
0.0072,0.0000,0.0000,0.0000,0.0070,0.0002,200,0.1579
0.0074,0.0000,0.0000,0.0000,0.0071,0.0002,200,0.1580
0.0073,0.0000,0.0000,0.0000,0.0071,0.0002,200,0.1581
0.0070,0.0000,0.0000,0.0000,0.0069,0.0001,200,0.1654
0.0070,0.0000,0.0000,0.0000,0.0069,0.0001,200,0.1654
