response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0108,0.0016,0.0000,0.0001,0.0090,0.0000,200,0.0007
0.0112,0.0010,0.0000,0.0002,0.0097,0.0002,200,0.0003
0.0114,0.0010,0.0000,0.0004,0.0097,0.0002,200,0.0002
0.0112,0.0019,0.0000,0.0001,0.0092,0.0000,200,0.0008
0.0071,0.0000,0.0000,0.0000,0.0070,0.0001,200,0.0115
0.0074,0.0000,0.0000,0.0000,0.0073,0.0001,200,0.0120
0.0080,0.0000,0.0000,0.0000,0.0079,0.0000,200,0.0116
0.0105,0.0000,0.0000,0.0000,0.0104,0.0001,200,0.0115
0.0073,0.0000,0.0000,0.0000,0.0072,0.0001,200,0.0186
0.0082,0.0000,0.0000,0.0000,0.0081,0.0001,200,0.0195
0.0082,0.0000,0.0000,0.0000,0.0082,0.0000,200,0.0196
0.0072,0.0000,0.0000,0.0000,0.0071,0.0001,200,0.0220
0.0094,0.0000,0.0000,0.0000,0.0086,0.0008,200,0.0259
0.0078,0.0000,0.0000,0.0000,0.0077,0.0000,200,0.0276
0.0076,0.0000,0.0000,0.0000,0.0075,0.0001,200,0.0278
0.0076,0.0000,0.0000,0.0000,0.0070,0.0006,200,0.0292
0.0082,0.0000,0.0000,0.0000,0.0081,0.0001,200,0.0354
0.0083,0.0000,0.0000,0.0000,0.0083,0.0000,200,0.0354
0.0085,0.0000,0.0000,0.0000,0.0084,0.0000,200,0.0353
0.0107,0.0000,0.0000,0.0000,0.0106,0.0001,200,0.0369
0.0085,0.0000,0.0000,0.0000,0.0084,0.0001,200,0.0436
0.0108,0.0000,0.0000,0.0000,0.0107,0.0001,200,0.0438
0.0112,0.0000,0.0000,0.0000,0.0111,0.0001,200,0.0437
0.0074,0.0000,0.0000,0.0000,0.0073,0.0001,200,0.0521
0.0139,0.0000,0.0000,0.0000,0.0137,0.0001,200,0.0476
0.0079,0.0000,0.0000,0.0000,0.0079,0.0000,200,0.0545
0.0087,0.0000,0.0000,0.0000,0.0086,0.0001,200,0.0549
0.0080,0.0000,0.0000,0.0000,0.0079,0.0001,200,0.0595
0.0073,0.0000,0.0000,0.0000,0.0072,0.0001,200,0.0625
0.0071,0.0000,0.0000,0.0000,0.0070,0.0000,200,0.0636
0.0093,0.0000,0.0000,0.0000,0.0085,0.0000,200,0.0615
0.0084,0.0000,0.0000,0.0000,0.0082,0.0001,200,0.0675
0.0076,0.0000,0.0000,0.0001,0.0074,0.0001,200,0.0698
0.0068,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.0708
0.0073,0.0000,0.0000,0.0000,0.0072,0.0000,200,0.0707
0.0075,0.0000,0.0000,0.0000,0.0074,0.0001,200,0.0759
0.0073,0.0000,0.0000,0.0000,0.0072,0.0001,200,0.0773
0.0067,0.0000,0.0000,0.0001,0.0066,0.0000,200,0.0780
0.0087,0.0000,0.0000,0.0000,0.0086,0.0001,200,0.0776
0.0077,0.0000,0.0000,0.0000,0.0076,0.0001,200,0.0834
