response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0076,0.0002,0.0000,0.0001,0.0070,0.0001,200,0.0002
0.0077,0.0003,0.0000,0.0001,0.0071,0.0000,200,0.0001
0.0076,0.0003,0.0000,0.0001,0.0071,0.0001,200,0.0002
0.0076,0.0003,0.0000,0.0001,0.0071,0.0000,200,0.0001
0.0066,0.0000,0.0000,0.0000,0.0065,0.0001,200,0.0078
0.0066,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.0078
0.0069,0.0000,0.0000,0.0000,0.0067,0.0002,200,0.0078
0.0070,0.0000,0.0000,0.0000,0.0070,0.0000,200,0.0078
0.0066,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.0147
0.0068,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.0144
0.0068,0.0000,0.0000,0.0000,0.0068,0.0000,200,0.0144
0.0070,0.0000,0.0000,0.0000,0.0069,0.0000,200,0.0148
0.0068,0.0000,0.0000,0.0000,0.0067,0.0001,200,0.0212
0.0072,0.0000,0.0000,0.0000,0.0071,0.0001,200,0.0212
0.0075,0.0000,0.0000,0.0000,0.0074,0.0000,200,0.0217
0.0080,0.0000,0.0000,0.0000,0.0079,0.0000,200,0.0212
0.0076,0.0000,0.0000,0.0000,0.0075,0.0001,200,0.0281
0.0066,0.0000,0.0000,0.0000,0.0065,0.0001,200,0.0292
0.0066,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.0292
0.0075,0.0000,0.0000,0.0000,0.0075,0.0000,200,0.0285
0.0068,0.0000,0.0000,0.0000,0.0068,0.0001,200,0.0358
0.0070,0.0000,0.0000,0.0000,0.0069,0.0001,200,0.0357
0.0068,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.0360
0.0077,0.0000,0.0000,0.0000,0.0077,0.0000,200,0.0358
0.0066,0.0000,0.0000,0.0000,0.0065,0.0001,200,0.0428
0.0069,0.0000,0.0000,0.0000,0.0069,0.0000,200,0.0427
0.0074,0.0000,0.0000,0.0000,0.0073,0.0000,200,0.0427
0.0068,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.0436
0.0067,0.0000,0.0000,0.0000,0.0066,0.0001,200,0.0494
0.0065,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.0496
0.0062,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.0502
0.0063,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.0503
0.0066,0.0000,0.0000,0.0000,0.0065,0.0001,200,0.0562
0.0064,0.0000,0.0000,0.0000,0.0063,0.0001,200,0.0564
0.0067,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.0561
0.0077,0.0000,0.0000,0.0000,0.0077,0.0001,200,0.0566
0.0066,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.0628
0.0066,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.0628
0.0072,0.0000,0.0000,0.0000,0.0071,0.0000,200,0.0629
0.0064,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.0644
0.0064,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.0694
0.0067,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.0694
0.0062,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.0700
0.0063,0.0000,0.0000,0.0000,0.0062,0.0001,200,0.0708
0.0065,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.0763
0.0068,0.0000,0.0000,0.0000,0.0066,0.0001,200,0.0760
0.0070,0.0000,0.0000,0.0000,0.0069,0.0001,200,0.0757
0.0066,0.0000,0.0000,0.0000,0.0065,0.0001,200,0.0771
0.0067,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.0828
0.0067,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.0828
0.0070,0.0000,0.0000,0.0000,0.0069,0.0000,200,0.0828
0.0067,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.0837
0.0068,0.0000,0.0000,0.0000,0.0067,0.0001,200,0.0894
0.0065,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.0898
0.0065,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.0904
0.0075,0.0000,0.0000,0.0000,0.0074,0.0000,200,0.0894
