response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0092,0.0009,0.0000,0.0001,0.0081,0.0001,200,0.0002
0.0093,0.0002,0.0000,0.0001,0.0088,0.0000,200,0.0003
0.0094,0.0004,0.0000,0.0001,0.0088,0.0000,200,0.0001
0.0093,0.0002,0.0000,0.0000,0.0085,0.0004,200,0.0007
0.0087,0.0000,0.0000,0.0000,0.0082,0.0005,200,0.0095
0.0078,0.0000,0.0000,0.0000,0.0073,0.0005,200,0.0096
0.0089,0.0000,0.0000,0.0000,0.0083,0.0006,200,0.0096
0.0072,0.0000,0.0000,0.0000,0.0070,0.0001,200,0.0183
0.0183,0.0000,0.0000,0.0000,0.0182,0.0001,200,0.0099
0.0103,0.0000,0.0000,0.0000,0.0102,0.0000,200,0.0182
0.0129,0.0000,0.0000,0.0000,0.0123,0.0005,200,0.0185
0.0081,0.0000,0.0000,0.0000,0.0080,0.0001,200,0.0255
0.0097,0.0000,0.0000,0.0000,0.0096,0.0001,200,0.0285
0.0118,0.0000,0.0000,0.0000,0.0117,0.0000,200,0.0282
0.0075,0.0000,0.0000,0.0000,0.0074,0.0000,200,0.0336
0.0138,0.0000,0.0000,0.0000,0.0137,0.0001,200,0.0314
0.0071,0.0000,0.0000,0.0000,0.0070,0.0000,200,0.0382
0.0100,0.0000,0.0000,0.0000,0.0099,0.0001,200,0.0400
0.0077,0.0000,0.0000,0.0000,0.0076,0.0001,200,0.0452
0.0087,0.0000,0.0000,0.0000,0.0086,0.0000,200,0.0453
0.0145,0.0000,0.0000,0.0000,0.0144,0.0001,200,0.0411
0.0089,0.0000,0.0000,0.0000,0.0088,0.0001,200,0.0500
0.0072,0.0000,0.0000,0.0000,0.0071,0.0000,200,0.0530
0.0082,0.0000,0.0000,0.0000,0.0079,0.0002,200,0.0539
0.0084,0.0000,0.0000,0.0000,0.0083,0.0001,200,0.0556
0.0081,0.0000,0.0000,0.0000,0.0080,0.0001,200,0.0589
0.0078,0.0000,0.0000,0.0000,0.0078,0.0000,200,0.0601
0.0076,0.0000,0.0000,0.0000,0.0074,0.0002,200,0.0622
0.0094,0.0000,0.0000,0.0000,0.0093,0.0001,200,0.0640
0.0090,0.0000,0.0000,0.0000,0.0089,0.0001,200,0.0670
0.0090,0.0000,0.0000,0.0000,0.0089,0.0000,200,0.0679
0.0076,0.0000,0.0000,0.0003,0.0072,0.0001,200,0.0698
0.0094,0.0000,0.0000,0.0000,0.0093,0.0001,200,0.0733
0.0074,0.0000,0.0000,0.0000,0.0073,0.0001,200,0.0769
0.0076,0.0000,0.0000,0.0000,0.0075,0.0000,200,0.0774
0.0090,0.0000,0.0000,0.0000,0.0086,0.0004,200,0.0760
0.0085,0.0000,0.0000,0.0000,0.0084,0.0001,200,0.0828
0.0071,0.0000,0.0000,0.0000,0.0070,0.0000,200,0.0850
0.0085,0.0000,0.0000,0.0000,0.0082,0.0002,200,0.0850
0.0094,0.0000,0.0000,0.0000,0.0093,0.0000,200,0.0843
0.0070,0.0000,0.0000,0.0000,0.0069,0.0001,200,0.0920
0.0081,0.0000,0.0000,0.0000,0.0075,0.0005,200,0.0913
0.0100,0.0000,0.0000,0.0000,0.0098,0.0001,200,0.0935
0.0098,0.0000,0.0000,0.0000,0.0098,0.0000,200,0.0937
0.0084,0.0000,0.0000,0.0000,0.0078,0.0001,200,0.0991
0.0083,0.0000,0.0000,0.0000,0.0082,0.0000,200,0.0993
0.0077,0.0000,0.0000,0.0000,0.0075,0.0001,200,0.1034
0.0075,0.0000,0.0000,0.0000,0.0075,0.0000,200,0.1036
0.0082,0.0000,0.0000,0.0000,0.0081,0.0001,200,0.1076
0.0086,0.0000,0.0000,0.0000,0.0083,0.0002,200,0.1075
0.0072,0.0000,0.0000,0.0000,0.0071,0.0001,200,0.1111
0.0077,0.0000,0.0000,0.0000,0.0076,0.0000,200,0.1111
0.0085,0.0000,0.0000,0.0000,0.0084,0.0001,200,0.1158
0.0084,0.0000,0.0000,0.0000,0.0083,0.0000,200,0.1161
0.0078,0.0000,0.0000,0.0000,0.0078,0.0000,200,0.1188
0.0085,0.0000,0.0000,0.0000,0.0082,0.0003,200,0.1183
0.0084,0.0000,0.0000,0.0000,0.0083,0.0001,200,0.1244
0.0073,0.0000,0.0000,0.0000,0.0071,0.0001,200,0.1267
0.0078,0.0000,0.0000,0.0000,0.0077,0.0001,200,0.1268
0.0127,0.0000,0.0000,0.0000,0.0126,0.0001,200,0.1243
0.0082,0.0000,0.0000,0.0000,0.0081,0.0001,200,0.1328
0.0075,0.0000,0.0000,0.0000,0.0074,0.0000,200,0.1346
0.0082,0.0000,0.0000,0.0000,0.0081,0.0000,200,0.1339
0.0102,0.0000,0.0000,0.0000,0.0101,0.0001,200,0.1370
0.0079,0.0000,0.0000,0.0000,0.0078,0.0001,200,0.1411
0.0082,0.0000,0.0000,0.0000,0.0081,0.0001,200,0.1421
0.0090,0.0000,0.0000,0.0000,0.0089,0.0001,200,0.1421
0.0093,0.0000,0.0000,0.0000,0.0091,0.0001,200,0.1490
0.0081,0.0000,0.0000,0.0000,0.0080,0.0001,200,0.1512
0.0091,0.0000,0.0000,0.0000,0.0080,0.0011,200,0.1503
0.0146,0.0000,0.0000,0.0000,0.0145,0.0001,200,0.1472
0.0078,0.0000,0.0000,0.0000,0.0076,0.0001,200,0.1582
0.0097,0.0000,0.0000,0.0000,0.0096,0.0000,200,0.1593
0.0096,0.0000,0.0000,0.0000,0.0095,0.0000,200,0.1594
0.0095,0.0000,0.0000,0.0000,0.0093,0.0001,200,0.1618
0.0078,0.0000,0.0000,0.0000,0.0077,0.0000,200,0.1660
0.0099,0.0000,0.0000,0.0000,0.0098,0.0001,200,0.1690
0.0076,0.0000,0.0000,0.0000,0.0076,0.0000,200,0.1713
0.0100,0.0000,0.0000,0.0000,0.0099,0.0000,200,0.1690
0.0072,0.0000,0.0000,0.0000,0.0071,0.0000,200,0.1738
0.0073,0.0000,0.0000,0.0000,0.0072,0.0001,200,0.1789
0.0079,0.0000,0.0000,0.0000,0.0078,0.0000,200,0.1789
0.0084,0.0000,0.0000,0.0001,0.0082,0.0000,200,0.1790
0.0089,0.0000,0.0000,0.0000,0.0088,0.0000,200,0.1810
0.0078,0.0000,0.0000,0.0000,0.0076,0.0002,200,0.1862
0.0089,0.0000,0.0000,0.0000,0.0087,0.0002,200,0.1868
0.0099,0.0000,0.0000,0.0000,0.0098,0.0001,200,0.1873
0.0077,0.0000,0.0000,0.0000,0.0076,0.0000,200,0.1898
0.0085,0.0000,0.0000,0.0000,0.0084,0.0001,200,0.1940
0.0069,0.0000,0.0000,0.0000,0.0068,0.0000,200,0.1958
0.0074,0.0000,0.0000,0.0000,0.0073,0.0000,200,0.1972
0.0088,0.0000,0.0000,0.0000,0.0086,0.0002,200,0.1975
0.0069,0.0000,0.0000,0.0000,0.0068,0.0001,200,0.2027
0.0081,0.0000,0.0000,0.0001,0.0080,0.0000,200,0.2025
0.0067,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.2046
0.0078,0.0000,0.0000,0.0000,0.0077,0.0001,200,0.2063
0.0082,0.0000,0.0000,0.0000,0.0080,0.0001,200,0.2096
0.0074,0.0000,0.0000,0.0000,0.0074,0.0000,200,0.2106
0.0089,0.0000,0.0000,0.0000,0.0088,0.0001,200,0.2113
0.0080,0.0000,0.0000,0.0000,0.0080,0.0000,200,0.2141
0.0074,0.0000,0.0000,0.0000,0.0072,0.0001,200,0.2177
0.0073,0.0000,0.0000,0.0000,0.0072,0.0000,200,0.2180
0.0066,0.0000,0.0000,0.0000,0.0065,0.0001,200,0.2202
