t,container,cpu_pct,mem_mb
1785880180.89,hello.3.lcz7xhjrndvtzktu6jxln6sze,0.0,26.42578125
1785880180.89,hello.4.8nzuhq5wd948zpx8k7n694ioe,0.0,38.078125
1785880180.89,hello.2.u9ftys1spwaofumc96y0bvdh5,0.0,38.78125
1785880180.89,hello.1.fnxydoo7dcgxwae2u6anavyi0,0.0,31.65625
1785880180.89,openfaas_faas-swarm.1.7dggnmjxx3i0n40eg3rh2cv4i,0.0,8.2734375
1785880180.89,openfaas_queue-worker.1.ce0t0v4t8mfnlentu3xz8cchs,0.0,3.7109375
1785880180.89,openfaas_nats.1.xqbkaeyj2ons95g3vi2vuol7c,0.0,15.203125
1785880180.89,openfaas_gateway.1.yvayfo2mz54rhafs7mjtphb16,0.0,9.1796875
1785880180.89,openfaas_alertmanager.1.zedbsqrush8ma8kjgjjyfzz1v,0.0,12.82421875
1785880180.89,openfaas_prometheus.1.on6b7q0gjh6fluvvlq50j3zdt,0.0,41.59375
1785880180.9,hello.3.lcz7xhjrndvtzktu6jxln6sze,0.0,26.42578125
1785880180.9,hello.4.8nzuhq5wd948zpx8k7n694ioe,0.0,38.078125
1785880180.9,hello.2.u9ftys1spwaofumc96y0bvdh5,0.0,38.78125
1785880180.9,hello.1.fnxydoo7dcgxwae2u6anavyi0,0.0,31.65625
1785880180.9,openfaas_faas-swarm.1.7dggnmjxx3i0n40eg3rh2cv4i,0.0,8.2734375
1785880180.9,openfaas_queue-worker.1.ce0t0v4t8mfnlentu3xz8cchs,0.0,3.7109375
1785880180.9,openfaas_nats.1.xqbkaeyj2ons95g3vi2vuol7c,0.0,15.203125
1785880180.9,openfaas_gateway.1.yvayfo2mz54rhafs7mjtphb16,0.0,9.1796875
1785880180.9,openfaas_alertmanager.1.zedbsqrush8ma8kjgjjyfzz1v,0.0,12.82421875
1785880180.9,openfaas_prometheus.1.on6b7q0gjh6fluvvlq50j3zdt,0.0,41.59375
1785880180.91,hello.3.lcz7xhjrndvtzktu6jxln6sze,0.0,26.42578125
1785880180.91,hello.4.8nzuhq5wd948zpx8k7n694ioe,0.0,38.078125
1785880180.91,hello.2.u9ftys1spwaofumc96y0bvdh5,0.0,38.78125
1785880180.91,hello.1.fnxydoo7dcgxwae2u6anavyi0,0.0,31.65625
1785880180.91,openfaas_faas-swarm.1.7dggnmjxx3i0n40eg3rh2cv4i,0.0,8.2734375
1785880180.91,openfaas_queue-worker.1.ce0t0v4t8mfnlentu3xz8cchs,0.0,3.7109375
1785880180.91,openfaas_nats.1.xqbkaeyj2ons95g3vi2vuol7c,0.0,15.203125
1785880180.91,openfaas_gateway.1.yvayfo2mz54rhafs7mjtphb16,0.0,9.1796875
1785880180.91,openfaas_alertmanager.1.zedbsqrush8ma8kjgjjyfzz1v,0.0,12.82421875
1785880180.91,openfaas_prometheus.1.on6b7q0gjh6fluvvlq50j3zdt,0.0,41.59375
1785880180.92,hello.3.lcz7xhjrndvtzktu6jxln6sze,0.0,26.42578125
1785880180.92,hello.4.8nzuhq5wd948zpx8k7n694ioe,0.0,38.078125
1785880180.92,hello.2.u9ftys1spwaofumc96y0bvdh5,0.0,38.78125
1785880180.92,hello.1.fnxydoo7dcgxwae2u6anavyi0,0.0,31.65625
1785880180.92,openfaas_faas-swarm.1.7dggnmjxx3i0n40eg3rh2cv4i,0.0,8.2734375
1785880180.92,openfaas_queue-worker.1.ce0t0v4t8mfnlentu3xz8cchs,0.0,3.7109375
1785880180.92,openfaas_nats.1.xqbkaeyj2ons95g3vi2vuol7c,0.0,15.203125
1785880180.92,openfaas_gateway.1.yvayfo2mz54rhafs7mjtphb16,0.0,9.1796875
1785880180.92,openfaas_alertmanager.1.zedbsqrush8ma8kjgjjyfzz1v,0.0,12.82421875
1785880180.92,openfaas_prometheus.1.on6b7q0gjh6fluvvlq50j3zdt,0.0,41.59375
1785880180.94,hello.3.lcz7xhjrndvtzktu6jxln6sze,0.0,26.42578125
1785880180.94,hello.4.8nzuhq5wd948zpx8k7n694ioe,0.0,38.078125
1785880180.94,hello.2.u9ftys1spwaofumc96y0bvdh5,0.0,38.78125
1785880180.94,hello.1.fnxydoo7dcgxwae2u6anavyi0,0.0,31.65625
1785880180.94,openfaas_faas-swarm.1.7dggnmjxx3i0n40eg3rh2cv4i,0.0,8.2734375
1785880180.94,openfaas_queue-worker.1.ce0t0v4t8mfnlentu3xz8cchs,0.0,3.7109375
1785880180.94,openfaas_nats.1.xqbkaeyj2ons95g3vi2vuol7c,0.0,15.203125
1785880180.94,openfaas_gateway.1.yvayfo2mz54rhafs7mjtphb16,0.0,9.1796875
1785880180.94,openfaas_alertmanager.1.zedbsqrush8ma8kjgjjyfzz1v,0.8924220596869377,12.82421875
1785880180.94,openfaas_prometheus.1.on6b7q0gjh6fluvvlq50j3zdt,0.0,41.59375
1785880180.95,hello.3.lcz7xhjrndvtzktu6jxln6sze,0.0,26.42578125
1785880180.95,hello.4.8nzuhq5wd948zpx8k7n694ioe,0.0,38.078125
1785880180.95,hello.2.u9ftys1spwaofumc96y0bvdh5,0.0,38.78125
1785880180.95,hello.1.fnxydoo7dcgxwae2u6anavyi0,0.0,31.65625
1785880180.95,openfaas_faas-swarm.1.7dggnmjxx3i0n40eg3rh2cv4i,0.0,8.2734375
1785880180.95,openfaas_queue-worker.1.ce0t0v4t8mfnlentu3xz8cchs,0.0,3.7109375
1785880180.95,openfaas_nats.1.xqbkaeyj2ons95g3vi2vuol7c,0.0,15.203125
1785880180.95,openfaas_gateway.1.yvayfo2mz54rhafs7mjtphb16,0.0,9.1796875
1785880180.95,openfaas_alertmanager.1.zedbsqrush8ma8kjgjjyfzz1v,0.0,12.82421875
1785880180.95,openfaas_prometheus.1.on6b7q0gjh6fluvvlq50j3zdt,0.0,41.59375
1785880180.96,hello.3.lcz7xhjrndvtzktu6jxln6sze,0.0,26.42578125
1785880180.96,hello.4.8nzuhq5wd948zpx8k7n694ioe,0.0,38.078125
1785880180.96,hello.2.u9ftys1spwaofumc96y0bvdh5,0.0,38.78125
1785880180.96,hello.1.fnxydoo7dcgxwae2u6anavyi0,0.0,31.65625
1785880180.96,openfaas_faas-swarm.1.7dggnmjxx3i0n40eg3rh2cv4i,0.0,8.2734375
1785880180.96,openfaas_queue-worker.1.ce0t0v4t8mfnlentu3xz8cchs,0.0,3.7109375
1785880180.96,openfaas_nats.1.xqbkaeyj2ons95g3vi2vuol7c,0.0,15.203125
1785880180.96,openfaas_gateway.1.yvayfo2mz54rhafs7mjtphb16,0.0,9.1796875
1785880180.96,openfaas_alertmanager.1.zedbsqrush8ma8kjgjjyfzz1v,0.0,12.82421875
1785880180.96,openfaas_prometheus.1.on6b7q0gjh6fluvvlq50j3zdt,0.0,41.59375
1785880180.98,hello.3.lcz7xhjrndvtzktu6jxln6sze,0.0,26.42578125
1785880180.98,hello.4.8nzuhq5wd948zpx8k7n694ioe,0.0,38.078125
1785880180.98,hello.2.u9ftys1spwaofumc96y0bvdh5,0.0,38.78125
1785880180.98,hello.1.fnxydoo7dcgxwae2u6anavyi0,0.0,31.65625
1785880180.98,openfaas_faas-swarm.1.7dggnmjxx3i0n40eg3rh2cv4i,0.0,8.2734375
1785880180.98,openfaas_queue-worker.1.ce0t0v4t8mfnlentu3xz8cchs,0.0,3.7109375
1785880180.98,openfaas_nats.1.xqbkaeyj2ons95g3vi2vuol7c,0.0,15.203125
1785880180.98,openfaas_gateway.1.yvayfo2mz54rhafs7mjtphb16,0.0,9.1796875
1785880180.98,openfaas_alertmanager.1.zedbsqrush8ma8kjgjjyfzz1v,0.0,12.82421875
1785880180.98,openfaas_prometheus.1.on6b7q0gjh6fluvvlq50j3zdt,0.0,41.59375
1785880180.99,hello.3.lcz7xhjrndvtzktu6jxln6sze,0.0,26.42578125
1785880180.99,hello.4.8nzuhq5wd948zpx8k7n694ioe,0.0,38.078125
1785880180.99,hello.2.u9ftys1spwaofumc96y0bvdh5,0.0,38.78125
1785880180.99,hello.1.fnxydoo7dcgxwae2u6anavyi0,0.0,31.65625
1785880180.99,openfaas_faas-swarm.1.7dggnmjxx3i0n40eg3rh2cv4i,0.0,8.2734375
1785880180.99,openfaas_queue-worker.1.ce0t0v4t8mfnlentu3xz8cchs,0.0,3.7109375
1785880180.99,openfaas_nats.1.xqbkaeyj2ons95g3vi2vuol7c,0.0,15.203125
1785880180.99,openfaas_gateway.1.yvayfo2mz54rhafs7mjtphb16,0.0,9.1796875
1785880180.99,openfaas_alertmanager.1.zedbsqrush8ma8kjgjjyfzz1v,0.0,12.82421875
1785880180.99,openfaas_prometheus.1.on6b7q0gjh6fluvvlq50j3zdt,0.0,41.59375
1785880181.0,hello.3.lcz7xhjrndvtzktu6jxln6sze,0.0,26.42578125
