response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0157,0.0007,0.0000,0.0001,0.0137,0.0005,200,0.0009
0.0256,0.0028,0.0000,0.0002,0.0225,0.0000,200,0.0054
0.0409,0.0000,0.0000,0.0000,0.0409,0.0000,200,0.0165
0.0535,0.0052,0.0000,0.0004,0.0473,0.0005,200,0.0043
0.0591,0.0069,0.0000,0.0006,0.0516,0.0000,200,0.0027
0.0610,0.0059,0.0000,0.0005,0.0546,0.0000,200,0.0037
0.0693,0.0055,0.0000,0.0004,0.0632,0.0002,200,0.0041
0.0697,0.0019,0.0000,0.0028,0.0649,0.0000,200,0.0052
0.0758,0.0065,0.0000,0.0005,0.0687,0.0000,200,0.0031
0.0802,0.0073,0.0000,0.0019,0.0710,0.0000,200,0.0024
0.0857,0.0024,0.0000,0.0004,0.0828,0.0000,200,0.0058
0.0896,0.0067,0.0000,0.0006,0.0823,0.0000,200,0.0029
0.0912,0.0046,0.0000,0.0026,0.0824,0.0000,200,0.0032
0.0996,0.0042,0.0000,0.0037,0.0910,0.0000,200,0.0012
0.0435,0.0000,0.0000,0.0000,0.0429,0.0005,200,0.0578
0.1012,0.0071,0.0000,0.0014,0.0927,0.0000,200,0.0026
0.1003,0.0006,0.0000,0.0036,0.0962,0.0000,200,0.0057
0.0543,0.0000,0.0000,0.0000,0.0543,0.0000,200,0.0575
0.1074,0.0037,0.0000,0.0000,0.1034,0.0002,200,0.0050
0.0472,0.0000,0.0000,0.0000,0.0471,0.0000,200,0.0734
0.1204,0.0019,0.0000,0.0015,0.1169,0.0000,200,0.0074
0.1249,0.0063,0.0000,0.0011,0.1175,0.0000,200,0.0045
0.1217,0.0016,0.0000,0.0021,0.1180,0.0000,200,0.0078
0.0508,0.0000,0.0000,0.0000,0.0507,0.0000,200,0.0788
0.1235,0.0030,0.0000,0.0020,0.1164,0.0021,200,0.0063
0.0735,0.0000,0.0000,0.0000,0.0734,0.0000,200,0.0618
0.0627,0.0000,0.0000,0.0000,0.0627,0.0000,200,0.0748
0.1110,0.0000,0.0000,0.0000,0.1110,0.0000,200,0.0310
0.0369,0.0000,0.0000,0.0000,0.0367,0.0001,200,0.1060
0.0618,0.0000,0.0000,0.0000,0.0617,0.0000,200,0.0826
0.0417,0.0000,0.0000,0.0000,0.0417,0.0000,200,0.1038
0.0520,0.0000,0.0000,0.0000,0.0519,0.0000,200,0.1008
0.0604,0.0000,0.0000,0.0000,0.0604,0.0000,200,0.0925
0.0638,0.0000,0.0000,0.0000,0.0595,0.0043,200,0.0915
0.0689,0.0000,0.0000,0.0000,0.0688,0.0000,200,0.1012
0.0409,0.0000,0.0000,0.0000,0.0408,0.0000,200,0.1296
0.0448,0.0000,0.0000,0.0000,0.0447,0.0000,200,0.1295
0.0475,0.0000,0.0000,0.0004,0.0468,0.0001,200,0.1278
