response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0085,0.0004,0.0000,0.0000,0.0068,0.0001,200,0.0002
0.0106,0.0015,0.0000,0.0000,0.0089,0.0000,200,0.0001
0.0163,0.0005,0.0000,0.0001,0.0148,0.0000,200,0.0002
0.0079,0.0000,0.0000,0.0000,0.0078,0.0000,200,0.0087
0.0080,0.0000,0.0000,0.0000,0.0079,0.0001,200,0.0165
0.0086,0.0000,0.0000,0.0000,0.0085,0.0000,200,0.0165
0.0147,0.0000,0.0000,0.0000,0.0147,0.0000,200,0.0107
0.0273,0.0004,0.0000,0.0001,0.0257,0.0000,200,0.0002
0.0104,0.0000,0.0000,0.0000,0.0104,0.0000,200,0.0251
0.0081,0.0000,0.0000,0.0000,0.0080,0.0000,200,0.0275
0.0142,0.0000,0.0000,0.0000,0.0142,0.0000,200,0.0254
0.0105,0.0000,0.0000,0.0000,0.0104,0.0000,200,0.0355
0.0099,0.0000,0.0000,0.0000,0.0098,0.0000,200,0.0396
0.0251,0.0000,0.0000,0.0000,0.0250,0.0000,200,0.0245
0.0141,0.0000,0.0000,0.0000,0.0140,0.0000,200,0.0356
0.0106,0.0000,0.0000,0.0000,0.0105,0.0000,200,0.0459
0.0126,0.0000,0.0000,0.0000,0.0126,0.0000,200,0.0496
0.0127,0.0000,0.0000,0.0000,0.0126,0.0000,200,0.0496
0.0110,0.0000,0.0000,0.0000,0.0109,0.0000,200,0.0565
0.0207,0.0000,0.0000,0.0000,0.0207,0.0000,200,0.0496
0.0159,0.0000,0.0000,0.0000,0.0159,0.0000,200,0.0623
0.0084,0.0000,0.0000,0.0000,0.0084,0.0000,200,0.0703
0.0061,0.0000,0.0000,0.0000,0.0060,0.0000,200,0.0788
0.0174,0.0000,0.0000,0.0000,0.0173,0.0000,200,0.0675
0.0229,0.0000,0.0000,0.0000,0.0229,0.0000,200,0.0622
0.0073,0.0000,0.0000,0.0000,0.0072,0.0000,200,0.0849
0.0074,0.0000,0.0000,0.0000,0.0074,0.0000,200,0.0848
0.0143,0.0000,0.0000,0.0000,0.0143,0.0000,200,0.0782
0.0121,0.0000,0.0000,0.0000,0.0120,0.0001,200,0.0926
0.0202,0.0000,0.0000,0.0000,0.0201,0.0000,200,0.0851
0.0133,0.0000,0.0000,0.0000,0.0133,0.0000,200,0.0923
0.0183,0.0000,0.0000,0.0000,0.0183,0.0000,200,0.0922
0.0076,0.0000,0.0000,0.0000,0.0075,0.0000,200,0.1047
0.0103,0.0000,0.0000,0.0000,0.0103,0.0000,200,0.1056
0.0062,0.0000,0.0000,0.0000,0.0061,0.0001,200,0.1123
0.0064,0.0000,0.0000,0.0000,0.0063,0.0001,200,0.1184
0.0093,0.0000,0.0000,0.0000,0.0092,0.0000,200,0.1159
0.0275,0.0000,0.0000,0.0000,0.0274,0.0001,200,0.1053
0.0276,0.0000,0.0000,0.0000,0.0275,0.0000,200,0.1105
0.0135,0.0000,0.0000,0.0000,0.0135,0.0000,200,0.1252
0.0141,0.0000,0.0000,0.0000,0.0141,0.0000,200,0.1248
0.0111,0.0000,0.0000,0.0000,0.0110,0.0000,200,0.1387
0.0140,0.0000,0.0000,0.0000,0.0139,0.0001,200,0.1390
0.0217,0.0000,0.0000,0.0000,0.0216,0.0000,200,0.1328
0.0174,0.0000,0.0000,0.0000,0.0174,0.0001,200,0.1381
0.0125,0.0000,0.0000,0.0000,0.0124,0.0000,200,0.1545
0.0219,0.0000,0.0000,0.0000,0.0218,0.0001,200,0.1556
0.0246,0.0000,0.0000,0.0001,0.0245,0.0000,200,0.1530
0.0297,0.0000,0.0000,0.0000,0.0296,0.0000,200,0.1498
0.0082,0.0000,0.0000,0.0000,0.0081,0.0001,200,0.1775
0.0265,0.0000,0.0000,0.0000,0.0263,0.0001,200,0.1670
0.0198,0.0000,0.0000,0.0000,0.0197,0.0000,200,0.1795
0.0141,0.0000,0.0000,0.0000,0.0141,0.0000,200,0.1856
0.0225,0.0000,0.0000,0.0000,0.0217,0.0008,200,0.1776
0.0116,0.0000,0.0000,0.0000,0.0115,0.0000,200,0.1935
0.0094,0.0000,0.0000,0.0000,0.0094,0.0000,200,0.2051
0.0152,0.0000,0.0000,0.0000,0.0151,0.0000,200,0.2001
0.0164,0.0000,0.0000,0.0000,0.0145,0.0019,200,0.1993
0.0220,0.0000,0.0000,0.0000,0.0219,0.0001,200,0.1997
0.0089,0.0000,0.0000,0.0000,0.0088,0.0001,200,0.2146
0.0109,0.0000,0.0000,0.0000,0.0109,0.0000,200,0.2157
0.0128,0.0000,0.0000,0.0000,0.0128,0.0000,200,0.2152
0.0137,0.0000,0.0000,0.0000,0.0136,0.0000,200,0.2266
0.0173,0.0000,0.0000,0.0000,0.0172,0.0000,200,0.2234
0.0195,0.0000,0.0000,0.0000,0.0195,0.0000,200,0.2218
0.0107,0.0000,0.0000,0.0000,0.0107,0.0000,200,0.2408
0.0127,0.0000,0.0000,0.0000,0.0126,0.0000,200,0.2403
0.0254,0.0000,0.0000,0.0000,0.0246,0.0007,200,0.2280
0.0102,0.0000,0.0000,0.0000,0.0101,0.0000,200,0.2515
0.0065,0.0000,0.0000,0.0000,0.0064,0.0001,200,0.2617
0.0270,0.0000,0.0000,0.0000,0.0270,0.0000,200,0.2413
0.0068,0.0000,0.0000,0.0000,0.0067,0.0001,200,0.2682
0.0063,0.0000,0.0000,0.0000,0.0062,0.0001,200,0.2749
0.0295,0.0000,0.0000,0.0000,0.0294,0.0000,200,0.2530
0.0164,0.0000,0.0000,0.0000,0.0163,0.0000,200,0.2813
0.0065,0.0000,0.0000,0.0000,0.0064,0.0001,200,0.2977
0.0519,0.0000,0.0000,0.0000,0.0518,0.0000,200,0.2534
0.0377,0.0000,0.0000,0.0000,0.0377,0.0000,200,0.2683
0.0068,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.3042
0.0297,0.0000,0.0000,0.0000,0.0296,0.0000,200,0.2825
0.0075,0.0000,0.0000,0.0000,0.0075,0.0000,200,0.3053
0.0130,0.0000,0.0000,0.0000,0.0130,0.0001,200,0.3061
0.0121,0.0000,0.0000,0.0000,0.0099,0.0022,200,0.3110
0.0082,0.0000,0.0000,0.0000,0.0081,0.0001,200,0.3231
0.0070,0.0000,0.0000,0.0000,0.0069,0.0001,200,0.3313
0.0332,0.0000,0.0000,0.0000,0.0331,0.0000,200,0.3122
0.0072,0.0000,0.0000,0.0000,0.0071,0.0000,200,0.3383
0.0264,0.0000,0.0000,0.0000,0.0264,0.0000,200,0.3191
0.0437,0.0000,0.0000,0.0000,0.0436,0.0001,200,0.3128
0.0180,0.0000,0.0000,0.0000,0.0180,0.0000,200,0.3454
0.0179,0.0000,0.0000,0.0000,0.0179,0.0000,200,0.3456
0.0181,0.0000,0.0000,0.0000,0.0180,0.0000,200,0.3455
0.0079,0.0000,0.0000,0.0000,0.0078,0.0001,200,0.3634
0.0149,0.0000,0.0000,0.0000,0.0148,0.0000,200,0.3565
0.0143,0.0000,0.0000,0.0000,0.0142,0.0001,200,0.3635
