response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0111,0.0003,0.0000,0.0001,0.0107,0.0001,200,0.0004
0.0114,0.0004,0.0000,0.0001,0.0108,0.0000,200,0.0002
0.0111,0.0005,0.0000,0.0000,0.0106,0.0000,200,0.0005
0.0190,0.0005,0.0000,0.0002,0.0181,0.0002,200,0.0001
0.0126,0.0000,0.0000,0.0000,0.0120,0.0006,200,0.0116
0.0192,0.0000,0.0000,0.0000,0.0192,0.0000,200,0.0116
0.0084,0.0000,0.0000,0.0001,0.0063,0.0020,200,0.0242
0.0194,0.0000,0.0000,0.0000,0.0193,0.0000,200,0.0191
0.0271,0.0000,0.0000,0.0000,0.0271,0.0000,200,0.0115
0.0079,0.0000,0.0000,0.0000,0.0079,0.0000,200,0.0307
0.0065,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.0327
0.0099,0.0000,0.0000,0.0000,0.0099,0.0000,200,0.0387
0.0103,0.0000,0.0000,0.0000,0.0102,0.0000,200,0.0385
0.0131,0.0000,0.0000,0.0000,0.0130,0.0000,200,0.0386
0.0165,0.0000,0.0000,0.0000,0.0165,0.0000,200,0.0391
0.0135,0.0000,0.0000,0.0000,0.0135,0.0000,200,0.0488
0.0110,0.0000,0.0000,0.0000,0.0109,0.0000,200,0.0517
0.0107,0.0000,0.0000,0.0000,0.0106,0.0000,200,0.0624
0.0185,0.0000,0.0000,0.0000,0.0185,0.0000,200,0.0557
0.0116,0.0000,0.0000,0.0000,0.0116,0.0000,200,0.0627
0.0090,0.0000,0.0000,0.0000,0.0089,0.0000,200,0.0743
0.0347,0.0000,0.0000,0.0000,0.0347,0.0000,200,0.0486
0.0109,0.0000,0.0000,0.0000,0.0109,0.0000,200,0.0730
0.0118,0.0000,0.0000,0.0000,0.0118,0.0000,200,0.0840
0.0066,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.0958
0.0199,0.0000,0.0000,0.0000,0.0198,0.0000,200,0.0833
0.0262,0.0000,0.0000,0.0000,0.0261,0.0000,200,0.0833
0.0402,0.0000,0.0000,0.0000,0.0402,0.0000,200,0.0742
0.0128,0.0000,0.0000,0.0000,0.0127,0.0000,200,0.1024
0.0065,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.1095
0.0197,0.0000,0.0000,0.0000,0.0197,0.0000,200,0.1031
0.0088,0.0000,0.0000,0.0000,0.0088,0.0000,200,0.1144
0.0077,0.0000,0.0000,0.0000,0.0072,0.0004,200,0.1160
0.0169,0.0000,0.0000,0.0000,0.0168,0.0000,200,0.1233
0.0174,0.0000,0.0000,0.0000,0.0174,0.0000,200,0.1228
0.0266,0.0000,0.0000,0.0000,0.0265,0.0000,200,0.1152
0.0221,0.0000,0.0000,0.0000,0.0220,0.0000,200,0.1237
0.0074,0.0000,0.0000,0.0000,0.0073,0.0000,200,0.1418
0.0154,0.0000,0.0000,0.0000,0.0153,0.0000,200,0.1403
0.0129,0.0000,0.0000,0.0000,0.0128,0.0000,200,0.1492
0.0073,0.0000,0.0000,0.0000,0.0064,0.0008,200,0.1556
0.0227,0.0000,0.0000,0.0000,0.0227,0.0000,200,0.1457
0.0290,0.0000,0.0000,0.0000,0.0290,0.0000,200,0.1402
0.0117,0.0000,0.0000,0.0000,0.0117,0.0000,200,0.1621
0.0062,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.1692
0.0141,0.0000,0.0000,0.0000,0.0140,0.0000,200,0.1684
0.0198,0.0000,0.0000,0.0000,0.0198,0.0000,200,0.1629
0.0076,0.0000,0.0000,0.0000,0.0076,0.0000,200,0.1754
0.0186,0.0000,0.0000,0.0000,0.0185,0.0001,200,0.1739
0.0183,0.0000,0.0000,0.0000,0.0182,0.0000,200,0.1825
0.0187,0.0000,0.0000,0.0000,0.0187,0.0000,200,0.1828
