response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0106,0.0003,0.0000,0.0001,0.0100,0.0001,200,0.0001
0.0065,0.0000,0.0000,0.0000,0.0064,0.0001,200,0.0107
0.0065,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.0172
0.0065,0.0000,0.0000,0.0000,0.0064,0.0001,200,0.0237
0.0307,0.0001,0.0000,0.0000,0.0306,0.0000,200,0.0004
0.0064,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.0312
0.0065,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.0375
0.0207,0.0000,0.0000,0.0000,0.0206,0.0001,200,0.0301
0.0557,0.0009,0.0000,0.0000,0.0547,0.0000,200,0.0016
0.0074,0.0000,0.0000,0.0000,0.0073,0.0001,200,0.0508
0.0642,0.0001,0.0000,0.0000,0.0641,0.0000,200,0.0006
0.0068,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.0582
0.0094,0.0000,0.0000,0.0000,0.0093,0.0000,200,0.0573
0.0234,0.0000,0.0000,0.0000,0.0233,0.0000,200,0.0440
0.0148,0.0000,0.0000,0.0000,0.0147,0.0000,200,0.0648
0.0124,0.0000,0.0000,0.0000,0.0124,0.0000,200,0.0674
0.0139,0.0000,0.0000,0.0000,0.0138,0.0000,200,0.0667
0.0163,0.0000,0.0000,0.0000,0.0163,0.0000,200,0.0650
0.0099,0.0000,0.0000,0.0000,0.0098,0.0000,200,0.0798
0.0086,0.0000,0.0000,0.0000,0.0086,0.0000,200,0.0813
0.0129,0.0000,0.0000,0.0000,0.0129,0.0000,200,0.0806
0.0070,0.0000,0.0000,0.0000,0.0069,0.0000,200,0.0935
0.0162,0.0000,0.0000,0.0000,0.0162,0.0001,200,0.0897
0.0138,0.0000,0.0000,0.0000,0.0137,0.0001,200,0.1005
0.0096,0.0000,0.0000,0.0000,0.0095,0.0001,200,0.1143
0.0199,0.0000,0.0000,0.0000,0.0198,0.0000,200,0.1059
0.0079,0.0000,0.0000,0.0000,0.0078,0.0001,200,0.1258
0.0136,0.0000,0.0000,0.0000,0.0135,0.0000,200,0.1239
0.0497,0.0000,0.0000,0.0001,0.0495,0.0001,200,0.0900
0.0111,0.0000,0.0000,0.0000,0.0110,0.0000,200,0.1337
0.0692,0.0000,0.0000,0.0000,0.0692,0.0001,200,0.0796
0.0117,0.0000,0.0000,0.0000,0.0117,0.0000,200,0.1375
0.0066,0.0000,0.0000,0.0000,0.0065,0.0001,200,0.1448
0.0215,0.0000,0.0000,0.0000,0.0214,0.0001,200,0.1396
0.0131,0.0000,0.0000,0.0000,0.0131,0.0000,200,0.1493
0.0113,0.0000,0.0000,0.0000,0.0112,0.0000,200,0.1514
0.0105,0.0000,0.0000,0.0000,0.0104,0.0000,200,0.1627
0.0083,0.0000,0.0000,0.0000,0.0082,0.0001,200,0.1731
0.0218,0.0000,0.0000,0.0000,0.0217,0.0001,200,0.1624
0.0069,0.0000,0.0000,0.0000,0.0068,0.0001,200,0.1842
