response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0080,0.0004,0.0000,0.0000,0.0074,0.0001,200,0.0001
0.0079,0.0002,0.0000,0.0001,0.0075,0.0001,200,0.0003
0.0081,0.0004,0.0000,0.0001,0.0075,0.0000,200,0.0001
0.0080,0.0003,0.0000,0.0001,0.0076,0.0000,200,0.0002
0.0071,0.0000,0.0000,0.0000,0.0071,0.0000,200,0.0082
0.0076,0.0000,0.0000,0.0000,0.0067,0.0008,200,0.0082
0.0077,0.0000,0.0000,0.0000,0.0076,0.0000,200,0.0083
0.0079,0.0000,0.0000,0.0000,0.0078,0.0000,200,0.0082
0.0069,0.0000,0.0000,0.0000,0.0068,0.0000,200,0.0161
0.0076,0.0000,0.0000,0.0000,0.0075,0.0000,200,0.0154
0.0070,0.0000,0.0000,0.0000,0.0069,0.0001,200,0.0160
0.0077,0.0000,0.0000,0.0003,0.0074,0.0000,200,0.0158
0.0072,0.0000,0.0000,0.0000,0.0070,0.0001,200,0.0230
0.0073,0.0000,0.0000,0.0000,0.0072,0.0000,200,0.0230
0.0074,0.0000,0.0000,0.0000,0.0073,0.0000,200,0.0230
0.0076,0.0000,0.0000,0.0000,0.0075,0.0001,200,0.0235
0.0072,0.0000,0.0000,0.0002,0.0068,0.0001,200,0.0301
0.0071,0.0000,0.0000,0.0000,0.0071,0.0000,200,0.0303
0.0073,0.0000,0.0000,0.0000,0.0073,0.0000,200,0.0302
0.0098,0.0000,0.0000,0.0000,0.0096,0.0001,200,0.0311
0.0067,0.0000,0.0000,0.0000,0.0066,0.0001,200,0.0375
0.0067,0.0000,0.0000,0.0000,0.0067,0.0001,200,0.0375
0.0086,0.0000,0.0000,0.0001,0.0085,0.0000,200,0.0373
0.0070,0.0000,0.0000,0.0000,0.0069,0.0000,200,0.0409
0.0066,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.0442
0.0066,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.0442
0.0069,0.0000,0.0000,0.0000,0.0067,0.0002,200,0.0459
0.0066,0.0000,0.0000,0.0000,0.0065,0.0001,200,0.0479
0.0069,0.0000,0.0000,0.0000,0.0068,0.0000,200,0.0508
0.0070,0.0000,0.0000,0.0000,0.0069,0.0000,200,0.0508
0.0067,0.0000,0.0000,0.0000,0.0066,0.0001,200,0.0529
0.0065,0.0000,0.0000,0.0000,0.0064,0.0001,200,0.0545
0.0070,0.0000,0.0000,0.0000,0.0069,0.0001,200,0.0577
0.0070,0.0000,0.0000,0.0000,0.0069,0.0001,200,0.0578
0.0066,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.0596
0.0066,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.0610
0.0067,0.0000,0.0000,0.0001,0.0065,0.0001,200,0.0648
0.0068,0.0000,0.0000,0.0000,0.0067,0.0001,200,0.0647
0.0063,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.0662
0.0064,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.0675
0.0068,0.0000,0.0000,0.0000,0.0067,0.0001,200,0.0715
0.0069,0.0000,0.0000,0.0000,0.0068,0.0000,200,0.0715
0.0076,0.0000,0.0000,0.0000,0.0075,0.0001,200,0.0724
0.0063,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.0739
0.0067,0.0000,0.0000,0.0000,0.0066,0.0001,200,0.0783
0.0067,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.0784
0.0075,0.0000,0.0000,0.0000,0.0074,0.0001,200,0.0800
0.0073,0.0000,0.0000,0.0000,0.0072,0.0001,200,0.0803
0.0066,0.0000,0.0000,0.0000,0.0065,0.0001,200,0.0851
0.0079,0.0000,0.0000,0.0000,0.0077,0.0001,200,0.0851
0.0068,0.0000,0.0000,0.0000,0.0066,0.0001,200,0.0875
0.0070,0.0000,0.0000,0.0000,0.0070,0.0000,200,0.0875
0.0071,0.0000,0.0000,0.0000,0.0070,0.0001,200,0.0917
0.0081,0.0000,0.0000,0.0000,0.0079,0.0001,200,0.0929
0.0068,0.0000,0.0000,0.0000,0.0067,0.0001,200,0.0943
0.0093,0.0000,0.0000,0.0000,0.0092,0.0001,200,0.0946
0.0068,0.0000,0.0000,0.0000,0.0067,0.0001,200,0.0987
0.0064,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.1011
0.0068,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.1010
0.0068,0.0000,0.0000,0.0000,0.0067,0.0001,200,0.1039
0.0065,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.1055
0.0065,0.0000,0.0000,0.0000,0.0064,0.0001,200,0.1075
0.0077,0.0000,0.0000,0.0000,0.0076,0.0001,200,0.1078
0.0066,0.0000,0.0000,0.0000,0.0065,0.0001,200,0.1107
0.0064,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.1121
0.0068,0.0000,0.0000,0.0000,0.0067,0.0001,200,0.1140
0.0067,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.1154
0.0068,0.0000,0.0000,0.0000,0.0068,0.0000,200,0.1173
0.0067,0.0000,0.0000,0.0000,0.0067,0.0001,200,0.1184
0.0070,0.0000,0.0000,0.0001,0.0068,0.0001,200,0.1208
0.0063,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.1222
0.0072,0.0000,0.0000,0.0001,0.0070,0.0001,200,0.1241
0.0065,0.0000,0.0000,0.0000,0.0064,0.0001,200,0.1252
0.0066,0.0000,0.0000,0.0000,0.0065,0.0001,200,0.1278
0.0064,0.0000,0.0000,0.0000,0.0063,0.0001,200,0.1284
0.0067,0.0000,0.0000,0.0000,0.0065,0.0001,200,0.1313
0.0063,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.1317
0.0074,0.0000,0.0000,0.0000,0.0069,0.0004,200,0.1344
0.0070,0.0000,0.0000,0.0000,0.0069,0.0000,200,0.1349
0.0069,0.0000,0.0000,0.0000,0.0068,0.0000,200,0.1380
0.0070,0.0000,0.0000,0.0000,0.0068,0.0002,200,0.1379
0.0069,0.0000,0.0000,0.0000,0.0068,0.0001,200,0.1418
0.0073,0.0000,0.0000,0.0000,0.0072,0.0000,200,0.1418
0.0067,0.0000,0.0000,0.0000,0.0066,0.0001,200,0.1449
0.0067,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.1450
0.0066,0.0000,0.0000,0.0000,0.0064,0.0002,200,0.1491
0.0072,0.0000,0.0000,0.0000,0.0071,0.0000,200,0.1487
0.0067,0.0000,0.0000,0.0000,0.0066,0.0001,200,0.1516
0.0071,0.0000,0.0000,0.0002,0.0069,0.0000,200,0.1516
0.0070,0.0000,0.0000,0.0000,0.0068,0.0001,200,0.1557
0.0072,0.0000,0.0000,0.0000,0.0071,0.0000,200,0.1559
0.0066,0.0000,0.0000,0.0000,0.0065,0.0001,200,0.1582
0.0063,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.1587
0.0069,0.0000,0.0000,0.0000,0.0068,0.0001,200,0.1627
0.0067,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.1631
0.0065,0.0000,0.0000,0.0000,0.0064,0.0001,200,0.1649
0.0064,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.1650
0.0068,0.0000,0.0000,0.0000,0.0067,0.0001,200,0.1696
0.0068,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.1698
0.0066,0.0000,0.0000,0.0000,0.0065,0.0001,200,0.1714
0.0067,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.1714
0.0068,0.0000,0.0000,0.0000,0.0067,0.0001,200,0.1766
0.0073,0.0000,0.0000,0.0000,0.0072,0.0000,200,0.1765
0.0066,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.1780
0.0072,0.0000,0.0000,0.0000,0.0071,0.0000,200,0.1781
0.0068,0.0000,0.0000,0.0000,0.0067,0.0001,200,0.1837
0.0072,0.0000,0.0000,0.0000,0.0069,0.0003,200,0.1834
0.0065,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.1846
0.0064,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.1853
0.0068,0.0000,0.0000,0.0000,0.0067,0.0001,200,0.1905
0.0068,0.0000,0.0000,0.0000,0.0068,0.0000,200,0.1906
0.0065,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.1910
