response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0085,0.0007,0.0000,0.0000,0.0076,0.0001,200,0.0004
0.0089,0.0004,0.0000,0.0001,0.0082,0.0000,200,0.0002
0.0093,0.0003,0.0000,0.0001,0.0088,0.0000,200,0.0003
0.0090,0.0001,0.0000,0.0001,0.0087,0.0000,200,0.0007
0.0095,0.0004,0.0000,0.0000,0.0089,0.0000,200,0.0002
0.0090,0.0002,0.0000,0.0000,0.0087,0.0000,200,0.0008
0.0171,0.0007,0.0000,0.0000,0.0163,0.0001,200,0.0003
0.0171,0.0007,0.0000,0.0000,0.0162,0.0001,200,0.0003
0.0079,0.0000,0.0000,0.0000,0.0078,0.0000,200,0.0097
0.0081,0.0000,0.0000,0.0000,0.0080,0.0000,200,0.0097
0.0119,0.0000,0.0000,0.0000,0.0118,0.0001,200,0.0089
0.0115,0.0000,0.0000,0.0000,0.0115,0.0000,200,0.0096
0.0127,0.0000,0.0000,0.0000,0.0126,0.0000,200,0.0091
0.0147,0.0000,0.0000,0.0000,0.0146,0.0001,200,0.0098
0.0072,0.0000,0.0000,0.0000,0.0072,0.0000,200,0.0177
0.0077,0.0000,0.0000,0.0000,0.0076,0.0000,200,0.0174
0.0082,0.0000,0.0000,0.0000,0.0081,0.0000,200,0.0174
0.0113,0.0000,0.0000,0.0000,0.0112,0.0001,200,0.0175
0.0080,0.0000,0.0000,0.0000,0.0079,0.0000,200,0.0211
0.0106,0.0000,0.0000,0.0000,0.0105,0.0001,200,0.0209
0.0099,0.0000,0.0000,0.0000,0.0099,0.0000,200,0.0217
0.0075,0.0000,0.0000,0.0000,0.0074,0.0000,200,0.0250
0.0069,0.0000,0.0000,0.0000,0.0069,0.0000,200,0.0256
0.0082,0.0000,0.0000,0.0000,0.0081,0.0000,200,0.0251
0.0132,0.0000,0.0000,0.0000,0.0130,0.0001,200,0.0245
0.0090,0.0000,0.0000,0.0000,0.0089,0.0000,200,0.0288
0.0101,0.0000,0.0000,0.0000,0.0098,0.0003,200,0.0291
0.0074,0.0000,0.0000,0.0000,0.0073,0.0000,200,0.0325
0.0068,0.0000,0.0000,0.0000,0.0068,0.0000,200,0.0333
0.0129,0.0000,0.0000,0.0000,0.0128,0.0001,200,0.0316
0.0131,0.0000,0.0000,0.0000,0.0130,0.0000,200,0.0315
0.0121,0.0000,0.0000,0.0000,0.0121,0.0000,200,0.0326
0.0071,0.0000,0.0000,0.0002,0.0068,0.0000,200,0.0377
0.0082,0.0000,0.0000,0.0000,0.0081,0.0001,200,0.0378
0.0072,0.0000,0.0000,0.0000,0.0070,0.0001,200,0.0392
0.0104,0.0000,0.0000,0.0000,0.0103,0.0000,200,0.0401
0.0108,0.0000,0.0000,0.0000,0.0085,0.0022,200,0.0399
0.0075,0.0000,0.0000,0.0000,0.0074,0.0000,200,0.0446
0.0087,0.0000,0.0000,0.0000,0.0087,0.0001,200,0.0447
0.0088,0.0000,0.0000,0.0000,0.0088,0.0000,200,0.0448
0.0077,0.0000,0.0000,0.0000,0.0076,0.0000,200,0.0460
0.0093,0.0000,0.0000,0.0000,0.0092,0.0000,200,0.0445
0.0087,0.0000,0.0000,0.0000,0.0086,0.0000,200,0.0463
0.0079,0.0000,0.0000,0.0000,0.0078,0.0001,200,0.0506
0.0074,0.0000,0.0000,0.0000,0.0073,0.0000,200,0.0521
0.0090,0.0000,0.0000,0.0000,0.0089,0.0001,200,0.0535
0.0087,0.0000,0.0000,0.0000,0.0085,0.0001,200,0.0538
