t,container,cpu_pct,mem_mb
1785942211.16,hello.3.47njx2biupqpmt4cof6j10z9g,0.0,20.2421875
1785942211.16,hello.9.ye713ztas0gb75hetbxfwkg43,0.0,19.8046875
1785942211.16,hello.12.pwdax3vapxcywvrhwv1yng0ux,0.0,20.16015625
1785942211.16,hello.5.k3k5d9g7xpjheye78909pyz8h,0.0,20.1484375
1785942211.16,hello.4.pxfk9xdda905ftt4n2oxz9srx,0.0,20.125
1785942211.16,hello.7.gb003xsdn3yb3qb2sdoqkyl2f,0.0,19.640625
1785942211.16,hello.14.mjud7ji8bp2o91r3ga9nv122d,0.0,20.23828125
1785942211.16,hello.8.5zbqbzhvtyjwuqhcoifypyxfp,0.0,19.67578125
1785942211.16,hello.11.s9cp3jcjl4anm7fbyrebknhyr,0.0,19.86328125
1785942211.16,hello.13.rkcvkwio270wm9bsuq6ulas3o,0.0,19.66796875
1785942211.16,hello.16.xl5371kjnrrmica53byl0e5v7,0.0,20.20703125
1785942211.16,hello.6.vb77u0ndwhjvqa3atwxo7ldhw,0.0,19.58984375
1785942211.16,hello.15.oh69aw7lhxlui9lhlw814hse3,0.0,19.94921875
1785942211.16,hello.2.118y1kqaloovi9krrhl7t0vci,0.0,20.09765625
1785942211.16,hello.10.tqv5zadvgdhjf2m2666a8skty,0.0,20.3828125
1785942211.16,hello.1.vzqlhs9kt9vd3plpk3mzhd325,0.0,19.875
1785942211.16,openfaas_faas-swarm.1.0xmigbiga07u48omm2kssstcu,0.0,6.05078125
1785942211.16,openfaas_prometheus.1.pnxxj4691h9ro2mun1cecve3n,0.0,23.40625
1785942211.16,openfaas_alertmanager.1.4gbwxnjk5fo6p60c8c54qqlgl,0.0,9.75
1785942211.16,openfaas_queue-worker.1.6vi645toc6rq4dfv4ov4wscop,0.0,1.83984375
1785942211.16,openfaas_nats.1.u9lpwsk5alrsvvs8qc05xzj8r,0.0,6.328125
1785942211.16,openfaas_gateway.1.rffqg90tqtir7cnggu8tbjckl,0.0,8.2734375
1785942211.17,hello.3.47njx2biupqpmt4cof6j10z9g,0.0,20.2421875
1785942211.17,hello.9.ye713ztas0gb75hetbxfwkg43,0.0,19.8046875
1785942211.17,hello.12.pwdax3vapxcywvrhwv1yng0ux,0.0,20.16015625
1785942211.17,hello.5.k3k5d9g7xpjheye78909pyz8h,0.0,20.1484375
1785942211.17,hello.4.pxfk9xdda905ftt4n2oxz9srx,0.0,20.125
1785942211.17,hello.7.gb003xsdn3yb3qb2sdoqkyl2f,0.0,19.640625
1785942211.17,hello.14.mjud7ji8bp2o91r3ga9nv122d,0.0,20.23828125
1785942211.17,hello.8.5zbqbzhvtyjwuqhcoifypyxfp,0.0,19.67578125
1785942211.17,hello.11.s9cp3jcjl4anm7fbyrebknhyr,0.0,19.86328125
1785942211.17,hello.13.rkcvkwio270wm9bsuq6ulas3o,0.0,19.66796875
1785942211.17,hello.16.xl5371kjnrrmica53byl0e5v7,0.0,20.20703125
1785942211.17,hello.6.vb77u0ndwhjvqa3atwxo7ldhw,0.0,19.58984375
1785942211.17,hello.15.oh69aw7lhxlui9lhlw814hse3,0.0,19.94921875
1785942211.17,hello.2.118y1kqaloovi9krrhl7t0vci,0.0,20.09765625
1785942211.17,hello.10.tqv5zadvgdhjf2m2666a8skty,0.0,20.3828125
1785942211.17,hello.1.vzqlhs9kt9vd3plpk3mzhd325,0.0,19.875
1785942211.17,openfaas_faas-swarm.1.0xmigbiga07u48omm2kssstcu,0.0,6.05078125
1785942211.17,openfaas_prometheus.1.pnxxj4691h9ro2mun1cecve3n,0.0,23.40625
1785942211.17,openfaas_alertmanager.1.4gbwxnjk5fo6p60c8c54qqlgl,0.0,9.75
1785942211.17,openfaas_queue-worker.1.6vi645toc6rq4dfv4ov4wscop,0.0,1.83984375
1785942211.17,openfaas_nats.1.u9lpwsk5alrsvvs8qc05xzj8r,0.0,6.08203125
1785942211.17,openfaas_gateway.1.rffqg90tqtir7cnggu8tbjckl,0.0,8.2734375
1785942211.18,hello.3.47njx2biupqpmt4cof6j10z9g,0.0,20.2421875
1785942211.18,hello.9.ye713ztas0gb75hetbxfwkg43,0.0,19.8046875
1785942211.18,hello.12.pwdax3vapxcywvrhwv1yng0ux,0.0,20.16015625
1785942211.18,hello.5.k3k5d9g7xpjheye78909pyz8h,0.0,20.1484375
1785942211.18,hello.4.pxfk9xdda905ftt4n2oxz9srx,0.0,20.125
1785942211.18,hello.7.gb003xsdn3yb3qb2sdoqkyl2f,0.0,19.640625
1785942211.18,hello.14.mjud7ji8bp2o91r3ga9nv122d,0.0,20.23828125
1785942211.18,hello.8.5zbqbzhvtyjwuqhcoifypyxfp,0.0,19.67578125
1785942211.18,hello.11.s9cp3jcjl4anm7fbyrebknhyr,0.0,19.86328125
1785942211.18,hello.13.rkcvkwio270wm9bsuq6ulas3o,0.0,19.66796875
1785942211.18,hello.16.xl5371kjnrrmica53byl0e5v7,0.0,20.20703125
1785942211.18,hello.6.vb77u0ndwhjvqa3atwxo7ldhw,0.0,19.58984375
1785942211.18,hello.15.oh69aw7lhxlui9lhlw814hse3,0.0,19.94921875
1785942211.18,hello.2.118y1kqaloovi9krrhl7t0vci,0.0,20.09765625
1785942211.18,hello.10.tqv5zadvgdhjf2m2666a8skty,0.0,20.3828125
1785942211.18,hello.1.vzqlhs9kt9vd3plpk3mzhd325,0.0,19.875
1785942211.18,openfaas_faas-swarm.1.0xmigbiga07u48omm2kssstcu,0.0,6.05078125
1785942211.18,openfaas_prometheus.1.pnxxj4691h9ro2mun1cecve3n,6.980639517981517,23.65625
1785942211.18,openfaas_alertmanager.1.4gbwxnjk5fo6p60c8c54qqlgl,3.6582085575239094,10.0
1785942211.18,openfaas_queue-worker.1.6vi645toc6rq4dfv4ov4wscop,0.0,1.83984375
1785942211.18,openfaas_nats.1.u9lpwsk5alrsvvs8qc05xzj8r,0.0,6.08203125
1785942211.18,openfaas_gateway.1.rffqg90tqtir7cnggu8tbjckl,0.0,8.26953125
1785942211.19,hello.3.47njx2biupqpmt4cof6j10z9g,0.0,20.2421875
1785942211.19,hello.9.ye713ztas0gb75hetbxfwkg43,0.0,19.8046875
1785942211.19,hello.12.pwdax3vapxcywvrhwv1yng0ux,0.0,20.16015625
1785942211.19,hello.5.k3k5d9g7xpjheye78909pyz8h,0.0,20.1484375
1785942211.19,hello.4.pxfk9xdda905ftt4n2oxz9srx,0.0,20.125
1785942211.19,hello.7.gb003xsdn3yb3qb2sdoqkyl2f,0.0,19.640625
1785942211.19,hello.14.mjud7ji8bp2o91r3ga9nv122d,0.0,20.23828125
1785942211.19,hello.8.5zbqbzhvtyjwuqhcoifypyxfp,0.0,19.67578125
1785942211.19,hello.11.s9cp3jcjl4anm7fbyrebknhyr,0.0,19.86328125
1785942211.19,hello.13.rkcvkwio270wm9bsuq6ulas3o,0.0,19.66796875
1785942211.19,hello.16.xl5371kjnrrmica53byl0e5v7,0.0,20.20703125
1785942211.19,hello.6.vb77u0ndwhjvqa3atwxo7ldhw,0.0,19.58984375
1785942211.19,hello.15.oh69aw7lhxlui9lhlw814hse3,0.0,19.94921875
1785942211.19,hello.2.118y1kqaloovi9krrhl7t0vci,0.0,20.09765625
1785942211.19,hello.10.tqv5zadvgdhjf2m2666a8skty,0.0,20.3828125
1785942211.19,hello.1.vzqlhs9kt9vd3plpk3mzhd325,0.0,19.875
1785942211.19,openfaas_faas-swarm.1.0xmigbiga07u48omm2kssstcu,0.0,6.05078125
1785942211.19,openfaas_prometheus.1.pnxxj4691h9ro2mun1cecve3n,0.0,23.65625
1785942211.19,openfaas_alertmanager.1.4gbwxnjk5fo6p60c8c54qqlgl,0.0,10.0
1785942211.19,openfaas_queue-worker.1.6vi645toc6rq4dfv4ov4wscop,0.0,1.83984375
1785942211.19,openfaas_nats.1.u9lpwsk5alrsvvs8qc05xzj8r,0.0,6.08203125
