response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0138,0.0001,0.0000,0.0000,0.0136,0.0001,200,0.0009
0.0144,0.0002,0.0000,0.0006,0.0134,0.0001,200,0.0004
0.0140,0.0002,0.0000,0.0001,0.0137,0.0000,200,0.0007
0.0145,0.0002,0.0000,0.0001,0.0139,0.0002,200,0.0003
0.0142,0.0001,0.0000,0.0000,0.0139,0.0002,200,0.0006
0.0147,0.0004,0.0000,0.0001,0.0139,0.0002,200,0.0001
0.0141,0.0001,0.0000,0.0000,0.0137,0.0003,200,0.0008
0.0143,0.0002,0.0000,0.0001,0.0137,0.0003,200,0.0007
0.0169,0.0001,0.0000,0.0000,0.0167,0.0001,200,0.0010
0.0191,0.0004,0.0000,0.0001,0.0185,0.0001,200,0.0002
0.0191,0.0003,0.0000,0.0001,0.0186,0.0001,200,0.0002
0.0186,0.0002,0.0000,0.0001,0.0184,0.0000,200,0.0007
0.0183,0.0007,0.0000,0.0000,0.0176,0.0000,200,0.0011
0.0190,0.0009,0.0000,0.0000,0.0180,0.0000,200,0.0009
0.0192,0.0008,0.0000,0.0000,0.0182,0.0002,200,0.0011
0.0200,0.0001,0.0000,0.0000,0.0198,0.0000,200,0.0007
0.0203,0.0003,0.0000,0.0001,0.0199,0.0000,200,0.0005
0.0077,0.0000,0.0000,0.0000,0.0075,0.0001,200,0.0147
0.0217,0.0001,0.0000,0.0000,0.0215,0.0000,200,0.0009
0.0243,0.0001,0.0000,0.0000,0.0242,0.0000,200,0.0010
0.0080,0.0000,0.0000,0.0000,0.0080,0.0000,200,0.0180
0.0115,0.0000,0.0000,0.0000,0.0115,0.0000,200,0.0149
0.0120,0.0000,0.0000,0.0000,0.0119,0.0000,200,0.0148
0.0266,0.0001,0.0000,0.0000,0.0265,0.0000,200,0.0008
0.0153,0.0000,0.0000,0.0000,0.0152,0.0001,200,0.0148
0.0109,0.0000,0.0000,0.0000,0.0109,0.0000,200,0.0194
0.0103,0.0000,0.0000,0.0000,0.0102,0.0000,200,0.0207
0.0172,0.0000,0.0000,0.0000,0.0171,0.0001,200,0.0147
0.0075,0.0000,0.0000,0.0000,0.0074,0.0001,200,0.0275
0.0210,0.0000,0.0000,0.0000,0.0209,0.0001,200,0.0148
0.0161,0.0000,0.0000,0.0000,0.0161,0.0000,200,0.0198
0.0157,0.0000,0.0000,0.0000,0.0156,0.0001,200,0.0208
