response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0079,0.0003,0.0000,0.0001,0.0073,0.0001,200,0.0001
0.0078,0.0003,0.0000,0.0000,0.0074,0.0001,200,0.0002
0.0081,0.0003,0.0000,0.0004,0.0073,0.0000,200,0.0001
0.0082,0.0002,0.0000,0.0001,0.0078,0.0000,200,0.0002
0.0071,0.0000,0.0000,0.0000,0.0070,0.0001,200,0.0080
0.0072,0.0000,0.0000,0.0000,0.0071,0.0000,200,0.0080
0.0068,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.0084
0.0072,0.0000,0.0000,0.0000,0.0068,0.0004,200,0.0082
0.0068,0.0000,0.0000,0.0000,0.0067,0.0001,200,0.0152
0.0069,0.0000,0.0000,0.0000,0.0069,0.0000,200,0.0151
0.0073,0.0000,0.0000,0.0000,0.0072,0.0000,200,0.0154
0.0075,0.0000,0.0000,0.0000,0.0074,0.0001,200,0.0152
0.0070,0.0000,0.0000,0.0000,0.0069,0.0000,200,0.0220
0.0069,0.0000,0.0000,0.0000,0.0067,0.0002,200,0.0221
0.0064,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.0227
0.0069,0.0000,0.0000,0.0000,0.0068,0.0000,200,0.0227
0.0069,0.0000,0.0000,0.0000,0.0068,0.0001,200,0.0290
0.0069,0.0000,0.0000,0.0000,0.0069,0.0000,200,0.0289
0.0071,0.0000,0.0000,0.0000,0.0070,0.0000,200,0.0291
0.0068,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.0295
0.0067,0.0000,0.0000,0.0000,0.0066,0.0001,200,0.0359
0.0065,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.0362
0.0070,0.0000,0.0000,0.0000,0.0069,0.0000,200,0.0359
0.0073,0.0000,0.0000,0.0000,0.0072,0.0000,200,0.0363
0.0068,0.0000,0.0000,0.0000,0.0067,0.0001,200,0.0426
0.0071,0.0000,0.0000,0.0000,0.0070,0.0000,200,0.0427
0.0070,0.0000,0.0000,0.0000,0.0069,0.0001,200,0.0429
0.0081,0.0000,0.0000,0.0000,0.0080,0.0001,200,0.0436
0.0072,0.0000,0.0000,0.0000,0.0070,0.0001,200,0.0494
0.0067,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.0499
0.0072,0.0000,0.0000,0.0000,0.0072,0.0000,200,0.0497
0.0072,0.0000,0.0000,0.0000,0.0071,0.0001,200,0.0517
0.0068,0.0000,0.0000,0.0000,0.0067,0.0001,200,0.0565
0.0065,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.0569
0.0069,0.0000,0.0000,0.0000,0.0069,0.0000,200,0.0565
0.0066,0.0000,0.0000,0.0000,0.0065,0.0001,200,0.0589
0.0065,0.0000,0.0000,0.0000,0.0064,0.0001,200,0.0635
0.0066,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.0633
0.0071,0.0000,0.0000,0.0000,0.0070,0.0001,200,0.0635
0.0064,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.0655
0.0067,0.0000,0.0000,0.0000,0.0066,0.0001,200,0.0699
0.0068,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.0699
0.0063,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.0705
0.0063,0.0000,0.0000,0.0000,0.0062,0.0001,200,0.0719
0.0072,0.0000,0.0000,0.0000,0.0070,0.0002,200,0.0766
0.0070,0.0000,0.0000,0.0000,0.0070,0.0000,200,0.0768
0.0072,0.0000,0.0000,0.0000,0.0070,0.0000,200,0.0767
0.0069,0.0000,0.0000,0.0000,0.0066,0.0002,200,0.0782
0.0071,0.0000,0.0000,0.0000,0.0069,0.0002,200,0.0838
0.0074,0.0000,0.0000,0.0000,0.0073,0.0000,200,0.0839
0.0075,0.0000,0.0000,0.0000,0.0074,0.0001,200,0.0840
0.0064,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.0851
0.0065,0.0000,0.0000,0.0000,0.0064,0.0001,200,0.0915
0.0068,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.0912
0.0073,0.0000,0.0000,0.0000,0.0070,0.0003,200,0.0909
0.0081,0.0000,0.0000,0.0000,0.0080,0.0001,200,0.0915
0.0066,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.0980
0.0066,0.0000,0.0000,0.0000,0.0065,0.0001,200,0.0980
0.0065,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.0983
0.0072,0.0000,0.0000,0.0000,0.0071,0.0001,200,0.0996
0.0070,0.0000,0.0000,0.0000,0.0069,0.0001,200,0.1046
0.0072,0.0000,0.0000,0.0000,0.0072,0.0000,200,0.1046
0.0071,0.0000,0.0000,0.0000,0.0071,0.0000,200,0.1047
0.0064,0.0000,0.0000,0.0000,0.0063,0.0001,200,0.1068
0.0067,0.0000,0.0000,0.0000,0.0065,0.0001,200,0.1116
0.0066,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.1118
0.0071,0.0000,0.0000,0.0000,0.0070,0.0000,200,0.1119
0.0066,0.0000,0.0000,0.0000,0.0065,0.0001,200,0.1132
0.0069,0.0000,0.0000,0.0000,0.0068,0.0001,200,0.1183
0.0063,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.1189
0.0071,0.0000,0.0000,0.0000,0.0070,0.0000,200,0.1184
0.0064,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.1198
0.0067,0.0000,0.0000,0.0000,0.0065,0.0001,200,0.1252
0.0065,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.1255
0.0069,0.0000,0.0000,0.0000,0.0068,0.0001,200,0.1252
0.0075,0.0000,0.0000,0.0000,0.0074,0.0001,200,0.1262
0.0068,0.0000,0.0000,0.0000,0.0067,0.0001,200,0.1319
0.0069,0.0000,0.0000,0.0000,0.0069,0.0000,200,0.1319
0.0072,0.0000,0.0000,0.0000,0.0071,0.0000,200,0.1321
0.0068,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.1336
0.0066,0.0000,0.0000,0.0000,0.0065,0.0001,200,0.1387
0.0065,0.0000,0.0000,0.0000,0.0064,0.0001,200,0.1388
0.0063,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.1392
0.0063,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.1404
0.0067,0.0000,0.0000,0.0000,0.0065,0.0001,200,0.1453
0.0067,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.1453
0.0068,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.1456
0.0064,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.1467
0.0067,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.1520
0.0068,0.0000,0.0000,0.0000,0.0067,0.0001,200,0.1520
0.0066,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.1524
0.0065,0.0000,0.0000,0.0000,0.0064,0.0001,200,0.1531
0.0070,0.0000,0.0000,0.0000,0.0068,0.0001,200,0.1587
0.0069,0.0000,0.0000,0.0000,0.0068,0.0000,200,0.1590
0.0073,0.0000,0.0000,0.0000,0.0072,0.0000,200,0.1587
0.0066,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.1596
0.0071,0.0000,0.0000,0.0001,0.0070,0.0001,200,0.1657
0.0068,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.1661
0.0072,0.0000,0.0000,0.0000,0.0071,0.0001,200,0.1662
0.0066,0.0000,0.0000,0.0000,0.0065,0.0001,200,0.1729
0.0068,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.1734
0.0181,0.0000,0.0000,0.0000,0.0180,0.0001,200,0.1659
0.0114,0.0000,0.0000,0.0000,0.0113,0.0000,200,0.1728
0.0065,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.1795
0.0062,0.0000,0.0000,0.0000,0.0062,0.0000,200,0.1802
0.0066,0.0000,0.0000,0.0000,0.0065,0.0001,200,0.1840
0.0065,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.1860
0.0064,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.1864
0.0118,0.0000,0.0000,0.0000,0.0118,0.0001,200,0.1842
0.0064,0.0000,0.0000,0.0000,0.0063,0.0001,200,0.1925
0.0062,0.0000,0.0000,0.0000,0.0061,0.0000,200,0.1927
0.0110,0.0000,0.0000,0.0000,0.0109,0.0001,200,0.1906
0.0063,0.0000,0.0000,0.0000,0.0063,0.0001,200,0.1989
0.0065,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.1988
0.0112,0.0000,0.0000,0.0000,0.0110,0.0001,200,0.1961
0.0064,0.0000,0.0000,0.0000,0.0064,0.0001,200,0.2053
0.0064,0.0000,0.0000,0.0001,0.0063,0.0000,200,0.2053
0.0109,0.0000,0.0000,0.0000,0.0108,0.0000,200,0.2016
0.0111,0.0000,0.0000,0.0000,0.0110,0.0001,200,0.2072
0.0066,0.0000,0.0000,0.0000,0.0065,0.0001,200,0.2118
0.0068,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.2117
0.0111,0.0000,0.0000,0.0000,0.0110,0.0000,200,0.2125
0.0063,0.0000,0.0000,0.0000,0.0062,0.0001,200,0.2183
0.0067,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.2185
0.0109,0.0000,0.0000,0.0000,0.0108,0.0001,200,0.2183
0.0067,0.0000,0.0000,0.0000,0.0065,0.0001,200,0.2247
0.0063,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.2252
0.0114,0.0000,0.0000,0.0000,0.0113,0.0001,200,0.2236
0.0064,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.2315
0.0067,0.0000,0.0000,0.0000,0.0066,0.0000,200,0.2314
0.0112,0.0000,0.0000,0.0000,0.0111,0.0001,200,0.2293
0.0065,0.0000,0.0000,0.0000,0.0064,0.0001,200,0.2379
0.0064,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.2381
0.0109,0.0000,0.0000,0.0000,0.0108,0.0001,200,0.2350
0.0067,0.0000,0.0000,0.0000,0.0066,0.0001,200,0.2444
0.0067,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.2444
0.0110,0.0000,0.0000,0.0000,0.0109,0.0000,200,0.2405
0.0112,0.0000,0.0000,0.0000,0.0111,0.0001,200,0.2459
0.0064,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.2511
0.0066,0.0000,0.0000,0.0000,0.0065,0.0001,200,0.2511
0.0070,0.0000,0.0000,0.0000,0.0070,0.0000,200,0.2515
0.0068,0.0000,0.0000,0.0000,0.0066,0.0001,200,0.2571
0.0064,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.2575
0.0063,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.2577
0.0068,0.0000,0.0000,0.0000,0.0067,0.0001,200,0.2586
0.0069,0.0000,0.0000,0.0000,0.0068,0.0001,200,0.2639
0.0069,0.0000,0.0000,0.0000,0.0068,0.0000,200,0.2640
0.0073,0.0000,0.0000,0.0000,0.0072,0.0001,200,0.2641
0.0065,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.2654
0.0068,0.0000,0.0000,0.0000,0.0067,0.0001,200,0.2709
0.0068,0.0000,0.0000,0.0000,0.0067,0.0001,200,0.2709
0.0066,0.0000,0.0000,0.0000,0.0065,0.0000,200,0.2714
0.0064,0.0000,0.0000,0.0000,0.0063,0.0000,200,0.2719
0.0073,0.0000,0.0000,0.0000,0.0071,0.0001,200,0.2777
0.0070,0.0000,0.0000,0.0000,0.0069,0.0000,200,0.2779
0.0074,0.0000,0.0000,0.0001,0.0072,0.0000,200,0.2777
