response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0082,0.0003,0.0000,0.0001,0.0077,0.0001,200,0.0003
0.0083,0.0004,0.0000,0.0001,0.0076,0.0001,200,0.0002
0.0082,0.0003,0.0000,0.0001,0.0076,0.0001,200,0.0004
0.0082,0.0002,0.0000,0.0001,0.0077,0.0002,200,0.0003
0.0067,0.0000,0.0000,0.0000,0.0067,0.0001,200,0.0086
0.0068,0.0000,0.0000,0.0000,0.0067,0.0001,200,0.0085
0.0079,0.0000,0.0000,0.0000,0.0078,0.0001,200,0.0085
0.0092,0.0000,0.0000,0.0000,0.0091,0.0001,200,0.0085
0.0071,0.0000,0.0000,0.0000,0.0069,0.0001,200,0.0153
0.0073,0.0000,0.0000,0.0000,0.0072,0.0001,200,0.0153
0.0079,0.0000,0.0000,0.0000,0.0077,0.0001,200,0.0164
0.0074,0.0000,0.0000,0.0000,0.0073,0.0001,200,0.0177
0.0078,0.0000,0.0000,0.0000,0.0077,0.0001,200,0.0224
0.0077,0.0000,0.0000,0.0000,0.0075,0.0001,200,0.0226
0.0075,0.0000,0.0000,0.0000,0.0074,0.0001,200,0.0243
0.0077,0.0000,0.0000,0.0000,0.0076,0.0001,200,0.0251
0.0077,0.0000,0.0000,0.0000,0.0075,0.0001,200,0.0302
0.0081,0.0000,0.0000,0.0000,0.0080,0.0001,200,0.0302
0.0075,0.0000,0.0000,0.0001,0.0073,0.0001,200,0.0318
0.0070,0.0000,0.0000,0.0000,0.0069,0.0001,200,0.0329
0.0078,0.0000,0.0000,0.0000,0.0077,0.0001,200,0.0379
0.0074,0.0000,0.0000,0.0000,0.0073,0.0001,200,0.0399
0.0090,0.0000,0.0000,0.0000,0.0088,0.0001,200,0.0383
0.0080,0.0000,0.0000,0.0000,0.0079,0.0001,200,0.0393
0.0077,0.0000,0.0000,0.0000,0.0075,0.0001,200,0.0457
0.0073,0.0000,0.0000,0.0000,0.0071,0.0002,200,0.0473
0.0078,0.0000,0.0000,0.0000,0.0077,0.0001,200,0.0473
0.0087,0.0000,0.0000,0.0000,0.0086,0.0000,200,0.0473
0.0072,0.0000,0.0000,0.0000,0.0071,0.0001,200,0.0535
0.0069,0.0000,0.0000,0.0000,0.0068,0.0001,200,0.0546
0.0068,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.0551
0.0074,0.0000,0.0000,0.0000,0.0073,0.0001,200,0.0560
0.0071,0.0000,0.0000,0.0000,0.0070,0.0001,200,0.0606
0.0075,0.0000,0.0000,0.0000,0.0073,0.0001,200,0.0615
0.0076,0.0000,0.0000,0.0000,0.0075,0.0001,200,0.0619
0.0069,0.0000,0.0000,0.0001,0.0067,0.0001,200,0.0634
0.0071,0.0000,0.0000,0.0000,0.0069,0.0001,200,0.0678
0.0070,0.0000,0.0000,0.0000,0.0069,0.0001,200,0.0689
0.0067,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.0695
0.0066,0.0000,0.0000,0.0000,0.0065,0.0001,200,0.0703
0.0068,0.0000,0.0000,0.0000,0.0066,0.0001,200,0.0748
0.0069,0.0000,0.0000,0.0000,0.0068,0.0001,200,0.0760
0.0068,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.0762
0.0065,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.0769
0.0071,0.0000,0.0000,0.0000,0.0070,0.0001,200,0.0816
0.0069,0.0000,0.0000,0.0000,0.0068,0.0000,200,0.0829
0.0068,0.0000,0.0000,0.0000,0.0066,0.0001,200,0.0830
0.0064,0.0000,0.0000,0.0000,0.0064,0.0000,200,0.0834
0.0069,0.0000,0.0000,0.0001,0.0067,0.0001,200,0.0886
0.0067,0.0000,0.0000,0.0000,0.0066,0.0001,200,0.0898
0.0068,0.0000,0.0000,0.0000,0.0066,0.0001,200,0.0898
0.0070,0.0000,0.0000,0.0000,0.0069,0.0000,200,0.0898
