response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0342,0.0082,0.0000,0.0002,0.0255,0.0002,200,0.0017
0.0382,0.0093,0.0000,0.0007,0.0281,0.0000,200,0.0018
0.0369,0.0062,0.0000,0.0016,0.0289,0.0001,200,0.0035
0.0424,0.0084,0.0000,0.0002,0.0337,0.0000,200,0.0015
0.0461,0.0059,0.0000,0.0015,0.0387,0.0000,200,0.0038
0.0520,0.0094,0.0000,0.0017,0.0407,0.0001,200,0.0003
0.0496,0.0044,0.0000,0.0025,0.0427,0.0000,200,0.0081
0.0586,0.0089,0.0000,0.0036,0.0450,0.0002,200,0.0002
0.0584,0.0079,0.0000,0.0016,0.0489,0.0000,200,0.0021
0.0608,0.0091,0.0000,0.0006,0.0509,0.0002,200,0.0020
0.0627,0.0079,0.0000,0.0002,0.0546,0.0000,200,0.0040
0.0596,0.0047,0.0000,0.0004,0.0545,0.0000,200,0.0076
0.0706,0.0101,0.0000,0.0005,0.0592,0.0008,200,0.0022
0.0678,0.0034,0.0000,0.0008,0.0632,0.0000,200,0.0086
0.0774,0.0038,0.0000,0.0009,0.0718,0.0008,200,0.0086
0.0507,0.0000,0.0000,0.0000,0.0504,0.0000,200,0.0400
0.0865,0.0075,0.0000,0.0007,0.0783,0.0000,200,0.0048
0.0901,0.0085,0.0000,0.0025,0.0790,0.0000,200,0.0014
0.0678,0.0000,0.0000,0.0000,0.0670,0.0000,200,0.0358
0.1006,0.0067,0.0000,0.0003,0.0935,0.0001,200,0.0055
0.0618,0.0000,0.0000,0.0000,0.0615,0.0003,200,0.0499
0.1035,0.0040,0.0000,0.0012,0.0983,0.0000,200,0.0084
0.0876,0.0000,0.0000,0.0000,0.0875,0.0000,200,0.0403
0.0842,0.0000,0.0000,0.0000,0.0841,0.0000,200,0.0439
0.0767,0.0000,0.0000,0.0000,0.0761,0.0005,200,0.0605
0.0798,0.0000,0.0000,0.0000,0.0797,0.0001,200,0.0589
0.0739,0.0000,0.0000,0.0000,0.0738,0.0000,200,0.0672
0.1319,0.0029,0.0000,0.0008,0.1281,0.0000,200,0.0095
0.0975,0.0000,0.0000,0.0000,0.0975,0.0000,200,0.0523
0.0920,0.0000,0.0000,0.0000,0.0920,0.0000,200,0.0728
0.1039,0.0000,0.0000,0.0007,0.1031,0.0000,200,0.0628
0.0904,0.0000,0.0000,0.0000,0.0903,0.0000,200,0.0764
0.1140,0.0000,0.0000,0.0000,0.1140,0.0000,200,0.0578
0.1059,0.0000,0.0000,0.0000,0.1056,0.0002,200,0.0667
0.0814,0.0000,0.0000,0.0000,0.0813,0.0000,200,0.1061
0.0977,0.0000,0.0000,0.0002,0.0962,0.0013,200,0.0907
