t,container,cpu_pct,mem_mb
1785877269.24,hello.1.fnxydoo7dcgxwae2u6anavyi0,0.0,32.9609375
1785877269.24,openfaas_faas-swarm.1.7dggnmjxx3i0n40eg3rh2cv4i,0.0,8.1171875
1785877269.24,openfaas_queue-worker.1.ce0t0v4t8mfnlentu3xz8cchs,0.0,3.63671875
1785877269.24,openfaas_nats.1.xqbkaeyj2ons95g3vi2vuol7c,0.0,14.36328125
1785877269.24,openfaas_gateway.1.yvayfo2mz54rhafs7mjtphb16,0.0,7.984375
1785877269.24,openfaas_alertmanager.1.zedbsqrush8ma8kjgjjyfzz1v,0.0,12.796875
1785877269.24,openfaas_prometheus.1.on6b7q0gjh6fluvvlq50j3zdt,0.0,33.9765625
1785877269.26,hello.1.fnxydoo7dcgxwae2u6anavyi0,0.0,32.9609375
1785877269.26,openfaas_faas-swarm.1.7dggnmjxx3i0n40eg3rh2cv4i,0.0,8.1171875
1785877269.26,openfaas_queue-worker.1.ce0t0v4t8mfnlentu3xz8cchs,0.0,3.63671875
1785877269.26,openfaas_nats.1.xqbkaeyj2ons95g3vi2vuol7c,0.0,14.36328125
1785877269.26,openfaas_gateway.1.yvayfo2mz54rhafs7mjtphb16,0.0,7.984375
1785877269.26,openfaas_alertmanager.1.zedbsqrush8ma8kjgjjyfzz1v,0.0,12.796875
1785877269.26,openfaas_prometheus.1.on6b7q0gjh6fluvvlq50j3zdt,0.0,33.9765625
1785877269.27,hello.1.fnxydoo7dcgxwae2u6anavyi0,0.0,32.9609375
1785877269.27,openfaas_faas-swarm.1.7dggnmjxx3i0n40eg3rh2cv4i,0.0,8.1171875
1785877269.27,openfaas_queue-worker.1.ce0t0v4t8mfnlentu3xz8cchs,0.0,3.63671875
1785877269.27,openfaas_nats.1.xqbkaeyj2ons95g3vi2vuol7c,0.0,14.36328125
1785877269.27,openfaas_gateway.1.yvayfo2mz54rhafs7mjtphb16,0.0,7.984375
1785877269.27,openfaas_alertmanager.1.zedbsqrush8ma8kjgjjyfzz1v,0.0,12.796875
1785877269.27,openfaas_prometheus.1.on6b7q0gjh6fluvvlq50j3zdt,0.0,33.9765625
1785877269.28,hello.1.fnxydoo7dcgxwae2u6anavyi0,0.0,32.9609375
1785877269.28,openfaas_faas-swarm.1.7dggnmjxx3i0n40eg3rh2cv4i,0.0,8.1171875
1785877269.28,openfaas_queue-worker.1.ce0t0v4t8mfnlentu3xz8cchs,0.0,3.63671875
1785877269.28,openfaas_nats.1.xqbkaeyj2ons95g3vi2vuol7c,0.0,14.36328125
1785877269.28,openfaas_gateway.1.yvayfo2mz54rhafs7mjtphb16,0.0,7.984375
1785877269.28,openfaas_alertmanager.1.zedbsqrush8ma8kjgjjyfzz1v,0.0,12.796875
1785877269.28,openfaas_prometheus.1.on6b7q0gjh6fluvvlq50j3zdt,0.0,33.9765625
1785877269.3,hello.1.fnxydoo7dcgxwae2u6anavyi0,0.0,32.9609375
1785877269.3,openfaas_faas-swarm.1.7dggnmjxx3i0n40eg3rh2cv4i,0.0,8.1171875
1785877269.3,openfaas_queue-worker.1.ce0t0v4t8mfnlentu3xz8cchs,0.0,3.63671875
1785877269.3,openfaas_nats.1.xqbkaeyj2ons95g3vi2vuol7c,0.0,14.36328125
1785877269.3,openfaas_gateway.1.yvayfo2mz54rhafs7mjtphb16,0.0,7.984375
1785877269.3,openfaas_alertmanager.1.zedbsqrush8ma8kjgjjyfzz1v,0.0,12.796875
1785877269.3,openfaas_prometheus.1.on6b7q0gjh6fluvvlq50j3zdt,0.0,33.9765625
1785877269.31,hello.1.fnxydoo7dcgxwae2u6anavyi0,0.0,32.9609375
1785877269.31,openfaas_faas-swarm.1.7dggnmjxx3i0n40eg3rh2cv4i,0.0,8.1171875
1785877269.31,openfaas_queue-worker.1.ce0t0v4t8mfnlentu3xz8cchs,0.0,3.63671875
1785877269.31,openfaas_nats.1.xqbkaeyj2ons95g3vi2vuol7c,0.0,14.36328125
1785877269.31,openfaas_gateway.1.yvayfo2mz54rhafs7mjtphb16,0.0,7.984375
1785877269.31,openfaas_alertmanager.1.zedbsqrush8ma8kjgjjyfzz1v,0.0,12.796875
1785877269.31,openfaas_prometheus.1.on6b7q0gjh6fluvvlq50j3zdt,0.0,33.9765625
1785877269.32,hello.1.fnxydoo7dcgxwae2u6anavyi0,0.42319210755718134,32.9609375
1785877269.32,openfaas_faas-swarm.1.7dggnmjxx3i0n40eg3rh2cv4i,0.0,8.1171875
1785877269.32,openfaas_queue-worker.1.ce0t0v4t8mfnlentu3xz8cchs,0.0,3.63671875
1785877269.32,openfaas_nats.1.xqbkaeyj2ons95g3vi2vuol7c,0.0,14.36328125
1785877269.32,openfaas_gateway.1.yvayfo2mz54rhafs7mjtphb16,0.0,7.984375
1785877269.32,openfaas_alertmanager.1.zedbsqrush8ma8kjgjjyfzz1v,0.0,12.796875
1785877269.32,openfaas_prometheus.1.on6b7q0gjh6fluvvlq50j3zdt,0.0,33.9765625
1785877269.34,hello.1.fnxydoo7dcgxwae2u6anavyi0,0.0,32.9609375
1785877269.34,openfaas_faas-swarm.1.7dggnmjxx3i0n40eg3rh2cv4i,0.0,8.1171875
1785877269.34,openfaas_queue-worker.1.ce0t0v4t8mfnlentu3xz8cchs,0.0,3.63671875
1785877269.34,openfaas_nats.1.xqbkaeyj2ons95g3vi2vuol7c,0.0,14.36328125
1785877269.34,openfaas_gateway.1.yvayfo2mz54rhafs7mjtphb16,0.0,7.984375
1785877269.34,openfaas_alertmanager.1.zedbsqrush8ma8kjgjjyfzz1v,0.0,12.796875
1785877269.34,openfaas_prometheus.1.on6b7q0gjh6fluvvlq50j3zdt,0.9254031297241826,33.9765625
1785877269.35,hello.1.fnxydoo7dcgxwae2u6anavyi0,0.0,32.9609375
1785877269.35,openfaas_faas-swarm.1.7dggnmjxx3i0n40eg3rh2cv4i,0.0,8.1171875
1785877269.35,openfaas_queue-worker.1.ce0t0v4t8mfnlentu3xz8cchs,0.0,3.63671875
1785877269.35,openfaas_nats.1.xqbkaeyj2ons95g3vi2vuol7c,0.0,14.36328125
1785877269.35,openfaas_gateway.1.yvayfo2mz54rhafs7mjtphb16,0.0,7.984375
1785877269.35,openfaas_alertmanager.1.zedbsqrush8ma8kjgjjyfzz1v,0.0,12.796875
1785877269.35,openfaas_prometheus.1.on6b7q0gjh6fluvvlq50j3zdt,0.0,33.9765625
1785877269.36,hello.1.fnxydoo7dcgxwae2u6anavyi0,0.0,32.9609375
1785877269.36,openfaas_faas-swarm.1.7dggnmjxx3i0n40eg3rh2cv4i,0.0,8.1171875
1785877269.36,openfaas_queue-worker.1.ce0t0v4t8mfnlentu3xz8cchs,0.0,3.63671875
1785877269.36,openfaas_nats.1.xqbkaeyj2ons95g3vi2vuol7c,0.0,14.36328125
1785877269.36,openfaas_gateway.1.yvayfo2mz54rhafs7mjtphb16,0.0,7.984375
1785877269.36,openfaas_alertmanager.1.zedbsqrush8ma8kjgjjyfzz1v,0.0,12.796875
1785877269.36,openfaas_prometheus.1.on6b7q0gjh6fluvvlq50j3zdt,0.0,33.9765625
1785877269.37,hello.1.fnxydoo7dcgxwae2u6anavyi0,0.0,32.9609375
1785877269.37,openfaas_faas-swarm.1.7dggnmjxx3i0n40eg3rh2cv4i,0.0,8.1171875
1785877269.37,openfaas_queue-worker.1.ce0t0v4t8mfnlentu3xz8cchs,0.0,3.63671875
1785877269.37,openfaas_nats.1.xqbkaeyj2ons95g3vi2vuol7c,0.0,14.36328125
1785877269.37,openfaas_gateway.1.yvayfo2mz54rhafs7mjtphb16,0.0,7.984375
1785877269.37,openfaas_alertmanager.1.zedbsqrush8ma8kjgjjyfzz1v,0.0,12.796875
1785877269.37,openfaas_prometheus.1.on6b7q0gjh6fluvvlq50j3zdt,0.0,33.9765625
1785877269.39,hello.1.fnxydoo7dcgxwae2u6anavyi0,0.0,32.9609375
1785877269.39,openfaas_faas-swarm.1.7dggnmjxx3i0n40eg3rh2cv4i,0.0,8.1171875
1785877269.39,openfaas_queue-worker.1.ce0t0v4t8mfnlentu3xz8cchs,0.0,3.63671875
1785877269.39,openfaas_nats.1.xqbkaeyj2ons95g3vi2vuol7c,0.0,14.36328125
1785877269.39,openfaas_gateway.1.yvayfo2mz54rhafs7mjtphb16,0.0,7.984375
1785877269.39,openfaas_alertmanager.1.zedbsqrush8ma8kjgjjyfzz1v,0.0,12.796875
1785877269.39,openfaas_prometheus.1.on6b7q0gjh6fluvvlq50j3zdt,0.0,33.9765625
1785877269.4,hello.1.fnxydoo7dcgxwae2u6anavyi0,0.0,32.9609375
1785877269.4,openfaas_faas-swarm.1.7dggnmjxx3i0n40eg3rh2cv4i,0.0,8.1171875
1785877269.4,openfaas_queue-worker.1.ce0t0v4t8mfnlentu3xz8cchs,0.0,3.63671875
1785877269.4,openfaas_nats.1.xqbkaeyj2ons95g3vi2vuol7c,0.0,14.36328125
