response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0257,0.0004,0.0000,0.0001,0.0247,0.0004,200,0.0003
0.0399,0.0031,0.0000,0.0035,0.0332,0.0001,200,0.0037
0.0412,0.0029,0.0000,0.0006,0.0373,0.0003,200,0.0039
0.0479,0.0085,0.0000,0.0002,0.0388,0.0004,200,0.0097
0.0539,0.0008,0.0000,0.0013,0.0516,0.0000,200,0.0051
0.0678,0.0034,0.0000,0.0039,0.0604,0.0000,200,0.0035
0.0718,0.0096,0.0000,0.0005,0.0617,0.0000,200,0.0088
0.0785,0.0036,0.0000,0.0056,0.0693,0.0000,200,0.0033
0.0830,0.0069,0.0000,0.0004,0.0757,0.0000,200,0.0114
0.0957,0.0055,0.0000,0.0072,0.0827,0.0003,200,0.0015
0.0453,0.0000,0.0000,0.0000,0.0452,0.0000,200,0.0589
0.0448,0.0000,0.0000,0.0000,0.0444,0.0000,200,0.0713
0.0578,0.0000,0.0000,0.0000,0.0577,0.0001,200,0.0818
0.0826,0.0000,0.0000,0.0000,0.0825,0.0000,200,0.0576
0.0441,0.0000,0.0000,0.0000,0.0440,0.0001,200,0.0972
0.0472,0.0000,0.0000,0.0000,0.0471,0.0000,200,0.0944
0.0466,0.0000,0.0000,0.0000,0.0466,0.0000,200,0.1042
0.0706,0.0000,0.0000,0.0000,0.0705,0.0000,200,0.0806
0.0224,0.0000,0.0000,0.0000,0.0224,0.0000,200,0.1396
0.0552,0.0000,0.0000,0.0000,0.0552,0.0000,200,0.1161
0.0353,0.0000,0.0000,0.0000,0.0349,0.0004,200,0.1413
0.0365,0.0000,0.0000,0.0004,0.0360,0.0001,200,0.1416
0.0408,0.0000,0.0000,0.0000,0.0407,0.0001,200,0.1511
0.0565,0.0000,0.0000,0.0005,0.0559,0.0000,200,0.1401
0.0376,0.0000,0.0000,0.0000,0.0375,0.0001,200,0.1714
0.0631,0.0000,0.0000,0.0000,0.0630,0.0001,200,0.1509
0.0534,0.0000,0.0000,0.0000,0.0533,0.0001,200,0.1621
0.0437,0.0000,0.0000,0.0000,0.0437,0.0000,200,0.1781
0.0544,0.0000,0.0000,0.0000,0.0543,0.0000,200,0.1766
0.0527,0.0000,0.0000,0.0000,0.0524,0.0000,200,0.1919
0.0366,0.0000,0.0000,0.0000,0.0365,0.0000,200,0.2089
0.0369,0.0000,0.0000,0.0000,0.0369,0.0000,200,0.2140
0.0548,0.0000,0.0000,0.0000,0.0547,0.0001,200,0.1966
0.0432,0.0000,0.0000,0.0000,0.0431,0.0001,200,0.2218
0.0613,0.0000,0.0000,0.0000,0.0612,0.0000,200,0.2155
0.0540,0.0000,0.0000,0.0000,0.0540,0.0000,200,0.2309
0.0413,0.0000,0.0000,0.0000,0.0413,0.0000,200,0.2447
0.0432,0.0000,0.0000,0.0000,0.0431,0.0001,200,0.2455
0.0509,0.0000,0.0000,0.0000,0.0508,0.0000,200,0.2514
0.0543,0.0000,0.0000,0.0000,0.0540,0.0001,200,0.2509
0.0457,0.0000,0.0000,0.0000,0.0447,0.0010,200,0.2767
0.0595,0.0000,0.0000,0.0000,0.0595,0.0000,200,0.2651
0.0426,0.0000,0.0000,0.0000,0.0425,0.0000,200,0.2860
0.0557,0.0000,0.0000,0.0000,0.0557,0.0001,200,0.2850
0.0430,0.0000,0.0000,0.0009,0.0420,0.0000,200,0.3052
0.0602,0.0000,0.0000,0.0000,0.0587,0.0015,200,0.2887
0.0358,0.0000,0.0000,0.0000,0.0357,0.0000,200,0.3225
0.0573,0.0000,0.0000,0.0000,0.0572,0.0000,200,0.3023
0.0436,0.0000,0.0000,0.0000,0.0435,0.0001,200,0.3246
0.0543,0.0000,0.0000,0.0000,0.0542,0.0000,200,0.3285
0.0362,0.0000,0.0000,0.0000,0.0361,0.0001,200,0.3490
0.0466,0.0000,0.0000,0.0003,0.0462,0.0000,200,0.3407
0.0433,0.0000,0.0000,0.0000,0.0431,0.0002,200,0.3482
0.0390,0.0000,0.0000,0.0000,0.0389,0.0000,200,0.3582
0.0438,0.0000,0.0000,0.0000,0.0435,0.0001,200,0.3596
0.0434,0.0000,0.0000,0.0000,0.0426,0.0007,200,0.3682
0.0320,0.0000,0.0000,0.0000,0.0320,0.0000,200,0.3828
0.0427,0.0000,0.0000,0.0000,0.0426,0.0001,200,0.3873
0.0461,0.0000,0.0000,0.0000,0.0460,0.0000,200,0.3852
0.0514,0.0000,0.0000,0.0000,0.0511,0.0002,200,0.3915
0.0549,0.0000,0.0000,0.0000,0.0548,0.0000,200,0.3973
0.0499,0.0000,0.0000,0.0000,0.0498,0.0000,200,0.4034
0.0461,0.0000,0.0000,0.0001,0.0460,0.0000,200,0.4149
0.0507,0.0000,0.0000,0.0000,0.0505,0.0002,200,0.4116
0.0395,0.0000,0.0000,0.0000,0.0394,0.0000,200,0.4300
0.0511,0.0000,0.0000,0.0000,0.0508,0.0002,200,0.4312
0.0403,0.0000,0.0000,0.0000,0.0402,0.0000,200,0.4429
0.0435,0.0000,0.0000,0.0008,0.0424,0.0002,200,0.4522
0.0432,0.0000,0.0000,0.0000,0.0431,0.0000,200,0.4533
0.0432,0.0000,0.0000,0.0000,0.0431,0.0000,200,0.4609
0.0480,0.0000,0.0000,0.0002,0.0478,0.0000,200,0.4623
0.0480,0.0000,0.0000,0.0000,0.0476,0.0004,200,0.4695
0.0486,0.0000,0.0000,0.0000,0.0486,0.0000,200,0.4823
0.0523,0.0000,0.0000,0.0000,0.0521,0.0002,200,0.4832
0.0459,0.0000,0.0000,0.0000,0.0458,0.0000,200,0.4965
0.0443,0.0000,0.0000,0.0000,0.0442,0.0000,200,0.5041
0.0602,0.0000,0.0000,0.0002,0.0599,0.0000,200,0.4956
0.0456,0.0000,0.0000,0.0000,0.0456,0.0000,200,0.5103
0.0567,0.0000,0.0000,0.0000,0.0566,0.0000,200,0.5175
0.0535,0.0000,0.0000,0.0000,0.0533,0.0002,200,0.5309
0.0507,0.0000,0.0000,0.0000,0.0506,0.0000,200,0.5355
0.0566,0.0000,0.0000,0.0000,0.0560,0.0004,200,0.5424
0.0499,0.0000,0.0000,0.0000,0.0498,0.0000,200,0.5559
0.0513,0.0000,0.0000,0.0000,0.0511,0.0002,200,0.5558
0.0597,0.0000,0.0000,0.0000,0.0596,0.0000,200,0.5484
0.0465,0.0000,0.0000,0.0000,0.0464,0.0000,200,0.5742
0.0436,0.0000,0.0000,0.0001,0.0434,0.0001,200,0.5862
0.0512,0.0000,0.0000,0.0000,0.0511,0.0000,200,0.5844
0.0371,0.0000,0.0000,0.0000,0.0370,0.0000,200,0.5990
0.0352,0.0000,0.0000,0.0000,0.0351,0.0000,200,0.6071
0.0420,0.0000,0.0000,0.0000,0.0418,0.0001,200,0.6058
0.0466,0.0000,0.0000,0.0000,0.0466,0.0000,200,0.6082
0.0389,0.0000,0.0000,0.0000,0.0388,0.0001,200,0.6298
0.0566,0.0000,0.0000,0.0000,0.0564,0.0000,200,0.6206
0.0415,0.0000,0.0000,0.0000,0.0414,0.0000,200,0.6360
0.0476,0.0000,0.0000,0.0000,0.0476,0.0000,200,0.6423
0.0622,0.0000,0.0000,0.0000,0.0621,0.0000,200,0.6356
0.0575,0.0000,0.0000,0.0005,0.0565,0.0001,200,0.6478
0.0508,0.0000,0.0000,0.0000,0.0507,0.0000,200,0.6548
0.0406,0.0000,0.0000,0.0000,0.0406,0.0000,200,0.6772
0.0536,0.0000,0.0000,0.0000,0.0536,0.0001,200,0.6688
0.0463,0.0000,0.0000,0.0000,0.0463,0.0000,200,0.6775
0.0499,0.0000,0.0000,0.0000,0.0494,0.0004,200,0.6899
0.0466,0.0000,0.0000,0.0000,0.0463,0.0000,200,0.6978
0.0442,0.0000,0.0000,0.0000,0.0441,0.0000,200,0.7056
0.0519,0.0000,0.0000,0.0000,0.0518,0.0000,200,0.7053
0.0497,0.0000,0.0000,0.0001,0.0495,0.0001,200,0.7239
0.0562,0.0000,0.0000,0.0000,0.0555,0.0007,200,0.7178
0.0435,0.0000,0.0000,0.0000,0.0429,0.0003,200,0.7398
0.0618,0.0000,0.0000,0.0000,0.0617,0.0000,200,0.7224
0.0560,0.0000,0.0000,0.0000,0.0559,0.0001,200,0.7444
0.0503,0.0000,0.0000,0.0000,0.0501,0.0002,200,0.7572
0.0596,0.0000,0.0000,0.0000,0.0593,0.0003,200,0.7498
0.0517,0.0000,0.0000,0.0000,0.0517,0.0000,200,0.7741
