response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0105,0.0002,0.0000,0.0001,0.0100,0.0002,204,0.0002
0.0113,0.0002,0.0000,0.0001,0.0109,0.0000,204,0.0001
0.0113,0.0002,0.0000,0.0001,0.0109,0.0000,204,0.0002
0.0461,0.0003,0.0000,0.0001,0.0456,0.0001,204,0.0001
0.0702,0.0000,0.0000,0.0000,0.0700,0.0001,204,0.0107
0.0836,0.0000,0.0000,0.0000,0.0836,0.0000,204,0.0115
0.0837,0.0000,0.0000,0.0000,0.0836,0.0000,204,0.0115
0.0770,0.0000,0.0000,0.0000,0.0769,0.0001,204,0.0462
0.0621,0.0000,0.0000,0.0000,0.0620,0.0001,204,0.0952
0.0764,0.0000,0.0000,0.0000,0.0763,0.0000,204,0.0809
0.0676,0.0000,0.0000,0.0000,0.0675,0.0001,204,0.0951
0.0730,0.0000,0.0000,0.0000,0.0728,0.0001,204,0.1232
0.0806,0.0000,0.0000,0.0000,0.0805,0.0000,204,0.1573
0.1031,0.0000,0.0000,0.0000,0.1027,0.0003,204,0.1573
0.1052,0.0000,0.0000,0.0000,0.1050,0.0001,204,0.1628
0.0853,0.0000,0.0000,0.0000,0.0852,0.0001,204,0.1962
0.0844,0.0000,0.0000,0.0000,0.0842,0.0001,204,0.2379
0.0850,0.0000,0.0000,0.0000,0.0848,0.0001,204,0.2603
0.0891,0.0000,0.0000,0.0000,0.0890,0.0001,204,0.2679
0.0856,0.0000,0.0000,0.0000,0.0855,0.0001,204,0.2815
0.0808,0.0000,0.0000,0.0000,0.0807,0.0000,204,0.3222
0.0837,0.0000,0.0000,0.0000,0.0835,0.0001,204,0.3453
0.0783,0.0000,0.0000,0.0000,0.0782,0.0001,204,0.3571
0.0701,0.0000,0.0000,0.0000,0.0700,0.0001,204,0.3671
0.0780,0.0000,0.0000,0.0000,0.0779,0.0001,204,0.4030
0.0938,0.0000,0.0000,0.0000,0.0936,0.0002,204,0.4290
0.0897,0.0000,0.0000,0.0000,0.0896,0.0001,204,0.4354
0.0883,0.0000,0.0000,0.0000,0.0882,0.0000,204,0.4372
0.0882,0.0000,0.0000,0.0000,0.0881,0.0001,204,0.4811
0.0832,0.0000,0.0000,0.0000,0.0831,0.0001,204,0.5228
0.0821,0.0000,0.0000,0.0000,0.0820,0.0000,204,0.5250
0.0956,0.0000,0.0000,0.0000,0.0950,0.0001,204,0.5255
0.0912,0.0000,0.0000,0.0000,0.0911,0.0001,204,0.5693
0.0857,0.0000,0.0000,0.0000,0.0856,0.0001,204,0.6061
0.0846,0.0000,0.0000,0.0000,0.0845,0.0000,204,0.6072
0.0840,0.0000,0.0000,0.0000,0.0839,0.0001,204,0.6212
0.0918,0.0000,0.0000,0.0000,0.0917,0.0001,204,0.6605
0.0776,0.0000,0.0000,0.0000,0.0775,0.0001,204,0.6918
0.0830,0.0000,0.0000,0.0000,0.0829,0.0001,204,0.6918
0.0877,0.0000,0.0000,0.0000,0.0875,0.0001,204,0.7052
0.0852,0.0000,0.0000,0.0001,0.0850,0.0001,204,0.7524
0.0944,0.0000,0.0000,0.0000,0.0943,0.0001,204,0.7694
0.1038,0.0000,0.0000,0.0000,0.1037,0.0000,204,0.7747
0.0941,0.0000,0.0000,0.0000,0.0940,0.0001,204,0.7928
0.0970,0.0000,0.0000,0.0000,0.0969,0.0001,204,0.8376
0.0711,0.0000,0.0000,0.0000,0.0710,0.0000,204,0.8638
0.0817,0.0000,0.0000,0.0000,0.0816,0.0001,204,0.8786
0.0902,0.0000,0.0000,0.0000,0.0900,0.0000,204,0.8869
0.0792,0.0000,0.0000,0.0000,0.0791,0.0001,204,0.9349
0.0820,0.0000,0.0000,0.0000,0.0818,0.0001,204,0.9346
0.0836,0.0000,0.0000,0.0000,0.0835,0.0001,204,0.9603
0.0896,0.0000,0.0000,0.0000,0.0895,0.0001,204,0.9771
0.0892,0.0000,0.0000,0.0000,0.0891,0.0001,204,1.0140
0.0925,0.0000,0.0000,0.0000,0.0924,0.0001,204,1.0166
0.0949,0.0000,0.0000,0.0000,0.0948,0.0001,204,1.0439
0.0855,0.0000,0.0000,0.0000,0.0854,0.0001,204,1.0667
0.0872,0.0000,0.0000,0.0000,0.0871,0.0001,204,1.1033
0.0901,0.0000,0.0000,0.0000,0.0900,0.0001,204,1.1091
0.0940,0.0000,0.0000,0.0000,0.0938,0.0001,204,1.1388
0.0830,0.0000,0.0000,0.0000,0.0829,0.0001,204,1.1522
0.1034,0.0000,0.0000,0.0000,0.1032,0.0001,204,1.1904
0.1013,0.0000,0.0000,0.0000,0.1012,0.0001,204,1.1992
0.0877,0.0000,0.0000,0.0000,0.0876,0.0001,204,1.2328
0.1036,0.0000,0.0000,0.0000,0.1035,0.0000,204,1.2353
0.0941,0.0000,0.0000,0.0000,0.0940,0.0001,204,1.2938
0.0976,0.0000,0.0000,0.0000,0.0975,0.0001,204,1.3005
0.0951,0.0000,0.0000,0.0000,0.0950,0.0001,204,1.3205
0.0921,0.0000,0.0000,0.0000,0.0920,0.0001,204,1.3389
0.0779,0.0000,0.0000,0.0000,0.0778,0.0001,204,1.3879
0.0843,0.0000,0.0000,0.0000,0.0841,0.0001,204,1.3982
0.0839,0.0000,0.0000,0.0000,0.0838,0.0001,204,1.4157
0.1045,0.0000,0.0000,0.0000,0.1044,0.0000,204,1.4310
0.0800,0.0000,0.0000,0.0000,0.0798,0.0001,204,1.4658
0.0965,0.0000,0.0000,0.0000,0.0964,0.0001,204,1.4824
0.0847,0.0000,0.0000,0.0000,0.0846,0.0001,204,1.4996
0.0913,0.0000,0.0000,0.0000,0.0912,0.0001,204,1.5354
0.0839,0.0000,0.0000,0.0000,0.0838,0.0001,204,1.5458
0.0846,0.0000,0.0000,0.0000,0.0845,0.0001,204,1.5790
0.0846,0.0000,0.0000,0.0000,0.0845,0.0001,204,1.5843
0.0690,0.0000,0.0000,0.0000,0.0688,0.0001,204,1.6267
0.0934,0.0000,0.0000,0.0000,0.0933,0.0001,204,1.6297
0.0886,0.0000,0.0000,0.0000,0.0884,0.0001,204,1.6636
0.0929,0.0000,0.0000,0.0000,0.0928,0.0001,204,1.6689
0.0725,0.0000,0.0000,0.0000,0.0724,0.0001,204,1.6957
0.0907,0.0000,0.0000,0.0000,0.0906,0.0001,204,1.7231
0.0902,0.0000,0.0000,0.0000,0.0901,0.0001,204,1.7521
0.0827,0.0000,0.0000,0.0000,0.0826,0.0001,204,1.7618
0.0896,0.0000,0.0000,0.0000,0.0895,0.0001,204,1.7681
0.0985,0.0000,0.0000,0.0000,0.0984,0.0001,204,1.8138
0.0775,0.0000,0.0000,0.0000,0.0774,0.0001,204,1.8424
0.0820,0.0000,0.0000,0.0000,0.0819,0.0001,204,1.8446
0.0921,0.0000,0.0000,0.0000,0.0920,0.0001,204,1.8578
0.0843,0.0000,0.0000,0.0000,0.0842,0.0001,204,1.9123
0.0832,0.0000,0.0000,0.0000,0.0831,0.0001,204,1.9198
0.0801,0.0000,0.0000,0.0000,0.0800,0.0001,204,1.9265
0.1086,0.0000,0.0000,0.0000,0.1085,0.0001,204,1.9498
0.0841,0.0000,0.0000,0.0000,0.0840,0.0001,204,1.9966
0.0858,0.0000,0.0000,0.0000,0.0856,0.0001,204,2.0030
0.0968,0.0000,0.0000,0.0000,0.0967,0.0001,204,2.0067
0.0956,0.0000,0.0000,0.0000,0.0955,0.0001,204,2.0585
0.0828,0.0000,0.0000,0.0000,0.0827,0.0001,204,2.0807
0.0822,0.0000,0.0000,0.0000,0.0821,0.0001,204,2.0888
0.0890,0.0000,0.0000,0.0000,0.0889,0.0000,204,2.1035
0.0722,0.0000,0.0000,0.0000,0.0721,0.0001,204,2.1541
0.0891,0.0000,0.0000,0.0000,0.0890,0.0001,204,2.1635
0.0896,0.0000,0.0000,0.0000,0.0895,0.0001,204,2.1710
0.0784,0.0000,0.0000,0.0000,0.0782,0.0001,204,2.1925
0.0925,0.0000,0.0000,0.0000,0.0924,0.0001,204,2.2263
0.0996,0.0000,0.0000,0.0000,0.0994,0.0001,204,2.2526
0.0971,0.0000,0.0000,0.0000,0.0970,0.0001,204,2.2606
0.0935,0.0000,0.0000,0.0000,0.0934,0.0001,204,2.2709
0.0910,0.0000,0.0000,0.0000,0.0909,0.0001,204,2.3188
0.0798,0.0000,0.0000,0.0000,0.0796,0.0000,204,2.3523
0.0760,0.0000,0.0000,0.0000,0.0759,0.0000,204,2.3578
0.0873,0.0000,0.0000,0.0001,0.0872,0.0000,204,2.3644
0.0790,0.0000,0.0000,0.0000,0.0789,0.0001,204,2.4098
0.0700,0.0000,0.0000,0.0000,0.0698,0.0001,204,2.4320
0.0684,0.0000,0.0000,0.0000,0.0683,0.0000,204,2.4338
0.0923,0.0000,0.0000,0.0000,0.0922,0.0001,204,2.4518
0.0919,0.0000,0.0000,0.0000,0.0918,0.0000,204,2.4888
0.0943,0.0000,0.0000,0.0000,0.0928,0.0000,204,2.5022
0.0946,0.0000,0.0000,0.0000,0.0942,0.0002,204,2.5020
0.0962,0.0000,0.0000,0.0000,0.0961,0.0000,204,2.5441
0.0955,0.0000,0.0000,0.0000,0.0954,0.0001,204,2.5808
0.0852,0.0000,0.0000,0.0000,0.0850,0.0001,204,2.5965
0.0958,0.0000,0.0000,0.0000,0.0957,0.0001,204,2.5967
0.0775,0.0000,0.0000,0.0000,0.0774,0.0001,204,2.6403
0.0802,0.0000,0.0000,0.0000,0.0801,0.0001,204,2.6762
0.1105,0.0000,0.0000,0.0000,0.1104,0.0001,204,2.6817
0.1114,0.0000,0.0000,0.0000,0.1113,0.0001,204,2.6925
0.0896,0.0000,0.0000,0.0000,0.0895,0.0001,204,2.7178
0.0917,0.0000,0.0000,0.0000,0.0916,0.0001,204,2.7565
0.0820,0.0000,0.0000,0.0000,0.0819,0.0001,204,2.7922
0.0805,0.0000,0.0000,0.0000,0.0804,0.0001,204,2.8039
0.0846,0.0000,0.0000,0.0000,0.0845,0.0001,204,2.8075
0.0923,0.0000,0.0000,0.0000,0.0922,0.0001,204,2.8482
0.0732,0.0000,0.0000,0.0000,0.0730,0.0001,204,2.8742
0.0743,0.0000,0.0000,0.0000,0.0742,0.0000,204,2.8844
0.0930,0.0000,0.0000,0.0000,0.0929,0.0000,204,2.8921
0.0850,0.0000,0.0000,0.0000,0.0848,0.0001,204,2.9405
0.0782,0.0000,0.0000,0.0000,0.0781,0.0000,204,2.9473
0.0696,0.0000,0.0000,0.0000,0.0695,0.0001,204,2.9586
0.0955,0.0000,0.0000,0.0000,0.0954,0.0001,204,2.9851
0.0795,0.0000,0.0000,0.0000,0.0793,0.0002,204,3.0255
0.0904,0.0000,0.0000,0.0000,0.0903,0.0001,204,3.0255
0.0986,0.0000,0.0000,0.0000,0.0985,0.0001,204,3.0282
0.0859,0.0000,0.0000,0.0000,0.0858,0.0001,204,3.0807
0.0771,0.0000,0.0000,0.0000,0.0770,0.0001,204,3.1159
0.0880,0.0000,0.0000,0.0000,0.0878,0.0001,204,3.1050
0.0807,0.0000,0.0000,0.0000,0.0806,0.0001,204,3.1268
0.0771,0.0000,0.0000,0.0000,0.0769,0.0001,204,3.1666
0.0675,0.0000,0.0000,0.0000,0.0674,0.0001,204,3.1930
0.0675,0.0000,0.0000,0.0000,0.0674,0.0000,204,3.1930
0.0867,0.0000,0.0000,0.0000,0.0865,0.0001,204,3.2076
0.0906,0.0000,0.0000,0.0000,0.0905,0.0001,204,3.2437
0.0800,0.0000,0.0000,0.0000,0.0799,0.0001,204,3.2606
0.0862,0.0000,0.0000,0.0000,0.0861,0.0001,204,3.2606
0.0909,0.0000,0.0000,0.0000,0.0907,0.0001,204,3.2943
0.0909,0.0000,0.0000,0.0000,0.0908,0.0001,204,3.3343
0.0847,0.0000,0.0000,0.0000,0.0846,0.0000,204,3.3405
0.0844,0.0000,0.0000,0.0000,0.0843,0.0001,204,3.3468
0.0821,0.0000,0.0000,0.0000,0.0819,0.0001,204,3.3852
0.0689,0.0000,0.0000,0.0000,0.0688,0.0001,204,3.4253
0.0703,0.0000,0.0000,0.0000,0.0702,0.0000,204,3.4252
0.0753,0.0000,0.0000,0.0000,0.0752,0.0001,204,3.4312
0.0993,0.0000,0.0000,0.0000,0.0991,0.0001,204,3.4673
0.0725,0.0000,0.0000,0.0000,0.0725,0.0000,204,3.4942
0.0897,0.0000,0.0000,0.0000,0.0896,0.0001,204,3.4955
0.0992,0.0000,0.0000,0.0000,0.0991,0.0001,204,3.5065
0.0772,0.0000,0.0000,0.0000,0.0771,0.0001,204,3.5667
0.0809,0.0000,0.0000,0.0000,0.0808,0.0001,204,3.5666
0.0821,0.0000,0.0000,0.0000,0.0819,0.0001,204,3.5853
0.0987,0.0000,0.0000,0.0000,0.0986,0.0001,204,3.6057
0.0870,0.0000,0.0000,0.0000,0.0869,0.0000,204,3.6440
0.0911,0.0000,0.0000,0.0000,0.0910,0.0001,204,3.6475
0.0768,0.0000,0.0000,0.0000,0.0766,0.0001,204,3.6674
0.0804,0.0000,0.0000,0.0000,0.0803,0.0000,204,3.7044
0.0948,0.0000,0.0000,0.0000,0.0947,0.0001,204,3.7310
0.0879,0.0000,0.0000,0.0000,0.0877,0.0000,204,3.7386
0.0942,0.0000,0.0000,0.0000,0.0941,0.0001,204,3.7441
0.0996,0.0000,0.0000,0.0000,0.0993,0.0002,204,3.7848
0.0773,0.0000,0.0000,0.0000,0.0772,0.0000,204,3.8258
0.0812,0.0000,0.0000,0.0000,0.0811,0.0001,204,3.8265
0.0932,0.0000,0.0000,0.0000,0.0930,0.0001,204,3.8383
0.0908,0.0000,0.0000,0.0000,0.0907,0.0001,204,3.8844
0.0787,0.0000,0.0000,0.0000,0.0786,0.0001,204,3.9031
0.0784,0.0000,0.0000,0.0000,0.0783,0.0001,204,3.9077
0.0803,0.0000,0.0000,0.0000,0.0802,0.0001,204,3.9315
0.0752,0.0000,0.0000,0.0000,0.0751,0.0001,204,3.9752
0.0696,0.0000,0.0000,0.0000,0.0694,0.0001,204,3.9818
0.0657,0.0000,0.0000,0.0000,0.0656,0.0000,204,3.9861
0.0788,0.0000,0.0000,0.0000,0.0787,0.0001,204,4.0117
0.0781,0.0000,0.0000,0.0000,0.0780,0.0001,204,4.0504
0.0788,0.0000,0.0000,0.0000,0.0787,0.0001,204,4.0514
0.0818,0.0000,0.0000,0.0000,0.0816,0.0001,204,4.0517
0.0844,0.0000,0.0000,0.0000,0.0843,0.0001,204,4.0906
0.0789,0.0000,0.0000,0.0000,0.0788,0.0001,204,4.1285
0.0784,0.0000,0.0000,0.0000,0.0783,0.0001,204,4.1302
0.0851,0.0000,0.0000,0.0000,0.0850,0.0001,204,4.1335
0.0926,0.0000,0.0000,0.0000,0.0924,0.0001,204,4.1750
0.0656,0.0000,0.0000,0.0000,0.0655,0.0001,204,4.2074
0.0822,0.0000,0.0000,0.0000,0.0821,0.0001,204,4.2085
0.0914,0.0000,0.0000,0.0000,0.0913,0.0000,204,4.2186
0.0815,0.0000,0.0000,0.0000,0.0813,0.0001,204,4.2675
0.0912,0.0000,0.0000,0.0000,0.0911,0.0001,204,4.2731
0.0943,0.0000,0.0000,0.0000,0.0942,0.0001,204,4.2907
0.0990,0.0000,0.0000,0.0000,0.0989,0.0001,204,4.3100
0.0832,0.0000,0.0000,0.0000,0.0831,0.0001,204,4.3490
0.0914,0.0000,0.0000,0.0000,0.0912,0.0001,204,4.3643
0.0887,0.0000,0.0000,0.0000,0.0873,0.0001,204,4.3851
0.0961,0.0000,0.0000,0.0000,0.0960,0.0001,204,4.4090
0.0780,0.0000,0.0000,0.0000,0.0779,0.0001,204,4.4322
0.0979,0.0000,0.0000,0.0000,0.0978,0.0001,204,4.4556
0.0837,0.0000,0.0000,0.0000,0.0833,0.0003,204,4.4738
0.0786,0.0000,0.0000,0.0000,0.0785,0.0001,204,4.5052
0.0901,0.0000,0.0000,0.0000,0.0900,0.0001,204,4.5103
0.0851,0.0000,0.0000,0.0000,0.0850,0.0001,204,4.5535
0.0985,0.0000,0.0000,0.0000,0.0984,0.0001,204,4.5575
0.0844,0.0000,0.0000,0.0000,0.0842,0.0001,204,4.5838
0.1012,0.0000,0.0000,0.0000,0.1010,0.0001,204,4.6004
