ok,latency_ms
1,167.335
1,221.868
1,257.906
1,293.402
1,166.85
1,116.641
1,144.782
1,113.671
1,119.558
1,146.951
1,157.403
1,152.1
1,121.315
1,171.97
1,102.145
1,144.423
1,165.624
1,107.505
1,161.23
1,121.803
1,128.052
1,145.953
1,105.795
1,166.372
1,140.805
1,124.278
1,161.339
1,124.567
1,130.509
1,137.044
1,145.559
1,151.941
1,139.985
1,182.774
1,118.763
1,115.116
1,149.469
1,127.249
1,148.776
1,127.191
1,153.899
1,120.301
1,131.179
1,144.367
1,133.175
1,136.814
1,110.394
1,170.463
1,132.899
1,110.982
1,171.255
1,140.162
1,140.754
1,145.571
1,100.264
1,150.272
1,108.479
1,152.841
1,104.057
1,135.895
1,129.077
1,155.643
1,154.705
1,126.604
1,182.422
1,104.003
1,110.578
1,166.728
1,150.286
1,152.302
1,149.61
1,165.32
1,115.791
1,124.829
1,176.719
1,112.347
1,127.78
1,162.803
1,146.841
1,136.126
1,130.288
1,156.229
1,102.363
1,105.943
1,171.66
1,142.53
1,132.714
1,176.544
1,152.562
1,115.73
1,141.661
1,192.71
1,143.018
1,147.209
1,190.33
1,116.547
1,125.119
1,152.3
1,126.513
1,128.338
1,111.094
1,151.081
1,108.373
1,98.719
1,165.014
1,133.525
1,147.137
1,163.578
1,163.949
1,127.379
1,130.758
1,176.407
1,108.506
1,142.712
1,156.77
1,115.389
1,145.878
1,104.779
1,143.015
1,123.87
1,115.41
1,160.649
1,113.618
1,150.958
1,143.717
1,147.772
1,149.328
1,114.355
1,162.312
1,134.34
1,133.062
1,146.607
1,137.371
1,148.331
1,126.291
1,183.494
1,125.908
1,106.715
1,169.974
1,111.87
1,129.383
1,134.793
1,151.832
1,125.597
1,114.925
1,184.732
1,110.439
1,113.065
1,178.1
1,119.843
1,143.255
1,161.894
1,143.537
1,113.488
1,143.654
1,171.998
1,128.4
1,134.655
1,172.856
1,105.795
1,146.42
1,126.132
1,133.561
1,145.487
1,102.509
1,153.499
1,131.953
1,140.373
1,142.564
1,127.156
1,127.056
1,116.198
1,183.968
1,145.054
1,134.888
1,161.936
1,146.367
1,135.866
1,153.368
1,189.459
1,130.207
1,128.115
1,188.516
1,137.084
1,151.128
1,197.216
1,163.38
1,131.541
1,139.707
1,160.813
1,126.446
1,120.99
1,172.032
1,122.595
1,133.36
1,167.731
1,137.395
1,151.637
1,120.858
1,146.253
1,112.114
1,110.785
1,143.981
1,131.305
1,156.83
1,133.385
1,172.93
1,136.632
1,127.774
1,165.726
1,135.125
1,126.786
1,123.252
1,167.951
1,142.235
1,139.357
1,163.622
1,129.539
1,114.375
1,148.451
1,166.058
1,116.2
1,119.959
1,164.317
1,119.33
1,131.263
1,160.14
1,149.823
1,133.396
1,130.167
1,166.278
1,102.272
1,112.65
1,150.099
1,113.702
1,131.547
1,131.917
1,149.204
1,123.305
1,115.824
1,146.932
1,143.881
1,134.699
1,131.094
1,152.58
1,124.421
1,137.912
1,157.971
1,143.302
1,121.646
1,120.23
1,165.5
1,118.324
1,110.763
1,158.628
1,101.155
1,114.795
1,144.584
1,149.935
1,132.876
1,121.838
1,160.061
1,105.842
1,143.221
1,170.469
1,134.127
1,158.36
1,127.628
1,157.448
1,115.539
1,126.166
1,168.442
1,126.578
1,162.965
1,138.531
1,136.537
1,164.009
1,141.785
1,173.929
1,123.423
1,128.555
1,151.888
1,134.899
1,167.277
1,121.65
1,130.968
1,171.108
1,119.365
1,161.388
1,101.127
1,129.976
1,132.467
1,137.995
1,118.889
1,104.981
1,143.511
1,106.886
1,127.754
1,134.398
1,161.886
1,145.869
1,124.982
1,183.139
1,106.175
1,127.445
1,166.522
1,119.247
1,174.429
1,151.669
1,160.461
1,145.192
1,122.424
1,144.406
1,105.809
1,150.222
1,106.316
1,117.712
1,164.767
1,139.167
1,139.691
1,147.597
1,149.917
1,145.533
1,146.834
1,180.96
1,118.919
1,116.11
1,162.069
1,105.455
1,138.075
1,120.525
1,138.733
1,123.686
1,117.543
1,148.053
1,138.955
1,156.932
1,135.65
1,178.477
1,134.681
1,142.543
1,160.566
1,129.772
1,141.554
1,120.067
1,161.115
1,116.008
1,137.673
1,185.686
1,128.262
1,167.915
1,161.46
1,134.5
1,155.558
1,112.374
1,146.157
1,124.225
1,118.646
1,150.474
1,142.861
1,133.074
1,128.291
1,149.95
1,107.082
1,142.058
1,136.736
1,135.25
1,127.575
1,119.455
1,165.272
1,138.085
1,159.856
1,150.119
1,143.603
1,129.405
1,111.165
1,146.605
1,131.418
1,144.872
1,136.986
1,188.334
1,154.64
1,136.342
1,198.837
1,134.927
1,134.042
1,157.077
1,189.346
1,147.224
1,142.509
1,265.156
1,211.454
1,231.796
1,291.25
1,282.948
1,246.946
1,230.362
1,296.828
1,155.577
1,148.753
1,232.133
1,148.215
1,143.754
1,196.116
1,166.109
1,132.22
1,168.682
1,179.804
1,122.6
1,131.113
1,150.921
1,111.731
1,123.568
1,156.786
1,155.437
1,127.622
1,143.123
1,202.283
1,148.927
1,149.359
1,233.214
1,160.571
1,168.995
1,253.774
1,190.933
1,190.812
1,226.496
1,212.354
1,200.436
1,166.76
1,225.777
1,152.227
1,130.246
1,192.006
1,128.521
1,147.661
1,147.02
1,159.039
1,126.062
1,144.851
1,150.942
1,125.794
1,136.969
1,107.373
1,164.642
1,125.965
1,133.241
1,182.123
1,123.794
1,190.371
1,179.139
1,169.298
1,191.788
1,152.485
1,174.377
1,145.265
1,155.922
1,142.059
1,117.734
1,168.096
1,116.764
1,137.056
1,142.921
1,123.728
1,145.889
1,114.347
1,155.517
1,112.688
1,116.455
1,149.109
1,143.237
1,135.851
1,141.109
