ok,latency_ms
1,96.283
1,127.848
1,145.034
1,173.78
1,97.532
1,89.852
1,89.525
1,85.153
1,82.548
1,84.947
1,83.988
1,87.933
1,94.045
1,102.739
1,106.562
1,117.701
1,119.296
1,141.827
1,135.451
1,135.324
1,117.911
1,103.718
1,96.863
1,89.059
1,90.137
1,95.38
1,92.14
1,98.744
1,105.196
1,86.405
1,93.847
1,97.179
1,86.88
1,98.158
1,91.979
1,90.745
1,99.886
1,85.24
1,92.527
1,81.497
1,83.983
1,89.831
1,89.525
1,115.232
1,115.511
1,128.515
1,120.317
1,102.957
1,95.075
1,85.232
1,85.652
1,85.359
1,104.215
1,84.677
1,102.496
1,79.68
1,86.86
1,88.393
1,94.699
1,101.107
1,116.285
1,117.083
1,134.304
1,129.899
1,122.474
1,113.751
1,100.455
1,104.482
1,92.823
1,115.459
1,108.519
1,125.693
1,128.851
1,133.853
1,137.667
1,144.645
1,143.135
1,125.159
1,116.257
1,92.117
1,95.383
1,98.811
1,120.37
1,126.717
1,130.613
1,118.686
1,102.39
1,89.078
1,86.605
1,88.422
1,104.128
1,95.736
1,104.026
1,94.17
1,89.88
1,84.225
1,84.027
1,96.878
1,93.501
1,105.725
1,106.716
1,89.676
1,91.523
1,80.555
1,94.351
1,94.159
1,95.189
1,97.481
1,104.293
1,108.098
1,132.144
1,132.701
1,107.061
1,113.117
1,92.789
1,97.784
1,118.986
1,113.156
1,107.156
1,102.675
1,98.857
1,96.582
1,105.408
1,101.916
1,91.042
1,101.135
1,97.29
1,109.134
1,97.513
1,94.579
1,89.83
1,84.16
1,88.866
1,93.32
1,81.683
1,89.381
1,89.498
1,97.187
1,110.522
1,111.196
1,111.994
1,115.312
1,106.665
1,108.77
1,89.794
1,98.717
1,82.235
1,105.015
1,106.302
1,106.565
1,111.926
1,111.798
1,124.136
1,135.245
1,147.358
1,150.468
1,147.219
1,138.773
1,131.231
1,116.659
1,103.514
1,96.703
1,92.523
1,96.518
1,105.036
1,98.894
1,109.889
1,104.679
1,98.786
1,108.454
1,92.109
1,94.035
1,86.727
1,90.619
1,86.04
1,90.357
1,103.614
1,103.793
1,116.544
1,102.491
1,102.096
1,85.374
1,83.596
1,84.35
1,82.258
1,93.269
1,90.056
1,91.115
1,94.013
1,85.062
1,92.706
1,92.086
1,96.128
1,97.901
1,111.317
1,116.934
1,120.258
1,124.32
1,128.524
1,113.567
1,112.021
1,99.933
1,84.397
1,89.93
1,83.863
1,90.79
1,96.387
1,105.989
1,136.921
1,128.903
1,152.828
1,126.711
1,144.066
1,128.467
1,129.87
1,133.484
1,113.67
1,122.648
1,98.395
1,101.354
1,87.435
1,77.739
1,83.383
1,83.652
1,85.853
1,86.726
1,83.227
1,83.269
1,86.486
1,94.092
1,98.728
1,96.217
1,86.116
1,89.637
1,84.177
1,100.243
1,86.24
1,98.066
1,96.987
1,106.287
1,120.146
1,129.776
1,125.993
1,136.211
1,127.393
1,120.452
1,107.121
1,98.132
1,86.072
1,101.319
1,103.963
1,100.003
1,103.68
1,93.773
1,95.148
1,90.988
1,90.124
1,89.842
1,90.841
1,103.145
1,104.182
1,98.325
1,100.195
1,90.74
1,102.621
1,106.57
1,113.603
1,122.283
1,118.644
1,109.472
1,100.165
1,89.821
1,96.903
1,106.741
1,116.075
1,115.76
1,103.519
1,107.922
1,91.535
1,98.488
1,86.777
1,87.842
1,85.203
1,89.581
1,98.426
1,88.552
1,94.42
1,84.984
1,98.876
1,97.735
1,112.221
1,119.669
1,121.452
1,115.499
1,105.004
1,95.938
1,91.373
1,89.096
1,99.066
1,88.951
1,94.046
1,91.629
1,96.801
1,96.487
1,106.042
1,103.25
1,120.084
1,119.099
1,128.053
1,126.243
1,128.087
1,133.764
1,120.695
1,127.528
1,126.757
1,127.283
1,133.292
1,130.465
1,105.881
1,107.877
1,87.277
1,90.806
1,83.766
1,84.891
1,87.931
1,91.381
1,92.751
1,91.383
1,88.274
1,86.361
1,82.586
1,94.9
1,110.824
1,112.765
1,117.874
1,104.922
1,96.126
1,86.985
1,96.451
1,99.217
1,115.939
1,109.93
1,110.131
1,97.25
1,82.896
1,84.532
1,83.419
1,89.562
1,91.295
1,105.459
1,109.341
1,109.935
1,123.521
1,114.49
1,120.667
1,119.783
1,117.486
1,109.807
1,115.57
1,129.964
1,122.424
1,120.506
1,103.074
1,110.934
1,111.814
1,110.771
1,115.036
1,121.038
1,102.315
1,115.319
1,90.686
1,94.014
1,88.225
1,101.821
1,98.834
1,104.628
1,102.734
1,89.949
1,101.585
1,90.329
1,105.664
1,98.438
1,113.025
1,120.178
1,106.987
1,110.55
1,101.116
1,102.267
1,97.858
1,100.947
1,89.475
1,90.513
1,96.751
1,111.097
1,112.846
1,116.437
1,118.721
1,116.656
1,131.819
1,128.544
1,126.937
1,130.543
1,114.986
1,123.08
1,122.507
1,116.658
1,141.6
1,121.685
1,124.901
1,112.211
1,102.148
1,115.295
1,103.774
1,113.92
1,87.21
1,86.647
1,81.204
1,91.557
1,99.273
1,116.094
1,125.233
1,128.089
1,133.304
1,131.415
1,138.283
1,136.624
1,132.442
1,134.911
1,123.587
1,118.894
1,114.178
1,104.527
1,95.89
1,94.03
1,84.034
1,85.267
1,80.703
1,98.928
1,93.014
1,98.867
1,96.86
1,113.238
1,110.588
1,132.977
1,124.836
1,111.046
1,108.43
1,118.147
1,118.914
1,148.92
1,151.458
1,117.77
1,125.111
1,85.299
1,85.053
1,97.524
1,99.377
1,107.147
1,103.157
1,125.641
1,119.049
1,119.466
1,124.119
1,89.167
1,92.991
1,81.285
1,76.596
1,78.78
1,80.198
1,91.095
1,94.603
1,95.109
1,94.144
1,82.226
1,81.885
1,81.5
1,82.778
1,96.943
1,94.188
1,105.956
1,106.001
1,113.501
1,113.701
1,130.095
1,126.455
1,128.283
1,131.812
1,118.045
1,122.167
1,96.537
1,99.33
1,91.515
1,93.98
1,95.145
1,102.568
1,85.401
1,90.5
1,89.061
1,88.356
1,87.278
1,89.061
1,79.706
1,82.424
1,84.184
1,93.285
1,110.787
1,107.112
1,114.112
1,104.146
1,96.376
1,90.815
1,107.271
1,105.754
1,112.332
1,109.244
1,100.955
1,94.486
1,97.907
1,100.782
1,102.383
1,103.677
1,129.603
1,131.074
1,141.908
1,140.976
1,120.929
1,118.338
1,106.221
1,110.781
1,122.046
1,121.773
1,135.424
1,137.4
1,115.828
1,112.183
1,97.284
1,100.168
1,109.949
1,111.331
1,107.089
1,104.382
1,91.09
1,96.619
1,89.486
1,96.879
1,107.876
1,108.425
1,109.538
1,112.253
1,90.232
1,94.655
1,93.031
1,91.503
1,120.493
1,116.742
1,116.245
1,119.211
1,88.609
1,94.094
1,99.592
1,103.674
1,105.73
1,117.965
1,119.434
1,129.603
1,134.933
1,132.218
1,119.368
1,117.271
1,123.488
1,146.84
1,137.677
1,136.926
1,115.701
1,98.342
1,93.826
1,103.836
1,112.655
1,126.983
1,136.196
1,147.908
1,137.854
1,138.91
1,128.329
1,122.609
1,123.935
1,119.466
1,136.02
1,133.495
1,142.408
1,137.199
1,135.779
1,134.419
1,139.055
1,136.11
1,145.981
1,146.444
1,151.761
1,156.115
1,142.786
1,138.406
1,114.941
1,101.913
1,97.371
1,97.136
1,100.121
1,99.657
1,103.962
1,92.538
1,104.87
1,97.512
1,114.714
1,113.691
1,110.811
1,109.559
1,96.106
1,90.121
1,88.119
1,89.048
1,88.278
1,90.104
1,94.584
1,106.196
1,103.757
1,111.563
1,99.388
1,98.49
1,100.132
1,109.886
1,115.382
1,107.58
1,116.52
1,103.3
1,123.558
1,116.064
1,113.219
1,97.662
1,102.818
1,95.104
1,110.527
1,106.585
1,98.26
1,99.093
1,98.036
