response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0097,0.0002,0.0000,0.0001,0.0091,0.0003,204,0.0002
0.0098,0.0002,0.0000,0.0001,0.0094,0.0000,204,0.0001
0.0109,0.0001,0.0000,0.0001,0.0106,0.0001,204,0.0002
0.0575,0.0002,0.0000,0.0001,0.0572,0.0001,204,0.0002
0.0702,0.0000,0.0000,0.0000,0.0701,0.0000,204,0.0098
0.0752,0.0000,0.0000,0.0000,0.0751,0.0001,204,0.0099
0.1074,0.0000,0.0000,0.0000,0.1073,0.0001,204,0.0111
0.0924,0.0000,0.0000,0.0000,0.0923,0.0001,204,0.0577
0.0804,0.0000,0.0000,0.0000,0.0803,0.0000,204,0.0800
0.0811,0.0000,0.0000,0.0000,0.0810,0.0000,204,0.0851
0.1128,0.0000,0.0000,0.0000,0.1127,0.0001,204,0.1185
0.0881,0.0000,0.0000,0.0000,0.0880,0.0001,204,0.1501
0.0900,0.0000,0.0000,0.0000,0.0899,0.0001,204,0.1605
0.1225,0.0000,0.0000,0.0000,0.1224,0.0001,204,0.1662
0.1052,0.0000,0.0000,0.0000,0.1050,0.0001,204,0.2313
0.1018,0.0000,0.0000,0.0000,0.1017,0.0001,204,0.2382
0.0962,0.0000,0.0000,0.0000,0.0956,0.0006,204,0.2504
0.1520,0.0000,0.0000,0.0000,0.1519,0.0001,204,0.2887
0.1304,0.0000,0.0000,0.0000,0.1303,0.0001,204,0.3365
0.1308,0.0000,0.0000,0.0000,0.1295,0.0013,204,0.3401
0.1561,0.0000,0.0000,0.0000,0.1559,0.0001,204,0.3467
0.1124,0.0000,0.0000,0.0000,0.1122,0.0001,204,0.4408
0.0980,0.0000,0.0000,0.0000,0.0979,0.0001,204,0.4669
0.0970,0.0000,0.0000,0.0000,0.0969,0.0001,204,0.4708
0.1178,0.0000,0.0000,0.0000,0.1177,0.0001,204,0.5028
0.0841,0.0000,0.0000,0.0000,0.0840,0.0001,204,0.5531
0.0848,0.0000,0.0000,0.0000,0.0847,0.0001,204,0.5649
0.1168,0.0000,0.0000,0.0000,0.1167,0.0001,204,0.5679
0.1111,0.0000,0.0000,0.0000,0.1110,0.0001,204,0.6205
0.1077,0.0000,0.0000,0.0000,0.1076,0.0001,204,0.6372
0.0956,0.0000,0.0000,0.0000,0.0955,0.0000,204,0.6497
0.1173,0.0000,0.0000,0.0000,0.1172,0.0000,204,0.6847
0.1075,0.0000,0.0000,0.0000,0.1074,0.0001,204,0.7316
0.0988,0.0000,0.0000,0.0000,0.0987,0.0001,204,0.7450
0.1126,0.0000,0.0000,0.0000,0.1125,0.0001,204,0.7453
0.1198,0.0000,0.0000,0.0000,0.1197,0.0001,204,0.8020
0.0884,0.0000,0.0000,0.0000,0.0882,0.0001,204,0.8391
0.0915,0.0000,0.0000,0.0000,0.0914,0.0001,204,0.8438
0.1188,0.0000,0.0000,0.0000,0.1186,0.0001,204,0.8579
0.0922,0.0000,0.0000,0.0000,0.0921,0.0001,204,0.9218
0.1000,0.0000,0.0000,0.0000,0.0999,0.0001,204,0.9275
0.1062,0.0000,0.0000,0.0000,0.1061,0.0001,204,0.9353
0.0896,0.0000,0.0000,0.0000,0.0895,0.0001,204,1.0140
0.1283,0.0000,0.0000,0.0000,0.1282,0.0001,204,0.9767
0.0830,0.0000,0.0000,0.0000,0.0829,0.0001,204,1.0275
0.1138,0.0000,0.0000,0.0000,0.1137,0.0001,204,1.0415
0.1044,0.0000,0.0000,0.0000,0.1043,0.0001,204,1.1036
0.1045,0.0000,0.0000,0.0000,0.1044,0.0001,204,1.1050
0.1059,0.0000,0.0000,0.0000,0.1058,0.0000,204,1.1105
0.1053,0.0000,0.0000,0.0000,0.1051,0.0002,204,1.1553
0.0823,0.0000,0.0000,0.0000,0.0822,0.0001,204,1.2080
0.0808,0.0000,0.0000,0.0000,0.0808,0.0000,204,1.2096
