response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0136,0.0003,0.0002,0.0001,0.0130,0.0001,200,0.0002
0.0136,0.0003,0.0001,0.0001,0.0131,0.0001,200,0.0003
0.0152,0.0004,0.0002,0.0001,0.0146,0.0001,200,0.0001
0.0154,0.0003,0.0002,0.0001,0.0150,0.0000,200,0.0003
0.0154,0.0000,0.0000,0.0000,0.0153,0.0001,200,0.0154
0.0151,0.0000,0.0000,0.0000,0.0149,0.0001,200,0.0157
0.0262,0.0000,0.0000,0.0000,0.0258,0.0003,200,0.0138
0.0265,0.0000,0.0000,0.0000,0.0263,0.0001,200,0.0139
0.0186,0.0000,0.0000,0.0000,0.0185,0.0001,200,0.0308
0.0287,0.0000,0.0000,0.0000,0.0286,0.0001,200,0.0308
0.0133,0.0000,0.0000,0.0000,0.0132,0.0001,200,0.0595
0.0326,0.0000,0.0000,0.0000,0.0325,0.0001,200,0.0404
0.0330,0.0000,0.0000,0.0000,0.0328,0.0001,200,0.0400
0.0240,0.0000,0.0000,0.0000,0.0239,0.0001,200,0.0494
0.0074,0.0000,0.0000,0.0000,0.0073,0.0001,200,0.0730
0.0079,0.0000,0.0000,0.0000,0.0078,0.0000,200,0.0728
0.0078,0.0000,0.0000,0.0000,0.0076,0.0001,200,0.0729
0.0073,0.0000,0.0000,0.0000,0.0072,0.0001,200,0.0734
0.0074,0.0000,0.0000,0.0000,0.0072,0.0001,200,0.0804
0.0074,0.0000,0.0000,0.0000,0.0073,0.0000,200,0.0808
0.0079,0.0000,0.0000,0.0000,0.0078,0.0001,200,0.0808
0.0085,0.0000,0.0000,0.0000,0.0084,0.0001,200,0.0807
0.0076,0.0000,0.0000,0.0000,0.0075,0.0001,200,0.0878
0.0074,0.0000,0.0000,0.0000,0.0073,0.0001,200,0.0882
0.0075,0.0000,0.0000,0.0000,0.0074,0.0001,200,0.0887
0.0074,0.0000,0.0000,0.0000,0.0073,0.0001,200,0.0892
0.0075,0.0000,0.0000,0.0000,0.0074,0.0001,200,0.0956
0.0077,0.0000,0.0000,0.0000,0.0076,0.0001,200,0.0954
0.0071,0.0000,0.0000,0.0000,0.0070,0.0001,200,0.0961
0.0068,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.0966
0.0069,0.0000,0.0000,0.0000,0.0067,0.0001,200,0.1031
0.0069,0.0000,0.0000,0.0000,0.0068,0.0001,200,0.1031
0.0068,0.0000,0.0000,0.0000,0.0068,0.0000,200,0.1035
0.0071,0.0000,0.0000,0.0000,0.0070,0.0000,200,0.1033
0.0068,0.0000,0.0000,0.0000,0.0068,0.0000,200,0.1100
0.0065,0.0000,0.0000,0.0000,0.0064,0.0001,200,0.1104
0.0069,0.0000,0.0000,0.0000,0.0068,0.0001,200,0.1100
0.0066,0.0000,0.0000,0.0000,0.0065,0.0001,200,0.1103
0.0071,0.0000,0.0000,0.0000,0.0069,0.0001,200,0.1169
0.0070,0.0000,0.0000,0.0000,0.0069,0.0001,200,0.1169
