response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0077,0.0003,0.0000,0.0000,0.0072,0.0001,200,0.0002
0.0078,0.0003,0.0000,0.0001,0.0073,0.0001,200,0.0002
0.0078,0.0003,0.0000,0.0001,0.0074,0.0000,200,0.0003
0.0079,0.0004,0.0000,0.0001,0.0074,0.0000,200,0.0002
0.0071,0.0000,0.0000,0.0000,0.0070,0.0001,200,0.0081
0.0081,0.0000,0.0000,0.0000,0.0074,0.0005,200,0.0079
0.0089,0.0000,0.0000,0.0000,0.0089,0.0000,200,0.0081
0.0091,0.0000,0.0000,0.0000,0.0088,0.0003,200,0.0080
0.0077,0.0000,0.0000,0.0000,0.0075,0.0001,200,0.0160
0.0085,0.0000,0.0000,0.0000,0.0084,0.0001,200,0.0152
0.0078,0.0000,0.0000,0.0000,0.0077,0.0000,200,0.0171
0.0079,0.0000,0.0000,0.0000,0.0076,0.0003,200,0.0172
0.0080,0.0000,0.0000,0.0000,0.0079,0.0001,200,0.0237
0.0070,0.0000,0.0000,0.0000,0.0069,0.0000,200,0.0249
0.0083,0.0000,0.0000,0.0000,0.0082,0.0000,200,0.0237
0.0070,0.0000,0.0000,0.0000,0.0069,0.0000,200,0.0250
0.0093,0.0000,0.0000,0.0000,0.0092,0.0001,200,0.0319
0.0097,0.0000,0.0000,0.0000,0.0096,0.0001,200,0.0317
0.0120,0.0000,0.0000,0.0000,0.0119,0.0001,200,0.0320
0.0128,0.0000,0.0000,0.0000,0.0128,0.0000,200,0.0321
0.0075,0.0000,0.0000,0.0000,0.0074,0.0001,200,0.0414
0.0079,0.0000,0.0000,0.0000,0.0079,0.0000,200,0.0412
0.0072,0.0000,0.0000,0.0000,0.0071,0.0001,200,0.0439
0.0073,0.0000,0.0000,0.0000,0.0072,0.0001,200,0.0449
0.0073,0.0000,0.0000,0.0000,0.0071,0.0001,200,0.0522
0.0086,0.0000,0.0000,0.0000,0.0083,0.0002,200,0.0511
0.0106,0.0000,0.0000,0.0000,0.0105,0.0001,200,0.0491
0.0113,0.0000,0.0000,0.0000,0.0113,0.0000,200,0.0490
0.0079,0.0000,0.0000,0.0000,0.0078,0.0001,200,0.0594
0.0078,0.0000,0.0000,0.0000,0.0078,0.0000,200,0.0597
0.0079,0.0000,0.0000,0.0000,0.0079,0.0000,200,0.0597
0.0078,0.0000,0.0000,0.0000,0.0077,0.0001,200,0.0603
0.0075,0.0000,0.0000,0.0000,0.0074,0.0001,200,0.0675
0.0083,0.0000,0.0000,0.0000,0.0082,0.0001,200,0.0676
0.0086,0.0000,0.0000,0.0000,0.0083,0.0002,200,0.0674
0.0083,0.0000,0.0000,0.0000,0.0082,0.0000,200,0.0681
0.0070,0.0000,0.0000,0.0000,0.0069,0.0001,200,0.0759
0.0071,0.0000,0.0000,0.0000,0.0070,0.0001,200,0.0760
0.0081,0.0000,0.0000,0.0000,0.0080,0.0000,200,0.0750
0.0075,0.0000,0.0000,0.0000,0.0074,0.0000,200,0.0764
0.0076,0.0000,0.0000,0.0000,0.0074,0.0001,200,0.0831
0.0099,0.0000,0.0000,0.0000,0.0098,0.0001,200,0.0840
0.0110,0.0000,0.0000,0.0000,0.0110,0.0000,200,0.0829
0.0111,0.0000,0.0000,0.0000,0.0111,0.0000,200,0.0831
0.0110,0.0000,0.0000,0.0000,0.0109,0.0001,200,0.0907
0.0080,0.0000,0.0000,0.0000,0.0079,0.0000,200,0.0939
0.0086,0.0000,0.0000,0.0000,0.0085,0.0001,200,0.0940
0.0128,0.0000,0.0000,0.0000,0.0127,0.0001,200,0.0943
0.0071,0.0000,0.0000,0.0000,0.0069,0.0001,200,0.1017
0.0067,0.0000,0.0000,0.0000,0.0067,0.0000,200,0.1026
0.0089,0.0000,0.0000,0.0000,0.0088,0.0001,200,0.1018
0.0071,0.0000,0.0000,0.0000,0.0069,0.0001,200,0.1094
0.0094,0.0000,0.0000,0.0000,0.0093,0.0000,200,0.1071
0.0077,0.0000,0.0000,0.0000,0.0077,0.0000,200,0.1088
0.0076,0.0000,0.0000,0.0000,0.0075,0.0001,200,0.1107
0.0076,0.0000,0.0000,0.0000,0.0072,0.0003,200,0.1164
0.0083,0.0000,0.0000,0.0000,0.0082,0.0000,200,0.1164
0.0088,0.0000,0.0000,0.0000,0.0087,0.0001,200,0.1165
0.0072,0.0000,0.0000,0.0000,0.0071,0.0000,200,0.1183
0.0074,0.0000,0.0000,0.0000,0.0073,0.0001,200,0.1255
0.0098,0.0000,0.0000,0.0000,0.0096,0.0001,200,0.1247
0.0118,0.0000,0.0000,0.0000,0.0117,0.0001,200,0.1240
0.0144,0.0000,0.0000,0.0000,0.0143,0.0001,200,0.1253
0.0075,0.0000,0.0000,0.0000,0.0074,0.0001,200,0.1329
0.0071,0.0000,0.0000,0.0000,0.0069,0.0001,200,0.1345
0.0075,0.0000,0.0000,0.0000,0.0073,0.0001,200,0.1359
0.0069,0.0000,0.0000,0.0000,0.0068,0.0001,200,0.1397
0.0090,0.0000,0.0000,0.0000,0.0089,0.0001,200,0.1405
0.0084,0.0000,0.0000,0.0000,0.0083,0.0001,200,0.1415
0.0071,0.0000,0.0000,0.0000,0.0070,0.0000,200,0.1433
0.0072,0.0000,0.0000,0.0000,0.0071,0.0001,200,0.1466
0.0076,0.0000,0.0000,0.0000,0.0075,0.0001,200,0.1500
0.0105,0.0000,0.0000,0.0000,0.0103,0.0002,200,0.1495
0.0070,0.0000,0.0000,0.0000,0.0068,0.0001,200,0.1538
0.0104,0.0000,0.0000,0.0000,0.0104,0.0000,200,0.1505
0.0088,0.0000,0.0000,0.0000,0.0087,0.0001,200,0.1575
0.0076,0.0000,0.0000,0.0000,0.0074,0.0001,200,0.1600
0.0074,0.0000,0.0000,0.0000,0.0074,0.0000,200,0.1609
0.0074,0.0000,0.0000,0.0000,0.0073,0.0000,200,0.1609
0.0083,0.0000,0.0000,0.0000,0.0082,0.0001,200,0.1664
0.0078,0.0000,0.0000,0.0000,0.0077,0.0001,200,0.1683
0.0104,0.0000,0.0000,0.0000,0.0103,0.0000,200,0.1683
0.0110,0.0000,0.0000,0.0000,0.0109,0.0000,200,0.1676
0.0077,0.0000,0.0000,0.0000,0.0076,0.0001,200,0.1747
0.0083,0.0000,0.0000,0.0000,0.0082,0.0001,200,0.1761
0.0069,0.0000,0.0000,0.0000,0.0068,0.0001,200,0.1787
0.0073,0.0000,0.0000,0.0000,0.0072,0.0000,200,0.1787
0.0076,0.0000,0.0000,0.0000,0.0075,0.0001,200,0.1824
0.0067,0.0000,0.0000,0.0000,0.0066,0.0001,200,0.1859
0.0072,0.0000,0.0000,0.0000,0.0071,0.0000,200,0.1856
0.0091,0.0000,0.0000,0.0000,0.0090,0.0000,200,0.1844
0.0069,0.0000,0.0000,0.0000,0.0068,0.0001,200,0.1901
0.0073,0.0000,0.0000,0.0000,0.0072,0.0001,200,0.1927
0.0070,0.0000,0.0000,0.0000,0.0069,0.0000,200,0.1935
